comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–4,cff3d9bb,19538871,0,33,0,0,0,0,1,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,12,14,85.7,0,14,3,5,2,2019-08-11,d0583d0d
Premier League,Matchweek 2,D 1–1,cff3d9bb,a2d435b3,1,70,0,0,0,0,0,0,0,0,37,2,0,1,0.0,0.0,0.0,0,0,18,23,78.3,4,28,2,7,2,2019-08-18,aebf58b9
Premier League,Matchweek 3,W 3–2,cff3d9bb,1c781004,1,83,0,1,0,0,2,0,0,0,57,1,1,2,0.1,0.1,0.4,6,2,32,40,80.0,5,38,5,1,0,2019-08-24,4f4fd2d8
Premier League,Matchweek 4,D 2–2,cff3d9bb,1df6b87e,1,90,0,0,0,0,1,1,0,0,51,2,1,2,0.8,0.8,0.0,4,1,29,35,82.9,2,35,1,5,4,2019-08-31,495db223
Premier League,Matchweek 5,W 5–2,cff3d9bb,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-14,0fa0a658
Premier League,Matchweek 6,L 1–2,cff3d9bb,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-22,02e3ae79
Premier League,Matchweek 7,W 2–0,cff3d9bb,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-28,1d4b5564
Premier League,Matchweek 8,W 4–1,cff3d9bb,33c895d4,0,11,0,1,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.4,2,2,4,6,66.7,2,4,0,1,1,2019-10-06,078b24d4
Premier League,Matchweek 9,W 1–0,cff3d9bb,b2b47a98,0,27,0,0,0,0,1,1,0,0,22,0,0,0,0.5,0.5,0.4,2,1,16,18,88.9,3,14,3,0,0,2019-10-19,c17538b0
Premier League,Matchweek 10,W 4–2,cff3d9bb,943e8050,1,90,3,0,0,0,5,4,0,0,46,1,1,0,0.4,0.4,0.2,5,2,26,34,76.5,5,33,7,1,1,2019-10-26,082dc9ef
Premier League,Matchweek 11,W 2–1,cff3d9bb,2abfe087,1,82,1,0,0,0,3,3,0,0,61,1,0,0,0.9,0.9,0.0,2,0,41,51,80.4,4,42,6,4,4,2019-11-02,0b8b7f66
Premier League,Matchweek 12,W 2–0,cff3d9bb,47c64c55,1,79,1,0,0,0,6,3,0,0,46,0,0,0,1.6,1.6,0.2,7,0,23,35,65.7,3,31,5,7,6,2019-11-09,99680077
Premier League,Matchweek 13,L 1–2,cff3d9bb,b8fd03ef,1,90,0,0,0,0,0,0,0,0,48,0,0,3,0.0,0.0,0.0,3,0,28,39,71.8,1,34,5,5,2,2019-11-23,d16305c7
Premier League,Matchweek 14,L 0–1,cff3d9bb,7c21e445,1,90,0,0,0,0,5,0,0,0,57,0,0,0,1.0,1.0,0.1,4,0,31,42,73.8,4,40,9,9,5,2019-11-30,aa1ff9cd
Premier League,Matchweek 15,W 2–1,cff3d9bb,8602292d,1,85,0,0,0,0,5,1,0,0,52,1,0,0,0.5,0.5,0.1,7,0,30,34,88.2,2,42,4,9,6,2019-12-04,3f316110
Premier League,Matchweek 16,L 1–3,cff3d9bb,d3fd31cc,1,90,0,0,0,0,2,1,0,0,46,1,0,1,0.1,0.1,0.1,2,0,17,31,54.8,5,43,4,10,4,2019-12-07,1b69dd66
