comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 23,D 1–1,7c21e445,d3fd31cc,1,90,3,1,2,66.7,0,1.1,0,0,0,0,8,14,57.1,17,4,52.9,40.9,6,83.3,53.8,19,0,0.0,1,14.5,2020-01-18,d4898eac
Premier League,Matchweek 24,L 1–4,7c21e445,a2d435b3,1,90,8,4,4,62.5,0,3.4,1,1,0,0,6,15,40.0,9,0,77.8,47.1,8,100.0,59.9,15,0,0.0,2,18.3,2020-01-22,354b03ac
Premier League,Matchweek 18,L 0–2,7c21e445,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-29,7b057bc1
Premier League,Matchweek 25,D 3–3,7c21e445,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-01,14d877cc
Premier League,Matchweek 26,L 0–2,7c21e445,b8fd03ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-19,bc091e86
Premier League,Matchweek 27,L 2–3,7c21e445,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-24,3aee1ba7
Premier League,Matchweek 28,W 3–1,7c21e445,33c895d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-29,2cb790f2
Premier League,Matchweek 29,L 0–1,7c21e445,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-07,bf382825
Premier League,Matchweek 30,L 0–2,7c21e445,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-06-20,6ddd148a
Premier League,Matchweek 31,L 0–2,7c21e445,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-06-23,8fc12d99
Premier League,Matchweek 32,W 3–2,7c21e445,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-01,5df18070
Premier League,Matchweek 33,D 2–2,7c21e445,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-05,3d549d43
Premier League,Matchweek 34,L 0–1,7c21e445,943e8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-08,5c57bea6
Premier League,Matchweek 35,W 4–0,7c21e445,1c781004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-11,1f633005
Premier League,Matchweek 36,W 3–1,7c21e445,2abfe087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-17,249bbdaa
Premier League,Matchweek 37,D 1–1,7c21e445,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-22,bf25e016
Premier League,Matchweek 38,D 1–1,7c21e445,8602292d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-26,a3f59c8e
