comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–3,2abfe087,d07537b9,1,45,0,0,0,0,1,0,0,0,27,0,0,1,0.0,0.0,0.0,1,0,14,18,77.8,1,14,0,1,1,2019-08-10,38111659
Premier League,Matchweek 2,L 0–1,2abfe087,d3fd31cc,1,78,0,0,0,0,0,0,0,0,34,2,0,0,0.0,0.0,0.4,2,0,17,29,58.6,5,25,4,3,2,2019-08-17,f35c8c3a
Premier League,Matchweek 3,L 1–3,2abfe087,7c21e445,1,73,0,0,0,0,7,1,0,0,50,0,0,1,0.5,0.5,0.1,5,1,27,38,71.1,4,35,6,5,3,2019-08-24,89fbf2a3
Premier League,Matchweek 4,D 1–1,2abfe087,b2b47a98,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,5,9,55.6,0,10,0,0,0,2019-08-31,533c240c
Premier League,Matchweek 5,D 2–2,2abfe087,18bb7c10,1,90,0,1,0,0,7,4,0,0,82,2,2,1,0.3,0.3,0.6,16,1,56,69,81.2,4,65,16,9,7,2019-09-15,8257eda8
Premier League,Matchweek 6,L 0–8,2abfe087,b8fd03ef,1,76,0,0,0,0,3,3,1,0,26,0,1,0,0.2,0.2,0.0,1,0,13,19,68.4,0,12,5,4,1,2019-09-21,4672d0d7
Premier League,Matchweek 7,L 0–2,2abfe087,8cec06e1,1,45,0,0,0,0,1,0,0,0,27,1,1,1,0.0,0.0,0.1,1,0,14,18,77.8,3,20,5,2,0,2019-09-28,4c088365
Premier League,Matchweek 8,D 0–0,2abfe087,1df6b87e,0,32,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.1,1,0,8,12,66.7,0,15,1,3,2,2019-10-05,2b83068d
Premier League,Matchweek 9,D 1–1,2abfe087,361ca564,0,87,0,0,0,0,3,1,0,0,31,1,0,0,0.2,0.2,0.1,2,0,23,25,92.0,1,22,3,2,2,2019-10-19,4df24be7
Premier League,Matchweek 10,D 0–0,2abfe087,4ba7cbea,1,90,0,0,0,0,2,1,1,0,50,1,1,0,0.5,0.5,0.0,1,0,19,34,55.9,3,27,5,7,3,2019-10-26,1ef8e186
