comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 25,W 1–0,1df6b87e,47c64c55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-01,6b34e6af
Premier League,Matchweek 28,D 0–0,1df6b87e,8602292d,1,90,0,0,0,0,0,0,0,0,79,3,1,3,0.0,0.0,0.1,1,0,50,63,79.4,3,44,0,1,1,2020-06-17,18961bf7
Premier League,Matchweek 30,L 0–3,1df6b87e,b2b47a98,1,90,0,0,0,0,0,0,0,0,73,3,0,2,0.0,0.0,0.0,0,0,54,63,85.7,4,52,2,0,0,2020-06-21,4e501da1
Premier League,Matchweek 31,L 0–3,1df6b87e,19538871,1,90,0,0,0,0,0,0,0,0,57,1,3,3,0.0,0.0,0.0,1,0,31,40,77.5,3,28,1,0,0,2020-06-24,54cdce8b
Premier League,Matchweek 32,W 3–1,1df6b87e,361ca564,1,90,0,0,0,0,0,0,0,0,46,3,2,1,0.0,0.0,0.0,1,0,25,38,65.8,1,20,1,0,0,2020-07-02,70507f3c
Premier League,Matchweek 33,D 1–1,1df6b87e,943e8050,1,54,0,0,0,0,0,0,0,0,46,0,1,0,0.0,0.0,0.1,1,0,27,42,64.3,3,21,0,0,0,2020-07-05,c2378113
Premier League,Matchweek 34,W 1–0,1df6b87e,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-08,f898c8ea
Premier League,Matchweek 35,W 3–0,1df6b87e,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-11,3f83499d
Premier League,Matchweek 36,L 0–2,1df6b87e,a2d435b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-16,0903cee0
Premier League,Matchweek 37,L 0–1,1df6b87e,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-20,d2e788d0
Premier League,Matchweek 38,L 1–3,1df6b87e,33c895d4,1,90,0,0,0,0,0,0,0,0,42,0,1,3,0.0,0.0,0.0,0,0,16,28,57.1,3,14,0,1,1,2020-07-26,3e5b45b7
