comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,D 0–0,a2d435b3,8cec06e1,1,90,0,0,0,0,1,0,0,0,94,4,0,2,0.2,0.2,0.0,1,0,71,81,87.7,6,56,1,0,0,2019-08-11,bf4afd61
Premier League,Matchweek 2,D 1–1,a2d435b3,cff3d9bb,1,90,0,0,0,0,0,0,0,0,59,2,1,0,0.0,0.0,0.0,0,0,46,52,88.5,1,37,0,1,1,2019-08-18,aebf58b9
Premier League,Matchweek 3,W 2–1,a2d435b3,1df6b87e,1,90,0,0,0,0,0,0,0,0,65,0,0,0,0.0,0.0,0.0,0,0,44,54,81.5,0,45,0,0,0,2019-08-24,48fcf75b
Premier League,Matchweek 4,W 3–1,a2d435b3,4ba7cbea,1,90,0,0,0,0,0,0,0,0,75,2,0,2,0.0,0.0,0.0,1,0,53,59,89.8,2,41,0,0,0,2019-08-31,3d899563
Premier League,Matchweek 5,L 0–1,a2d435b3,19538871,1,90,0,0,0,0,0,0,0,0,74,1,2,2,0.0,0.0,0.0,0,0,45,62,72.6,1,36,0,0,0,2019-09-14,6d0266a1
Premier League,Matchweek 6,W 2–1,a2d435b3,361ca564,1,90,0,0,0,0,0,0,0,0,45,4,2,0,0.0,0.0,0.0,0,0,25,34,73.5,1,21,0,0,0,2019-09-21,e30adc4b
Premier League,Matchweek 7,W 5–0,a2d435b3,b2b47a98,1,90,0,1,0,0,0,0,0,0,91,1,0,0,0.0,0.0,0.1,2,2,82,88,93.2,7,76,1,0,0,2019-09-29,40d77688
Premier League,Matchweek 8,L 1–2,a2d435b3,822bd0ba,1,90,0,0,0,0,0,0,1,0,66,1,4,1,0.0,0.0,0.0,0,0,42,53,79.2,5,36,0,1,1,2019-10-05,aaed1c4e
Premier League,Matchweek 9,W 2–1,a2d435b3,943e8050,1,90,0,0,0,0,1,0,0,0,65,0,0,3,0.0,0.0,0.0,0,0,49,55,89.1,1,34,1,0,0,2019-10-19,3529c097
Premier League,Matchweek 10,W 9–0,a2d435b3,33c895d4,1,90,0,0,0,0,1,0,0,0,90,0,1,0,0.7,0.7,0.0,0,0,82,87,94.3,10,70,1,0,0,2019-10-25,3e9712d7
Premier League,Matchweek 11,W 2–0,a2d435b3,47c64c55,1,90,0,0,0,0,4,1,1,0,69,0,0,3,0.3,0.3,0.0,2,1,53,59,89.8,1,46,0,0,0,2019-11-03,25d28387
Premier League,Matchweek 12,W 2–0,a2d435b3,18bb7c10,1,90,0,0,0,0,0,0,1,0,82,1,4,0,0.0,0.0,0.0,3,0,69,75,92.0,5,58,2,1,1,2019-11-09,8e13e609
Premier League,Matchweek 13,W 2–0,a2d435b3,d07537b9,1,61,0,0,0,0,0,0,0,0,50,1,0,1,0.0,0.0,0.0,1,0,32,41,78.0,3,29,1,0,0,2019-11-23,d0f6bac9
Premier League,Matchweek 14,W 2–1,a2d435b3,d3fd31cc,1,90,0,0,0,0,0,0,0,0,109,3,1,1,0.0,0.0,0.0,3,0,83,98,84.7,10,70,3,0,0,2019-12-01,aa2284c2
Premier League,Matchweek 15,W 2–0,a2d435b3,2abfe087,1,90,0,0,0,0,0,0,0,0,85,0,3,0,0.0,0.0,0.0,2,1,63,77,81.8,7,55,3,1,1,2019-12-04,8b04b0d5
Premier League,Matchweek 16,W 4–1,a2d435b3,8602292d,1,90,1,0,0,0,4,2,0,0,54,0,3,0,1.2,1.2,0.0,0,0,32,37,86.5,6,28,0,0,0,2019-12-08,559e812a
Premier League,Matchweek 17,D 1–1,a2d435b3,1c781004,1,90,0,0,0,0,0,0,0,0,60,0,3,1,0.0,0.0,0.0,0,0,47,52,90.4,3,42,3,0,0,2019-12-14,3b2eb152
Premier League,Matchweek 18,L 1–3,a2d435b3,b8fd03ef,1,90,0,0,0,0,0,0,0,0,71,1,2,1,0.0,0.0,0.0,0,0,51,63,81.0,2,49,0,0,0,2019-12-21,733c0243
Premier League,Matchweek 19,L 0–4,a2d435b3,822bd0ba,1,90,0,0,0,0,0,0,0,0,73,2,0,2,0.0,0.0,0.0,0,0,53,61,86.9,0,48,0,0,0,2019-12-26,4b8063da
Premier League,Matchweek 20,W 2–1,a2d435b3,7c21e445,1,90,0,0,0,0,0,0,0,0,82,1,4,4,0.0,0.0,0.0,0,0,60,68,88.2,5,53,0,1,0,2019-12-28,1f2bd890
Premier League,Matchweek 21,W 3–0,a2d435b3,b2b47a98,1,83,0,0,0,0,2,1,0,0,106,1,0,1,0.2,0.2,0.0,1,0,96,99,97.0,2,72,0,0,0,2020-01-01,a7902bb1
Premier League,Matchweek 22,L 1–2,a2d435b3,33c895d4,1,90,0,0,0,0,1,1,0,0,80,2,1,0,0.3,0.3,0.0,0,0,54,64,84.4,3,46,3,0,0,2020-01-11,bf752bf7
Premier League,Matchweek 23,L 1–2,a2d435b3,943e8050,1,90,0,0,0,0,2,0,0,0,74,1,3,0,0.2,0.2,0.0,1,0,49,60,81.7,8,40,0,0,0,2020-01-19,bd102a2b
Premier League,Matchweek 24,W 4–1,a2d435b3,7c21e445,1,90,0,0,0,0,0,0,0,0,64,0,0,1,0.0,0.0,0.0,0,0,55,59,93.2,6,45,1,1,1,2020-01-22,354b03ac
Premier League,Matchweek 25,D 2–2,a2d435b3,cff3d9bb,1,90,0,0,0,0,1,0,1,0,75,3,0,2,0.1,0.1,0.0,0,0,47,64,73.4,3,39,0,0,0,2020-02-01,270dc7ba
Premier League,Matchweek 26,D 0–0,a2d435b3,8cec06e1,1,90,0,0,0,0,1,0,0,0,89,2,3,0,0.1,0.1,0.0,1,0,72,77,93.5,3,66,0,0,0,2020-02-14,a11273b7
Premier League,Matchweek 27,L 0–1,a2d435b3,b8fd03ef,1,90,0,0,0,0,0,0,0,0,45,1,2,1,0.0,0.0,0.0,2,0,26,29,89.7,2,20,1,0,0,2020-02-22,4f00e03a
Premier League,Matchweek 28,L 0–1,a2d435b3,1c781004,1,90,0,0,0,0,1,1,0,0,60,1,1,0,0.0,0.0,0.0,1,0,45,53,84.9,4,36,0,0,0,2020-02-28,8edf3e12
Premier League,Matchweek 29,W 4–0,a2d435b3,8602292d,1,90,0,0,0,0,2,1,1,0,81,2,0,1,0.2,0.2,0.3,1,0,57,70,81.4,4,56,0,0,0,2020-03-09,76f492dc
Premier League,Matchweek 30,D 1–1,a2d435b3,2abfe087,1,90,0,0,0,0,0,0,0,0,89,1,0,0,0.0,0.0,0.0,1,1,72,82,87.8,3,54,3,0,0,2020-06-20,e5f403c2
Premier League,Matchweek 31,D 0–0,a2d435b3,d07537b9,1,90,0,0,0,0,0,0,0,0,91,2,0,0,0.0,0.0,0.0,1,0,72,82,87.8,10,58,0,1,0,2020-06-23,481a9a3a
Premier League,Matchweek 32,L 1–2,a2d435b3,d3fd31cc,1,90,0,0,0,0,2,1,0,0,101,1,2,0,0.2,0.2,0.0,2,0,88,95,92.6,4,77,1,0,0,2020-07-01,c2c7ebbf
Premier League,Matchweek 33,W 3–0,a2d435b3,47c64c55,1,90,0,0,0,0,0,0,0,0,70,3,3,1,0.0,0.0,0.1,2,0,49,56,87.5,1,42,1,0,0,2020-07-04,88e800c1
Premier League,Matchweek 34,D 1–1,a2d435b3,18bb7c10,1,90,0,0,0,0,0,0,0,0,61,1,1,0,0.0,0.0,0.0,0,0,49,54,90.7,4,25,1,1,1,2020-07-07,a26b0a22
Premier League,Matchweek 35,L 1–4,a2d435b3,4ba7cbea,1,90,0,0,0,0,0,0,0,0,78,0,2,2,0.0,0.0,0.0,0,0,51,66,77.3,2,38,0,0,0,2020-07-12,d2adf574
Premier League,Matchweek 36,W 2–0,a2d435b3,1df6b87e,1,90,0,0,0,0,0,0,1,0,86,0,2,1,0.0,0.0,0.0,2,1,53,76,69.7,1,42,1,0,0,2020-07-16,0903cee0
Premier League,Matchweek 37,L 0–3,a2d435b3,361ca564,1,90,0,0,0,0,0,0,1,0,123,2,2,0,0.0,0.0,0.1,3,0,111,118,94.1,16,77,3,0,0,2020-07-19,d4ce66f6
Premier League,Matchweek 38,L 0–2,a2d435b3,19538871,1,89,0,0,0,0,0,0,1,1,67,1,5,0,0.0,0.0,0.0,2,0,50,58,86.2,5,47,0,0,0,2020-07-26,3873cc78
