comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 1,D 0–0,a2d435b3,8cec06e1,1,90,2,0,2,100.0,1,0.2,0,0,0,0,1,3,33.3,17,2,17.6,27.8,7,0.0,26.3,5,0,0.0,1,27.0,2019-08-11,bf4afd61
Premier League,Matchweek 2,D 1–1,a2d435b3,cff3d9bb,1,90,5,1,4,80.0,0,0.3,0,0,0,0,7,14,50.0,30,5,20.0,30.7,9,88.9,51.8,18,0,0.0,0,5.0,2019-08-18,aebf58b9
Premier League,Matchweek 3,W 2–1,a2d435b3,1df6b87e,1,90,2,1,1,50.0,0,0.3,0,0,0,0,3,11,27.3,29,5,20.7,34.3,12,41.7,38.2,28,1,3.6,0,5.0,2019-08-24,48fcf75b
Premier League,Matchweek 4,W 3–1,a2d435b3,4ba7cbea,1,90,2,1,1,50.0,0,1.0,0,0,0,0,2,13,15.4,27,3,29.6,34.5,6,83.3,57.5,14,0,0.0,1,25.0,2019-08-31,3d899563
Premier League,Matchweek 5,L 0–1,a2d435b3,19538871,1,90,5,1,4,100.0,0,1.5,1,1,0,0,8,14,57.1,23,2,43.5,34.3,7,57.1,46.1,7,0,0.0,1,30.0,2019-09-14,6d0266a1
Premier League,Matchweek 6,W 2–1,a2d435b3,361ca564,1,90,4,1,3,75.0,0,1.2,0,0,0,0,8,16,50.0,27,9,44.4,38.4,9,44.4,39.0,17,2,11.8,0,10.5,2019-09-21,e30adc4b
Premier League,Matchweek 7,W 5–0,a2d435b3,b2b47a98,1,90,0,0,0,,1,0.0,0,0,0,0,0,1,0.0,16,3,6.3,25.3,6,0.0,18.2,6,1,16.7,0,11.0,2019-09-29,40d77688
Premier League,Matchweek 8,L 1–2,a2d435b3,822bd0ba,1,90,8,2,6,87.5,0,3.4,1,1,0,0,11,23,47.8,31,6,51.6,37.7,9,77.8,58.8,16,1,6.3,2,15.4,2019-10-05,aaed1c4e
Premier League,Matchweek 9,W 2–1,a2d435b3,943e8050,1,90,4,1,3,75.0,0,1.7,0,0,0,0,8,12,66.7,27,8,25.9,32.8,6,83.3,47.5,13,1,7.7,1,15.6,2019-10-19,3529c097
Premier League,Matchweek 10,W 9–0,a2d435b3,33c895d4,1,90,3,0,3,100.0,1,0.3,0,0,0,0,2,3,66.7,15,6,20.0,27.7,7,0.0,16.9,6,1,16.7,0,16.3,2019-10-25,3e9712d7
