comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,D 0–0,d3fd31cc,47c64c55,1,90,0,0,0,0,1,0,0,0,70,0,0,0,0.0,0.0,0.1,3,0,36,60,60.0,5,39,2,2,0,2019-08-10,a802f51e
Premier League,Matchweek 2,W 1–0,d3fd31cc,2abfe087,1,72,0,1,0,0,3,1,0,0,52,3,0,1,0.1,0.1,0.1,4,1,23,35,65.7,3,11,0,1,1,2019-08-17,f35c8c3a
Premier League,Matchweek 3,L 0–2,d3fd31cc,8602292d,1,90,0,0,0,0,2,0,0,0,82,3,0,2,0.1,0.1,0.2,6,0,53,72,73.6,9,45,3,0,0,2019-08-23,3e805eff
Premier League,Matchweek 4,W 3–2,d3fd31cc,8cec06e1,1,90,0,1,0,0,1,0,0,0,80,2,1,0,0.0,0.0,0.1,5,1,51,67,76.1,6,41,4,0,0,2019-09-01,70303b7b
Premier League,Matchweek 5,L 1–3,d3fd31cc,4ba7cbea,1,90,0,0,0,0,1,0,1,0,83,0,4,3,0.0,0.0,0.2,5,0,50,77,64.9,8,36,3,2,2,2019-09-15,886c59ae
Premier League,Matchweek 6,L 0–2,d3fd31cc,1df6b87e,1,90,0,0,0,0,2,1,0,0,105,1,2,0,0.1,0.1,0.0,5,0,64,97,66.0,4,60,7,1,1,2019-09-21,707ee0eb
Premier League,Matchweek 7,L 1–3,d3fd31cc,b8fd03ef,1,90,0,0,0,0,1,0,0,0,45,2,1,1,0.1,0.1,0.4,2,0,30,41,73.2,0,18,0,0,0,2019-09-28,1b9f4fc3
Premier League,Matchweek 8,L 0–1,d3fd31cc,943e8050,1,90,0,0,0,0,0,0,0,0,69,0,1,0,0.0,0.0,0.2,3,0,41,67,61.2,1,43,1,0,0,2019-10-05,2f9439d0
Premier League,Matchweek 9,W 2–0,d3fd31cc,7c21e445,1,90,0,0,0,0,1,0,0,0,70,4,1,0,0.1,0.1,0.2,7,0,41,64,64.1,1,22,1,0,0,2019-10-19,0fa45675
Premier League,Matchweek 10,L 2–3,d3fd31cc,d07537b9,1,90,0,0,0,0,0,0,0,0,81,4,1,2,0.0,0.0,0.2,6,0,54,65,83.1,5,42,3,0,0,2019-10-26,f728ceea
Premier League,Matchweek 11,D 1–1,d3fd31cc,361ca564,1,90,0,1,0,0,0,0,0,0,79,4,0,1,0.0,0.0,0.4,3,1,44,69,63.8,7,40,3,1,1,2019-11-03,efe9c8f4
Premier League,Matchweek 12,W 2–1,d3fd31cc,33c895d4,1,90,0,0,0,0,1,0,0,0,87,1,3,3,0.0,0.0,0.5,9,0,48,76,63.2,7,20,1,0,0,2019-11-09,553c5b11
Premier League,Matchweek 13,L 0–2,d3fd31cc,1c781004,1,90,0,0,0,0,1,1,0,0,85,3,0,2,0.1,0.1,0.2,6,0,51,77,66.2,5,31,0,1,0,2019-11-23,464461f5
