comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 3–1,361ca564,8602292d,1,90,0,1,0,0,3,1,0,0,45,1,0,2,0.3,0.3,0.3,10,2,31,35,88.6,1,33,7,4,1,2019-08-10,404ee5d3
Premier League,Matchweek 2,D 2–2,361ca564,b8fd03ef,0,35,1,0,0,0,1,1,0,0,15,0,0,0,0.1,0.1,0.0,0,0,5,11,45.5,1,7,3,3,3,2019-08-17,a4ba771e
Premier League,Matchweek 3,L 0–1,361ca564,b2b47a98,1,90,0,0,0,0,5,0,0,0,45,0,1,1,0.6,0.6,0.0,2,0,27,31,87.1,5,31,1,2,2,2019-08-25,c224d1e8
Premier League,Matchweek 4,D 2–2,361ca564,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-01,0b6b8aaf
Premier League,Matchweek 5,W 4–0,361ca564,47c64c55,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,1,0,0,2019-09-14,1d812c17
Premier League,Matchweek 6,L 1–2,361ca564,a2d435b3,0,5,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,4,0,0,0,2019-09-21,e30adc4b
Premier League,Matchweek 7,W 2–1,361ca564,33c895d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-28,23ec5db0
Premier League,Matchweek 8,L 0–3,361ca564,d07537b9,0,18,0,0,0,0,2,2,0,0,12,0,0,0,0.2,0.2,0.0,2,0,8,9,88.9,2,10,2,2,2,2019-10-05,aafb2d3a
Premier League,Matchweek 9,D 1–1,361ca564,2abfe087,1,62,0,0,0,0,2,0,0,0,28,1,0,0,0.1,0.1,0.0,2,0,16,20,80.0,3,15,2,2,2,2019-10-19,4df24be7
Premier League,Matchweek 10,L 1–2,361ca564,822bd0ba,0,7,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,0,0,2019-10-27,16f28685
Premier League,Matchweek 11,D 1–1,361ca564,d3fd31cc,1,90,0,0,0,0,1,1,0,0,42,1,1,3,0.1,0.1,0.0,1,0,12,18,66.7,1,26,3,5,1,2019-11-03,efe9c8f4
Premier League,Matchweek 12,D 1–1,361ca564,1df6b87e,0,5,0,0,0,0,2,1,0,0,7,1,0,0,0.1,0.1,0.0,1,0,4,5,80.0,0,5,1,1,1,2019-11-09,ec70bb2c
Premier League,Matchweek 13,W 3–2,361ca564,7c21e445,1,81,1,0,0,0,3,1,0,0,49,3,0,0,1.2,1.2,0.1,4,0,27,35,77.1,3,34,2,7,3,2019-11-23,a7dc884b
Premier League,Matchweek 14,W 3–2,361ca564,4ba7cbea,0,17,0,0,0,0,0,0,0,0,11,2,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,1,1,2019-11-30,1722ba52
Premier League,Matchweek 15,L 1–2,361ca564,19538871,1,63,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.1,2,0,15,21,71.4,0,22,3,3,1,2019-12-04,614c7c1f
Premier League,Matchweek 16,W 5–0,361ca564,943e8050,1,74,1,0,0,0,1,1,0,0,35,2,2,3,0.9,0.9,0.0,1,0,15,20,75.0,2,22,1,4,3,2019-12-07,56da163b
Premier League,Matchweek 17,W 2–1,361ca564,8cec06e1,1,88,1,0,0,0,2,1,0,0,47,1,3,0,0.1,0.1,0.3,6,2,24,30,80.0,3,26,2,3,2,2019-12-15,e9e002fb
Premier League,Matchweek 18,L 0–2,361ca564,cff3d9bb,1,73,0,0,0,0,0,0,0,0,21,1,1,1,0.0,0.0,0.0,2,0,10,13,76.9,1,17,0,1,1,2019-12-22,a1a20337
