comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 4–0,19538871,cff3d9bb,1,85,2,0,1,1,3,1,0,0,38,3,0,1,1.2,0.4,0.0,1,1,13,23,56.5,3,25,6,0,0,2019-08-11,d0583d0d
Premier League,Matchweek 2,D 1–1,19538871,8cec06e1,1,88,0,1,0,0,2,0,0,0,49,1,0,0,0.1,0.1,0.1,4,1,34,42,81.0,4,21,3,0,0,2019-08-19,d8a7f871
Premier League,Matchweek 3,L 1–2,19538871,47c64c55,1,90,0,0,0,1,3,1,0,0,52,0,1,1,1.0,0.2,0.0,5,1,25,39,64.1,5,32,2,4,3,2019-08-24,7c1c4078
Premier League,Matchweek 4,D 1–1,19538871,33c895d4,1,90,0,0,0,0,6,2,0,0,37,0,0,0,0.7,0.7,0.1,3,0,14,23,60.9,1,22,0,4,2,2019-08-31,bfd4d929
Premier League,Matchweek 5,W 1–0,19538871,a2d435b3,1,90,1,0,1,1,1,0,0,0,28,0,0,0,0.8,0.1,0.0,2,1,11,17,64.7,2,17,2,3,2,2019-09-14,6d0266a1
Premier League,Matchweek 6,L 0–2,19538871,7c21e445,1,60,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,1,0,14,18,77.8,0,8,0,2,1,2019-09-22,fe3e2bec
Premier League,Matchweek 7,D 1–1,19538871,18bb7c10,1,90,0,1,0,0,3,1,1,0,33,1,2,1,0.3,0.3,0.1,2,1,12,20,60.0,1,16,3,0,0,2019-09-30,ce7501cd
Premier League,Matchweek 8,L 0–1,19538871,b2b47a98,1,90,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.1,3,0,12,17,70.6,1,12,2,1,0,2019-10-06,e4a80056
Premier League,Matchweek 9,D 1–1,19538871,822bd0ba,1,83,1,0,0,0,2,1,0,0,23,0,0,0,0.6,0.6,0.0,4,0,11,15,73.3,2,16,3,6,4,2019-10-20,95c3f0c8
Premier League,Matchweek 10,W 3–1,19538871,1c781004,1,90,1,1,0,1,5,3,0,0,60,2,0,0,1.5,0.7,1.1,5,1,37,44,84.1,2,37,8,7,4,2019-10-27,a31a1d67
Premier League,Matchweek 11,L 0–1,19538871,4ba7cbea,1,90,0,0,0,0,1,0,0,0,32,0,0,2,0.1,0.1,0.1,2,0,22,27,81.5,4,16,3,3,3,2019-11-02,9e35d172
Premier League,Matchweek 12,W 3–1,19538871,d07537b9,1,89,1,0,0,0,7,3,1,0,44,1,1,0,1.6,1.6,0.6,5,0,23,27,85.2,5,32,5,5,2,2019-11-10,014bbabe
Premier League,Matchweek 13,D 3–3,19538871,1df6b87e,1,90,1,1,0,0,3,1,0,0,37,1,0,0,0.5,0.5,0.5,3,1,20,23,87.0,4,21,4,5,2,2019-11-24,a1d9d65f
Premier League,Matchweek 14,D 2–2,19538871,8602292d,1,90,0,0,0,0,2,0,0,0,51,2,0,1,0.3,0.3,0.1,2,0,26,35,74.3,4,28,5,7,2,2019-12-01,e88d9028
Premier League,Matchweek 15,W 2–1,19538871,361ca564,1,90,2,0,1,1,5,3,0,0,50,0,1,1,1.1,0.3,0.0,3,2,21,30,70.0,3,32,7,11,5,2019-12-04,614c7c1f
Premier League,Matchweek 16,W 2–1,19538871,b8fd03ef,1,90,1,0,1,1,2,0,0,0,25,0,0,2,0.9,0.2,0.1,3,1,13,16,81.3,5,15,3,2,1,2019-12-07,bf9c0d50
Premier League,Matchweek 17,D 1–1,19538871,d3fd31cc,1,90,0,0,0,0,6,3,0,0,44,1,0,0,0.3,0.3,0.0,2,0,17,25,68.0,3,25,4,6,2,2019-12-15,240ac5ad
Premier League,Matchweek 18,L 0–2,19538871,2abfe087,1,90,0,0,0,0,2,2,0,0,49,0,0,0,0.7,0.7,0.1,6,0,30,40,75.0,2,24,3,5,1,2019-12-22,a58df282
