comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 5,D 0–0,8602292d,7c21e445,1,80,0,0,0,0,0,0,0,0,54,5,1,1,0.0,0.0,0.0,1,0,34,43,79.1,5,30,0,3,3,2019-09-16,b26df467
Premier League,Matchweek 6,L 2–3,8602292d,18bb7c10,1,84,0,0,0,0,1,1,0,0,45,6,1,2,0.0,0.0,0.0,1,0,28,31,90.3,3,26,1,0,0,2019-09-22,d5fa0563
Premier League,Matchweek 7,D 2–2,8602292d,943e8050,1,90,0,0,0,0,0,0,0,0,62,3,2,1,0.0,0.0,0.1,5,0,48,54,88.9,6,31,0,0,0,2019-09-28,37a51188
Premier League,Matchweek 8,W 5–1,8602292d,1c781004,1,90,0,0,0,0,0,0,0,0,50,2,2,4,0.0,0.0,0.0,1,0,25,33,75.8,2,17,0,1,0,2019-10-05,e50b8e5b
Premier League,Matchweek 9,W 2–1,8602292d,d07537b9,1,90,0,0,0,0,0,0,0,0,45,2,1,7,0.0,0.0,0.0,1,0,31,32,96.9,3,18,1,1,0,2019-10-19,34685c72
Premier League,Matchweek 10,L 0–3,8602292d,b8fd03ef,1,90,0,0,0,0,0,0,0,0,44,3,2,1,0.0,0.0,0.1,1,0,32,35,91.4,2,16,1,2,2,2019-10-26,e0a4db2d
Premier League,Matchweek 11,L 1–2,8602292d,822bd0ba,1,90,0,0,0,0,0,0,0,0,39,5,2,2,0.0,0.0,0.0,0,0,16,27,59.3,0,12,0,0,0,2019-11-02,2206646c
Premier League,Matchweek 12,L 1–2,8602292d,8cec06e1,1,68,0,0,0,0,2,0,1,0,53,5,3,2,0.0,0.0,0.0,1,0,33,41,80.5,1,27,1,1,1,2019-11-10,2794f89d
Premier League,Matchweek 13,W 2–0,8602292d,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-11-25,f6f8808e
Premier League,Matchweek 14,D 2–2,8602292d,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-01,e88d9028
Premier League,Matchweek 15,L 1–2,8602292d,cff3d9bb,1,90,0,0,0,0,0,0,0,0,62,5,4,7,0.0,0.0,0.1,2,0,34,38,89.5,2,20,1,0,0,2019-12-04,3f316110
Premier League,Matchweek 16,L 1–4,8602292d,a2d435b3,1,58,0,0,0,0,0,0,1,0,26,0,2,0,0.0,0.0,0.0,0,0,19,21,90.5,4,15,0,1,0,2019-12-08,559e812a
Premier League,Matchweek 17,L 0–2,8602292d,1df6b87e,1,90,0,0,0,0,1,0,0,0,45,2,2,0,0.0,0.0,0.0,1,0,27,34,79.4,0,15,0,0,0,2019-12-14,b1b5e590
Premier League,Matchweek 18,L 1–3,8602292d,33c895d4,0,83,0,0,0,0,0,0,0,0,63,0,5,3,0.0,0.0,0.0,1,0,43,53,81.1,3,32,0,1,1,2019-12-21,d50390a8
Premier League,Matchweek 19,W 1–0,8602292d,1c781004,1,55,0,0,0,0,0,0,0,0,35,1,0,2,0.0,0.0,0.1,2,0,24,27,88.9,2,22,0,1,1,2019-12-26,010301bf
Premier League,Matchweek 20,L 0–3,8602292d,2abfe087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-28,36dc1eb8
Premier League,Matchweek 21,W 2–1,8602292d,943e8050,1,90,0,0,0,0,0,0,0,0,47,2,0,2,0.0,0.0,0.0,2,1,25,34,73.5,4,14,0,1,1,2020-01-01,ac409026
Premier League,Matchweek 22,L 1–6,8602292d,b8fd03ef,0,26,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,11,12,91.7,0,11,0,1,1,2020-01-12,ffb4946c
Premier League,Matchweek 23,D 1–1,8602292d,d07537b9,1,85,0,0,0,0,0,0,1,0,44,2,1,2,0.0,0.0,0.0,0,0,30,34,88.2,1,19,0,0,0,2020-01-18,bd044bad
Premier League,Matchweek 24,W 2–1,8602292d,2abfe087,1,90,0,0,0,0,1,0,0,0,61,2,0,2,0.0,0.0,0.0,1,0,42,51,82.4,3,33,2,1,1,2020-01-21,3deb145e
Premier League,Matchweek 25,L 1–2,8602292d,4ba7cbea,1,79,0,0,0,0,2,0,0,0,40,1,0,0,0.1,0.1,0.0,1,0,25,34,73.5,2,24,0,2,1,2020-02-01,db21a88a
Premier League,Matchweek 26,L 2–3,8602292d,361ca564,0,31,0,0,0,0,0,0,1,0,22,2,3,2,0.0,0.0,0.0,1,0,12,13,92.3,1,9,1,2,1,2020-02-16,ebfe971d
Premier League,Matchweek 27,L 0–2,8602292d,33c895d4,1,80,0,0,0,0,0,0,0,0,46,0,3,1,0.0,0.0,0.0,0,0,27,33,81.8,1,18,0,0,0,2020-02-22,66823ac4
Premier League,Matchweek 29,L 0–4,8602292d,a2d435b3,1,90,0,0,0,0,0,0,0,0,39,1,1,2,0.0,0.0,0.0,0,0,26,32,81.3,2,15,1,1,1,2020-03-09,76f492dc
Premier League,Matchweek 28,D 0–0,8602292d,1df6b87e,0,15,0,0,0,0,0,0,0,0,11,1,1,0,0.0,0.0,0.0,0,0,9,9,100.0,0,7,0,0,0,2020-06-17,18961bf7
Premier League,Matchweek 30,L 1–2,8602292d,cff3d9bb,0,21,0,0,0,0,0,0,0,0,15,2,0,2,0.0,0.0,0.0,0,0,7,11,63.6,2,6,0,0,0,2020-06-21,827d4651
Premier League,Matchweek 31,D 1–1,8602292d,b2b47a98,0,14,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,10,11,90.9,2,10,1,0,0,2020-06-24,66027e20
Premier League,Matchweek 32,L 0–1,8602292d,8cec06e1,1,81,0,0,0,0,0,0,0,0,41,2,2,4,0.0,0.0,0.0,1,0,26,29,89.7,1,18,0,0,0,2020-06-27,b4483d72
Premier League,Matchweek 33,L 0–2,8602292d,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-05,c2481cad
Premier League,Matchweek 34,L 0–3,8602292d,19538871,0,32,0,0,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,3,9,0,0,0,2020-07-09,61422f26
Premier League,Matchweek 35,W 2–0,8602292d,47c64c55,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,2,0,0,0,2020-07-12,b30bf2e8
Premier League,Matchweek 36,D 1–1,8602292d,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-16,f855bc55
Premier League,Matchweek 37,W 1–0,8602292d,18bb7c10,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,1,0,0,0,2020-07-21,ca0b21bc
Premier League,Matchweek 38,D 1–1,8602292d,7c21e445,0,15,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,2020-07-26,a3f59c8e
