comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,D 0–0,d3fd31cc,47c64c55,1,75,0,0,0,0,0,0,2,1,63,1,2,1,0.0,0.0,0.0,3,0,48,54,88.9,8,38,0,0,0,2019-08-10,a802f51e
Premier League,Matchweek 3,L 0–2,d3fd31cc,8602292d,1,90,0,0,0,0,1,0,0,0,87,5,1,0,0.0,0.0,0.0,2,0,67,77,87.0,8,54,0,0,0,2019-08-23,3e805eff
Premier League,Matchweek 4,W 3–2,d3fd31cc,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-01,70303b7b
Premier League,Matchweek 5,L 1–3,d3fd31cc,4ba7cbea,1,90,0,0,0,0,0,0,1,0,70,3,2,3,0.0,0.0,0.0,0,0,52,60,86.7,11,39,1,0,0,2019-09-15,886c59ae
Premier League,Matchweek 6,L 0–2,d3fd31cc,1df6b87e,1,54,0,0,0,0,1,0,0,0,40,0,1,0,0.0,0.0,0.0,2,0,30,34,88.2,1,31,2,1,1,2019-09-21,707ee0eb
Premier League,Matchweek 7,L 1–3,d3fd31cc,b8fd03ef,1,80,0,0,0,0,0,0,1,0,39,1,2,0,0.0,0.0,0.0,2,0,28,33,84.8,4,20,0,0,0,2019-09-28,1b9f4fc3
Premier League,Matchweek 8,L 0–1,d3fd31cc,943e8050,1,83,0,0,0,0,0,0,0,0,54,0,0,1,0.0,0.0,0.0,3,0,44,50,88.0,4,38,0,0,0,2019-10-05,2f9439d0
Premier League,Matchweek 10,L 2–3,d3fd31cc,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-10-26,f728ceea
Premier League,Matchweek 12,W 2–1,d3fd31cc,33c895d4,1,90,0,0,0,0,1,0,0,0,43,2,1,1,0.0,0.0,0.0,1,0,29,35,82.9,3,15,0,0,0,2019-11-09,553c5b11
Premier League,Matchweek 13,L 0–2,d3fd31cc,1c781004,1,55,0,0,0,0,1,0,1,0,33,1,2,1,0.0,0.0,0.0,2,0,23,26,88.5,2,21,0,1,1,2019-11-23,464461f5
Premier League,Matchweek 14,L 1–2,d3fd31cc,a2d435b3,0,13,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,1,1,2019-12-01,aa2284c2
Premier League,Matchweek 15,L 2–5,d3fd31cc,822bd0ba,0,19,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,16,18,88.9,5,10,0,0,0,2019-12-04,de0ec650
Premier League,Matchweek 16,W 3–1,d3fd31cc,cff3d9bb,1,90,0,0,0,0,1,0,0,0,40,6,1,0,0.0,0.0,0.0,0,0,17,27,63.0,1,9,0,0,0,2019-12-07,1b69dd66
Premier League,Matchweek 22,W 1–0,d3fd31cc,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-11,61cc2ca5
Premier League,Matchweek 23,D 1–1,d3fd31cc,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-18,d4898eac
Premier League,Matchweek 24,D 2–2,d3fd31cc,b2b47a98,1,90,0,0,0,0,0,0,0,0,87,5,2,3,0.0,0.0,0.0,2,0,64,74,86.5,5,58,0,0,0,2020-01-21,33b8c50a
Premier League,Matchweek 25,W 3–2,d3fd31cc,2abfe087,0,24,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,0,0,7,12,58.3,2,4,0,0,0,2020-02-01,476d12a9
Premier League,Matchweek 26,W 3–1,d3fd31cc,47c64c55,1,90,0,0,0,0,1,0,0,0,66,5,4,3,0.1,0.1,0.0,0,0,37,44,84.1,5,38,1,0,0,2020-02-08,4e620966
Premier League,Matchweek 27,L 2–3,d3fd31cc,18bb7c10,1,58,0,0,0,0,0,0,1,0,25,2,1,0,0.0,0.0,0.0,0,0,19,22,86.4,3,18,0,0,0,2020-02-23,485003ed
