comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 3–1,361ca564,8602292d,1,90,0,1,0,0,4,0,0,0,78,1,0,1,0.4,0.4,0.0,6,2,54,65,83.1,5,62,9,5,3,2019-08-10,404ee5d3
Premier League,Matchweek 2,D 2–2,361ca564,b8fd03ef,1,90,0,0,0,0,0,0,0,0,45,1,0,1,0.0,0.0,0.0,0,0,30,37,81.1,1,19,2,2,2,2019-08-17,a4ba771e
Premier League,Matchweek 3,L 0–1,361ca564,b2b47a98,1,90,0,0,0,0,0,0,0,0,110,0,0,0,0.0,0.0,0.5,4,0,98,103,95.1,10,79,4,1,1,2019-08-25,c224d1e8
Premier League,Matchweek 4,D 2–2,361ca564,18bb7c10,1,90,0,0,0,0,2,0,0,0,50,1,1,4,0.1,0.1,0.0,0,0,29,38,76.3,1,25,4,2,1,2019-09-01,0b6b8aaf
Premier League,Matchweek 5,W 4–0,361ca564,47c64c55,1,90,0,0,0,0,0,0,0,0,85,0,0,0,0.0,0.0,0.0,0,0,75,81,92.6,6,67,1,1,0,2019-09-14,1d812c17
Premier League,Matchweek 6,L 1–2,361ca564,a2d435b3,1,66,0,0,0,0,0,0,1,0,36,0,1,0,0.0,0.0,0.0,0,0,27,31,87.1,1,20,2,1,1,2019-09-21,e30adc4b
Premier League,Matchweek 7,W 2–1,361ca564,33c895d4,1,90,0,0,0,0,0,0,0,0,60,2,0,1,0.0,0.0,0.0,1,1,32,41,78.0,3,33,5,2,0,2019-09-28,23ec5db0
Premier League,Matchweek 8,L 0–3,361ca564,d07537b9,1,90,0,0,0,0,0,0,0,0,81,2,0,3,0.0,0.0,0.0,0,0,58,71,81.7,4,45,5,7,4,2019-10-05,aafb2d3a
Premier League,Matchweek 9,D 1–1,361ca564,2abfe087,1,90,0,0,0,0,1,0,1,0,82,1,1,0,0.0,0.0,0.1,2,0,65,69,94.2,6,54,0,1,0,2019-10-19,4df24be7
Premier League,Matchweek 10,L 1–2,361ca564,822bd0ba,1,90,0,0,0,0,0,0,1,0,43,1,0,0,0.0,0.0,0.0,1,0,25,34,73.5,1,19,4,4,4,2019-10-27,16f28685
Premier League,Matchweek 11,D 1–1,361ca564,d3fd31cc,1,90,0,0,0,0,0,0,0,0,59,1,1,1,0.0,0.0,0.0,0,0,43,52,82.7,2,38,0,0,0,2019-11-03,efe9c8f4
Premier League,Matchweek 12,D 1–1,361ca564,1df6b87e,1,90,0,0,0,0,0,0,0,0,74,0,0,1,0.0,0.0,0.0,2,0,59,67,88.1,2,54,3,1,1,2019-11-09,ec70bb2c
Premier League,Matchweek 13,W 3–2,361ca564,7c21e445,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0,2019-11-23,a7dc884b
Premier League,Matchweek 14,W 3–2,361ca564,4ba7cbea,1,90,1,0,0,0,3,1,0,0,53,1,2,0,0.6,0.6,0.1,3,0,35,47,74.5,7,24,1,3,3,2019-11-30,1722ba52
Premier League,Matchweek 15,L 1–2,361ca564,19538871,1,84,0,0,0,0,0,0,0,0,56,3,1,0,0.0,0.0,0.0,0,0,39,49,79.6,4,39,3,2,2,2019-12-04,614c7c1f
Premier League,Matchweek 16,W 5–0,361ca564,943e8050,1,90,1,0,0,0,2,1,0,0,42,1,1,0,0.7,0.7,0.0,2,1,27,33,81.8,2,29,3,1,0,2019-12-07,56da163b
Premier League,Matchweek 17,W 2–1,361ca564,8cec06e1,1,90,0,0,0,0,0,0,0,0,46,1,2,1,0.0,0.0,0.1,1,0,31,36,86.1,4,22,5,4,3,2019-12-15,e9e002fb
Premier League,Matchweek 18,L 0–2,361ca564,cff3d9bb,1,90,0,0,0,0,0,0,1,0,52,2,2,0,0.0,0.0,0.1,1,0,37,41,90.2,5,35,1,6,4,2019-12-22,a1a20337
Premier League,Matchweek 19,W 2–1,361ca564,d07537b9,1,90,0,0,0,0,1,1,1,0,55,2,1,1,0.2,0.2,0.1,2,0,36,43,83.7,3,39,2,3,1,2019-12-26,eebe09b9
Premier League,Matchweek 21,L 0–1,361ca564,33c895d4,1,90,0,0,0,0,0,0,1,0,46,2,0,1,0.0,0.0,0.0,1,0,33,38,86.8,4,31,2,2,1,2020-01-01,ce2fad1e
Premier League,Matchweek 30,D 1–1,361ca564,19538871,1,90,0,0,0,0,0,0,0,0,37,3,3,0,0.0,0.0,0.0,0,0,24,30,80.0,3,16,0,1,0,2020-06-19,973a441a
Premier League,Matchweek 31,W 2–0,361ca564,7c21e445,1,90,0,0,0,0,0,0,0,0,75,2,0,1,0.0,0.0,0.1,4,0,62,69,89.9,5,62,4,3,2,2020-06-23,8fc12d99
Premier League,Matchweek 32,L 1–3,361ca564,1df6b87e,1,70,0,0,0,0,2,1,0,0,49,3,3,0,0.2,0.2,0.0,2,0,34,38,89.5,4,32,3,2,1,2020-07-02,70507f3c
Premier League,Matchweek 33,W 1–0,361ca564,d3fd31cc,1,90,0,0,0,0,0,0,1,0,46,1,1,1,0.0,0.0,0.0,2,0,36,40,90.0,2,35,0,1,1,2020-07-06,ba9fd89a
Premier League,Matchweek 34,D 0–0,361ca564,4ba7cbea,1,74,0,0,0,0,0,0,1,0,47,1,0,2,0.0,0.0,0.0,1,0,34,37,91.9,5,18,4,1,1,2020-07-09,1d9de580
Premier League,Matchweek 35,W 2–1,361ca564,18bb7c10,1,90,0,0,0,0,0,0,0,0,29,2,1,0,0.0,0.0,0.0,0,0,15,20,75.0,1,17,1,1,0,2020-07-12,6630c721
Premier League,Matchweek 36,W 3–1,361ca564,b2b47a98,1,90,0,0,0,0,0,0,0,0,51,1,0,0,0.0,0.0,0.0,1,0,37,40,92.5,3,34,3,4,1,2020-07-15,21cbea56
Premier League,Matchweek 37,W 3–0,361ca564,a2d435b3,1,90,0,0,0,0,0,0,0,0,40,0,1,0,0.0,0.0,0.0,0,0,23,32,71.9,1,25,0,5,3,2020-07-19,d4ce66f6
Premier League,Matchweek 38,D 1–1,361ca564,47c64c55,1,79,0,0,0,0,0,0,0,0,52,4,5,0,0.0,0.0,0.0,1,0,37,39,94.9,1,39,1,1,0,2020-07-26,61616d45
