comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Bundesliga,Matchweek 1,D 2–2,2818f8bc,054efa67,1,77,0,1,0,0,2,0,0,0,31,1,1,1,0.2,0.2,0.1,4,1,17,24,70.8,1,17,0,0,0,2019-08-16,64c6b172
Bundesliga,Matchweek 2,L 0–3,2818f8bc,4eaa11d7,1,74,0,0,0,0,0,0,1,0,50,1,2,0,0.0,0.0,0.1,1,0,33,41,80.5,4,31,1,8,7,2019-08-25,cd9bb26d
Bundesliga,Matchweek 3,L 0–3,2818f8bc,c539e393,1,90,0,0,0,0,2,2,0,0,44,2,0,0,0.1,0.1,0.0,4,0,24,33,72.7,1,25,2,3,2,2019-08-31,75285bcb
Bundesliga,Matchweek 4,L 1–2,2818f8bc,a224b06a,1,68,0,0,0,0,2,2,0,0,39,0,0,1,0.2,0.2,0.1,7,0,23,30,76.7,3,26,3,3,2,2019-09-14,2575bd97
Bundesliga,Matchweek 5,W 2–1,2818f8bc,d9f93f02,1,45,0,0,0,0,0,0,0,0,26,0,2,1,0.0,0.0,0.0,0,0,15,17,88.2,2,14,1,3,2,2019-09-21,664edff5
Bundesliga,Matchweek 6,W 4–0,2818f8bc,bc357bf7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-29,ea77079b
Bundesliga,Matchweek 7,W 3–1,2818f8bc,b1278397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-10-04,27b7b828
Bundesliga,Matchweek 8,D 1–1,2818f8bc,62add3bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-10-19,09537127
Bundesliga,Matchweek 9,L 2–3,2818f8bc,033ea6b8,0,45,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.0,1,1,18,21,85.7,5,18,1,5,4,2019-10-26,985da3c2
Bundesliga,Matchweek 10,L 0–1,2818f8bc,7a41008f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-11-02,cd80d911
Bundesliga,Matchweek 11,L 2–4,2818f8bc,acbb6a5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-11-09,56326253
