comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 4–0,19538871,cff3d9bb,1,90,0,2,0,0,1,0,0,0,78,1,0,1,0.1,0.1,0.5,5,2,48,65,73.8,8,46,1,3,1,2019-08-11,d0583d0d
Premier League,Matchweek 2,D 1–1,19538871,8cec06e1,1,90,0,0,0,1,1,0,0,0,108,0,1,1,0.8,0.0,0.0,3,0,81,97,83.5,7,55,1,1,0,2019-08-19,d8a7f871
Premier League,Matchweek 3,L 1–2,19538871,47c64c55,1,90,0,0,0,0,4,0,0,0,97,4,0,1,0.3,0.3,0.1,6,0,68,84,81.0,12,54,1,3,1,2019-08-24,7c1c4078
Premier League,Matchweek 4,D 1–1,19538871,33c895d4,1,90,0,0,0,0,0,0,0,0,73,0,0,0,0.0,0.0,0.2,9,0,50,62,80.6,6,38,3,5,4,2019-08-31,bfd4d929
Premier League,Matchweek 7,D 1–1,19538871,18bb7c10,1,90,0,0,0,0,2,0,0,0,72,3,0,0,0.1,0.1,0.2,4,0,50,63,79.4,6,45,2,2,2,2019-09-30,ce7501cd
Premier League,Matchweek 18,L 0–2,19538871,2abfe087,0,27,0,0,0,0,2,2,0,0,34,0,0,0,0.3,0.3,0.1,4,0,27,30,90.0,6,16,1,0,0,2019-12-22,a58df282
Premier League,Matchweek 19,W 4–1,19538871,b2b47a98,0,45,0,0,0,0,3,2,0,0,78,3,2,1,0.5,0.5,0.1,3,0,61,68,89.7,4,47,1,1,1,2019-12-26,b3d5292f
Premier League,Matchweek 30,D 1–1,19538871,361ca564,0,28,0,0,0,0,1,0,0,0,25,1,0,2,0.0,0.0,0.0,3,2,18,19,94.7,2,16,2,2,2,2020-06-19,973a441a
Premier League,Matchweek 31,W 3–0,19538871,1df6b87e,1,79,0,0,0,0,0,0,0,0,82,0,1,0,0.0,0.0,0.3,6,1,66,79,83.5,11,54,2,5,5,2020-06-24,54cdce8b
Premier League,Matchweek 32,W 3–0,19538871,d07537b9,1,63,0,1,0,0,1,0,0,0,59,1,0,1,0.1,0.1,0.1,3,1,49,57,86.0,10,33,2,0,0,2020-06-30,be321c59
Premier League,Matchweek 33,W 5–2,19538871,4ba7cbea,1,90,0,0,0,0,2,1,0,0,83,0,2,0,0.1,0.1,0.4,5,0,68,77,88.3,13,58,1,2,2,2020-07-04,8bed0062
Premier League,Matchweek 34,W 3–0,19538871,8602292d,1,90,1,0,0,0,1,1,0,0,90,1,0,1,0.0,0.0,0.5,4,0,72,81,88.9,9,53,4,3,2,2020-07-09,61422f26
Premier League,Matchweek 35,D 2–2,19538871,33c895d4,1,62,0,0,0,0,1,1,0,0,45,0,0,0,0.0,0.0,0.0,2,1,28,37,75.7,2,41,1,3,2,2020-07-13,668c9423
Premier League,Matchweek 36,W 2–0,19538871,47c64c55,1,90,0,0,0,0,1,0,0,0,93,2,0,1,0.0,0.0,0.0,0,0,80,88,90.9,3,56,0,2,1,2020-07-16,69a16f9d
Premier League,Matchweek 37,D 1–1,19538871,7c21e445,1,90,0,0,0,0,1,0,0,0,93,0,1,3,0.0,0.0,0.0,2,0,73,81,90.1,8,46,4,4,2,2020-07-22,bf25e016
Premier League,Matchweek 38,W 2–0,19538871,a2d435b3,1,90,0,0,0,0,0,0,1,0,65,4,0,0,0.0,0.0,0.1,2,0,46,57,80.7,4,54,1,2,2,2020-07-26,3873cc78
