comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–3,2abfe087,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-10,38111659
Premier League,Matchweek 2,L 0–1,2abfe087,d3fd31cc,0,12,0,0,0,0,0,0,0,0,10,1,0,1,0.0,0.0,0.0,0,0,3,6,50.0,0,0,0,0,0,2019-08-17,f35c8c3a
Premier League,Matchweek 3,L 1–3,2abfe087,7c21e445,1,85,0,0,0,0,3,0,0,0,48,2,0,0,0.5,0.5,0.1,7,0,26,35,74.3,7,22,2,1,1,2019-08-24,89fbf2a3
Premier League,Matchweek 4,D 1–1,2abfe087,b2b47a98,1,90,0,0,0,0,3,0,0,0,77,1,1,2,0.1,0.1,0.1,3,1,59,65,90.8,6,43,1,1,1,2019-08-31,533c240c
Premier League,Matchweek 5,D 2–2,2abfe087,18bb7c10,1,90,1,0,0,0,7,3,0,0,62,1,0,1,0.5,0.5,0.1,8,0,45,53,84.9,3,44,3,2,2,2019-09-15,8257eda8
Premier League,Matchweek 6,L 0–8,2abfe087,b8fd03ef,1,90,0,0,0,0,1,0,0,0,26,0,2,1,0.1,0.1,0.0,2,0,14,17,82.4,2,16,1,2,1,2019-09-21,4672d0d7
Premier League,Matchweek 7,L 0–2,2abfe087,8cec06e1,1,90,0,0,0,0,1,1,0,0,62,3,0,1,0.8,0.8,0.1,3,0,45,55,81.8,8,34,1,0,0,2019-09-28,4c088365
Premier League,Matchweek 8,D 0–0,2abfe087,1df6b87e,1,90,0,0,0,0,0,0,0,0,48,1,0,0,0.0,0.0,0.1,5,0,36,46,78.3,3,30,2,0,0,2019-10-05,2b83068d
Premier League,Matchweek 9,D 1–1,2abfe087,361ca564,1,90,0,0,0,0,0,0,0,0,48,4,4,1,0.0,0.0,0.0,0,0,23,33,69.7,2,23,1,2,2,2019-10-19,4df24be7
Premier League,Matchweek 10,D 0–0,2abfe087,4ba7cbea,1,9,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,1,0,6,6,100.0,2,2,0,0,0,2019-10-26,1ef8e186
Premier League,Matchweek 27,L 0–3,2abfe087,19538871,0,11,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,6,7,85.7,1,5,0,1,0,2020-02-23,835d0c36
Premier League,Matchweek 30,D 1–1,2abfe087,a2d435b3,0,14,0,0,0,0,0,0,0,0,7,1,0,1,0.0,0.0,0.0,0,0,2,3,66.7,1,3,0,0,0,2020-06-20,e5f403c2
Premier League,Matchweek 31,L 0–1,2abfe087,943e8050,1,45,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.1,1,0,12,19,63.2,0,6,0,0,0,2020-06-25,965fbb94
Premier League,Matchweek 32,L 1–3,2abfe087,33c895d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-06-28,37720dc3
Premier League,Matchweek 33,L 0–3,2abfe087,cff3d9bb,0,27,0,0,0,0,0,0,0,0,15,2,0,0,0.0,0.0,0.0,2,0,11,13,84.6,1,5,0,0,0,2020-07-04,ee7944f1
Premier League,Matchweek 34,W 2–1,2abfe087,1c781004,0,32,0,0,0,0,1,1,1,0,18,2,0,0,0.1,0.1,0.0,0,0,10,14,71.4,2,8,0,0,0,2020-07-07,7e51a0cb
Premier League,Matchweek 35,W 2–1,2abfe087,b2b47a98,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,2020-07-11,ae59ff28
Premier League,Matchweek 36,L 1–3,2abfe087,7c21e445,1,90,0,0,0,0,1,0,1,0,79,3,1,0,0.1,0.1,0.0,1,0,53,65,81.5,10,50,2,0,0,2020-07-17,249bbdaa
Premier League,Matchweek 37,L 0–4,2abfe087,b8fd03ef,1,90,0,0,0,0,0,0,0,0,38,5,2,3,0.0,0.0,0.0,0,0,13,21,61.9,0,11,0,2,0,2020-07-21,9979847f
Premier League,Matchweek 38,L 2–3,2abfe087,18bb7c10,0,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,5,8,62.5,1,6,0,0,0,2020-07-26,5ecaeb4b
