name,position,id
Jack Grealish,"FW,MF",b0b4fd3e
Tyrone Mings,DF,8397a50c
Douglas Luiz,MF,6f7d826d
John McGinn,MF,90f91999
Matt Targett,"DF,MF",e514ab62
Anwar El Ghazi,"FW,MF",ffa90327
Ezri Konsa,DF,0313a347
Frederic Guilbert,"DF,MF",5d8d7454
Wesley Moraes,FW,bfae110f
Trézéguet,"FW,MF",3ae14ed1
Tom Heaton,GK,a6de6361
Marvelous Nakamba,MF,de5b5570
Conor Hourihane,MF,fcab00a0
Kortney Hause,DF,bf8fad51
Björn Engels,DF,4fdf1fd9
Pepe Reina,GK,e358587b
Neil Taylor,DF,c2f9d19f
Ahmed Elmohamady,DF,615ef733
Mbwana Samatta,FW,dae8623e
Ørjan Nyland,GK,bdedffac
Keinan Davis,FW,9deaf2c8
Jota,"FW,MF",9f351459
Danny Drinkwater,MF,2649ff32
Henri Lansbury,MF,fe8e6fa1
Jed Steer,GK,a8a3d139
Jonathan Kodjia,FW,ecf44e09
Indiana Vassilev,"FW,MF",04e195ee
Borja Bastón,"MF,FW",8c44e37b
James Chester,DF,a772eba6
Lovre Kalinić,GK,3a74f92b
Kaine Kesler-Hayden,"DF,MF",9b066938
