name,position,id
César Azpilicueta,DF,53cad200
Kepa Arrizabalaga,GK,28d596a0
Mason Mount,"MF,FW",9674002f
Willian,"FW,MF",8b9ebd03
Jorginho,MF,45db685d
Kurt Zouma,DF,ce4246f5
Tammy Abraham,FW,f586779e
Mateo Kovačić,MF,79c0821a
Andreas Christensen,DF,1cb49278
N'Golo Kanté,MF,b9fbae28
Christian Pulisic,FW,1bf33a9a
Antonio Rüdiger,DF,18b896d6
Reece James,DF,1265a93a
Marcos Alonso,DF,f4290206
Fikayo Tomori,DF,7edfbb8a
Ross Barkley,MF,3a24769f
Emerson Palmieri,DF,e0bc6fdc
Olivier Giroud,FW,16ceb862
Pedro,"FW,MF",3ca7254a
Callum Hudson-Odoi,"FW,MF",15f3ec41
Willy Caballero,GK,a179d516
Ruben Loftus-Cheek,"MF,FW",e97fd090
Billy Gilmour,MF,df10e27c
Michy Batshuayi,FW,2973d8ff
Tariq Lamptey,DF,f4e433d4
Faustino Anjorin,FW,b105919e
Armando Broja,FW,97220da2
Lewis Bate,MF,cd4256d3
Marc Guéhi,DF,d0706b27
Kenedy,"FW,MF",5eebbfdf
