General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Ansu Fati,ESP,FW,17,2002,7,6,431,4.8,4,0,4,4,0,0,1,0,1.8,1.8,1.7,3.5,32,12,60,0.84,0.0,0.84,0.84,0.84,0.37,0.36,0.73,0.37,0.73
Antoine Griezmann,FRA,"FW,MF",29,1991,36,32,2604,28.9,13,7,20,12,1,2,4,0,12.1,10.5,5.6,16.1,41,104,224,0.45,0.24,0.69,0.41,0.66,0.42,0.19,0.61,0.36,0.56
Carles Aleñá,ESP,MF,22,1998,2,0,48,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
Clément Lenglet,FRA,DF,25,1995,33,29,2475,27.5,1,0,1,1,0,0,11,2,1.8,1.8,0.8,2.7,33,181,9,0.04,0.0,0.04,0.04,0.04,0.07,0.03,0.1,0.07,0.1
Francisco Trincão,POR,"FW,MF",20,1999,28,3,706,7.8,3,2,5,3,0,0,1,0,2.6,2.6,0.4,3.0,22,28,92,0.38,0.25,0.64,0.38,0.64,0.33,0.05,0.39,0.33,0.39
Frenkie de Jong,NED,"MF,DF",23,1997,37,35,3154,35.0,3,4,7,3,0,0,5,0,4.8,4.8,5.8,10.6,95,238,129,0.09,0.11,0.2,0.09,0.2,0.14,0.17,0.3,0.14,0.3
Gerard Piqué,ESP,DF,33,1987,18,18,1481,16.5,0,0,0,0,0,0,4,0,0.8,0.8,0.4,1.2,9,67,3,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08
Ilaix Moriba,GUI,MF,17,2003,14,4,542,6.0,1,2,3,1,0,0,1,0,0.8,0.8,0.9,1.7,16,25,20,0.17,0.33,0.5,0.17,0.5,0.13,0.15,0.29,0.13,0.29
Jordi Alba,ESP,"DF,FW",31,1989,35,34,3025,33.6,3,5,8,3,0,0,9,0,1.9,1.9,7.6,9.5,48,197,354,0.09,0.15,0.24,0.09,0.24,0.06,0.22,0.28,0.06,0.28
