General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Andrés Fernández,ESP,GK,33,1986,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borja García,ESP,"MF,FW",29,1990,21,13,1117,12.4,1,0,1,1,0,0,0,0,1.2,1.2,1.1,2.3,23,61,53,0.08,0.0,0.08,0.08,0.08,0.1,0.09,0.19,0.1,0.19
Dani Escriche,ESP,"FW,MF",22,1998,23,7,857,9.5,1,1,2,1,0,0,5,1,2.1,2.1,1.3,3.4,28,27,48,0.11,0.11,0.21,0.11,0.21,0.23,0.13,0.36,0.23,0.36
David Ferreiro,ESP,"MF,FW",32,1988,37,29,2527,28.1,2,4,6,2,0,0,5,0,1.8,1.8,6.0,7.8,68,113,182,0.07,0.14,0.21,0.07,0.21,0.06,0.21,0.28,0.06,0.28
Denis Vavro,SVK,DF,24,1996,11,9,611,6.8,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,5,23,2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Dimitris Siovas,GRE,DF,31,1988,36,34,3071,34.1,2,0,2,2,0,0,5,0,3.1,3.1,0.7,3.8,22,69,7,0.06,0.0,0.06,0.06,0.06,0.09,0.02,0.11,0.09,0.11
Eugeni Valderrama,ESP,"MF,FW",26,1994,3,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12
Gastón Silva,URU,DF,26,1994,12,6,600,6.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,13,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idrissa Doumbia,CIV,MF,22,1998,23,7,779,8.7,0,0,0,0,0,0,4,0,0.4,0.4,0.1,0.4,8,31,4,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Jaime Seoane,ESP,MF,23,1997,29,23,2064,22.9,1,1,2,1,0,0,5,0,1.5,1.5,1.1,2.5,42,87,47,0.04,0.04,0.09,0.04,0.09,0.06,0.05,0.11,0.06,0.11
Javi Galán,ESP,DF,25,1994,37,34,3065,34.1,1,2,3,1,0,0,5,0,0.3,0.3,4.0,4.2,94,100,167,0.03,0.06,0.09,0.03,0.09,0.01,0.12,0.12,0.01,0.12
Javier Ontiveros,ESP,"FW,MF",22,1997,20,10,918,10.2,2,1,3,1,1,1,5,0,1.9,1.1,2.1,3.2,56,42,73,0.2,0.1,0.29,0.1,0.2,0.19,0.2,0.39,0.11,0.31
Joaquín Muñoz,ESP,FW,21,1999,3,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,2,6,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.13,0.08,0.13
Jorge Pulido,ESP,DF,29,1991,33,32,2885,32.1,1,0,1,1,0,0,6,1,2.6,2.6,0.3,2.9,39,99,19,0.03,0.0,0.03,0.03,0.03,0.08,0.01,0.09,0.08,0.09
Juan Carlos,ESP,"MF,FW",29,1991,15,3,291,3.2,0,1,1,0,0,0,0,0,0.6,0.6,0.4,0.9,5,16,17,0.0,0.31,0.31,0.0,0.31,0.18,0.11,0.28,0.18,0.28
Kelechi Nwakali,NGA,"MF,FW",22,1998,5,1,141,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Luisinho,POR,DF,35,1985,5,2,179,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,8,6,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
Mikel Rico,ESP,MF,35,1984,32,27,2183,24.3,1,4,5,1,0,0,2,0,2.4,2.4,1.3,3.7,21,88,72,0.04,0.16,0.21,0.04,0.21,0.1,0.06,0.15,0.1,0.15
Pablo Insua,ESP,DF,26,1993,20,17,1587,17.6,0,0,0,0,0,0,9,0,0.2,0.2,0.0,0.2,3,20,3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Pablo Maffeo,ESP,DF,23,1997,25,25,1964,21.8,1,4,5,1,0,0,4,0,0.7,0.7,2.7,3.4,47,60,112,0.05,0.18,0.23,0.05,0.23,0.03,0.12,0.15,0.03,0.15
Pedro López Muñoz,ESP,DF,36,1983,22,10,1067,11.9,0,1,1,0,0,0,2,0,0.1,0.1,1.6,1.7,16,48,48,0.0,0.08,0.08,0.0,0.08,0.01,0.14,0.15,0.01,0.15
Pedro Mosquera,ESP,MF,32,1988,27,24,2050,22.8,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,18,141,8,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
Rafa Mir,ESP,FW,23,1997,38,32,2877,32.0,13,1,14,11,2,3,2,0,15.3,13.0,1.0,14.0,42,39,117,0.41,0.03,0.44,0.34,0.38,0.48,0.03,0.51,0.41,0.44
Sandro Ramírez,ESP,FW,25,1995,20,16,1285,14.3,5,1,6,5,0,0,2,0,2.2,2.2,0.5,2.7,31,24,74,0.35,0.07,0.42,0.35,0.42,0.16,0.03,0.19,0.16,0.19
Sergio Gómez,ESP,"MF,FW",19,2000,29,4,792,8.8,0,1,1,0,0,0,1,0,0.8,0.8,1.5,2.4,22,34,57,0.0,0.11,0.11,0.0,0.11,0.09,0.17,0.27,0.09,0.27
