General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Adrián López,ESP,"FW,MF",32,1988,17,5,481,5.3,1,1,2,1,0,0,0,0,1.4,1.4,0.2,1.6,12,23,43,0.19,0.19,0.37,0.19,0.37,0.27,0.03,0.3,0.27,0.3
Ante Budimir,CRO,FW,29,1991,30,18,1625,18.1,11,0,11,11,0,0,3,0,9.2,9.2,0.8,10.0,14,29,103,0.61,0.0,0.61,0.61,0.61,0.51,0.04,0.55,0.51,0.55
Aridane Hernández,ESP,DF,31,1989,24,24,2026,22.5,0,0,0,0,0,0,3,1,0.1,0.1,0.4,0.6,3,43,0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02
Darko Brašanac,SRB,MF,28,1992,16,9,909,10.1,2,0,2,2,0,0,4,0,0.9,0.9,0.1,1.1,22,40,46,0.2,0.0,0.2,0.2,0.2,0.09,0.01,0.11,0.09,0.11
David García,ESP,DF,26,1994,35,35,3150,35.0,1,0,1,1,0,0,8,0,1.1,1.1,0.6,1.7,4,124,2,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05
Enric Gallego,ESP,FW,33,1986,22,8,806,9.0,0,2,2,0,0,0,2,0,1.8,1.8,0.6,2.4,5,31,46,0.0,0.22,0.22,0.0,0.22,0.2,0.06,0.27,0.2,0.27
Ezequiel Ávila,ARG,"FW,MF",26,1994,8,2,202,2.2,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,6,9,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16
Facundo Roncaglia,ARG,DF,33,1987,17,14,1232,13.7,1,1,2,1,0,0,3,1,0.5,0.5,0.5,1.0,12,33,24,0.07,0.07,0.15,0.07,0.15,0.04,0.04,0.07,0.04,0.07
Iñigo Pérez,ESP,"MF,DF",32,1988,22,16,1347,15.0,0,0,0,0,0,0,4,1,0.3,0.3,0.9,1.1,6,76,34,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08
Javi Martínez,ESP,"MF,FW",20,1999,13,6,460,5.1,1,1,2,1,0,0,1,0,0.7,0.7,0.4,1.0,4,11,19,0.2,0.2,0.39,0.2,0.39,0.13,0.07,0.2,0.13,0.2
Jon Moncayola,ESP,MF,22,1998,36,28,2660,29.6,2,0,2,2,0,0,7,1,1.4,1.4,1.4,2.7,27,111,45,0.07,0.0,0.07,0.07,0.07,0.05,0.05,0.09,0.05,0.09
Jonathan Calleri,ARG,FW,26,1993,25,20,1544,17.2,5,2,7,5,0,0,4,0,5.7,5.5,0.7,6.3,20,31,97,0.29,0.12,0.41,0.29,0.41,0.33,0.04,0.38,0.32,0.37
Jony,ESP,"MF,FW",29,1991,22,9,871,9.7,0,2,2,0,0,0,0,0,0.7,0.7,2.7,3.3,24,48,84,0.0,0.21,0.21,0.0,0.21,0.07,0.28,0.34,0.07,0.34
Jonás Ramalho,ESP,DF,27,1993,5,3,304,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Juan Cruz Armada,ESP,DF,28,1992,26,23,1962,21.8,0,0,0,0,0,0,4,0,0.1,0.1,0.5,0.5,19,58,41,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Juan Pérez,ESP,GK,24,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kike Barja,ESP,"MF,FW",23,1997,33,17,1433,15.9,2,3,5,2,0,0,2,0,2.6,2.6,2.0,4.6,46,55,143,0.13,0.19,0.31,0.13,0.31,0.16,0.12,0.29,0.16,0.29
Lucas Torró,ESP,MF,26,1994,25,17,1548,17.2,0,1,1,0,0,0,4,0,1.5,1.5,0.4,1.9,5,55,15,0.0,0.06,0.06,0.0,0.06,0.09,0.02,0.11,0.09,0.11
Manu Sánchez,ESP,DF,19,2000,16,10,976,10.8,0,4,4,0,0,0,4,0,0.1,0.1,1.2,1.4,20,51,54,0.0,0.37,0.37,0.0,0.37,0.01,0.11,0.13,0.01,0.13
Marc Cardona,ESP,"FW,DF",25,1995,3,0,53,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4
Nacho Vidal,ESP,DF,25,1995,34,25,2348,26.1,0,0,0,0,0,0,10,0,0.8,0.8,1.6,2.4,18,87,58,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09
Oier Sanjurjo,ESP,MF,34,1986,32,24,2084,23.2,0,2,2,0,0,0,10,0,1.1,1.1,2.2,3.4,8,80,35,0.0,0.09,0.09,0.0,0.09,0.05,0.1,0.15,0.05,0.15
Raúl Navas,ESP,DF,32,1988,2,2,168,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Roberto Torres,ESP,"MF,FW",31,1989,35,19,1894,21.0,7,1,8,3,4,5,0,0,5.9,2.5,1.6,4.1,27,79,95,0.33,0.05,0.38,0.14,0.19,0.28,0.08,0.35,0.12,0.2
Rubén,ESP,GK,36,1984,3,3,187,2.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubén García,ESP,"MF,FW",27,1993,37,33,2718,30.2,3,5,8,2,1,1,2,0,2.6,1.8,5.5,7.3,40,98,197,0.1,0.17,0.26,0.07,0.23,0.09,0.18,0.27,0.06,0.24
Sergio Herrera,ESP,GK,27,1993,33,32,2958,32.9,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Unai García,ESP,DF,28,1992,17,13,1242,13.8,0,0,0,0,0,0,3,0,0.4,0.4,0.4,0.8,4,35,1,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
