General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Alberto Moreno,ESP,DF,28,1992,5,2,193,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,10,9,16,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
Alex Baena,ESP,MF,19,2001,6,2,137,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,5,12,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11
Alfonso Pedraza,ESP,DF,24,1996,29,24,2093,23.3,1,2,3,1,0,0,8,0,1.7,1.7,4.0,5.7,88,47,237,0.04,0.09,0.13,0.04,0.13,0.07,0.17,0.24,0.07,0.24
Carlos Bacca,COL,FW,33,1986,23,9,786,8.7,5,0,5,5,0,0,1,0,3.2,3.2,1.0,4.2,11,14,52,0.57,0.0,0.57,0.57,0.57,0.36,0.12,0.48,0.36,0.48
Dani Raba,ESP,"MF,FW",24,1995,5,1,150,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,8,10,9,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.23,0.2,0.23
Daniel Parejo,ESP,MF,31,1989,36,36,3112,34.6,3,5,8,3,0,0,4,0,1.2,1.2,5.2,6.4,53,320,41,0.09,0.14,0.23,0.09,0.23,0.04,0.15,0.19,0.04,0.19
Fernando Niño,ESP,FW,19,2000,17,8,593,6.6,3,0,3,3,0,0,1,0,4.6,4.6,0.2,4.8,9,9,43,0.46,0.0,0.46,0.46,0.46,0.7,0.03,0.72,0.7,0.72
Francis Coquelin,FRA,MF,29,1991,22,7,736,8.2,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,10,31,20,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.1,0.02,0.1
Gerard Moreno,ESP,FW,28,1992,33,30,2673,29.7,23,7,30,13,10,10,3,0,18.9,11.1,7.4,18.5,49,132,233,0.77,0.24,1.01,0.44,0.67,0.63,0.25,0.88,0.37,0.62
Gerónimo Rulli,ARG,GK,28,1992,2,2,180,2.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaume Costa,ESP,"DF,MF",32,1988,14,3,351,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,9,13,20,0.0,0.26,0.26,0.0,0.26,0.02,0.06,0.08,0.02,0.08
Juan Foyth,ARG,"DF,MF",22,1998,16,13,1168,13.0,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.3,19,52,7,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Manu Trigueros,ESP,MF,28,1991,35,30,2527,28.1,1,6,7,1,0,0,6,1,2.5,2.5,5.0,7.6,33,212,68,0.04,0.21,0.25,0.04,0.25,0.09,0.18,0.27,0.09,0.27
Mario Gaspar,ESP,DF,29,1990,24,21,1851,20.6,0,2,2,0,0,0,3,1,0.9,0.9,2.1,3.0,36,92,84,0.0,0.1,0.1,0.0,0.1,0.05,0.1,0.15,0.05,0.15
Moi Gómez,ESP,"MF,FW",26,1994,35,29,2563,28.5,4,0,4,3,1,1,1,0,3.8,3.0,2.6,5.6,71,116,143,0.14,0.0,0.14,0.11,0.11,0.13,0.09,0.23,0.11,0.2
Paco Alcácer,ESP,FW,26,1993,27,19,1544,17.2,6,4,10,5,1,2,0,0,9.0,7.5,2.8,10.2,12,13,77,0.35,0.23,0.58,0.29,0.52,0.53,0.16,0.69,0.43,0.6
