General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Abdoulaye Bamba,CIV,DF,30,1990,16,16,1347,15.0,0,0,0,0,0,0,2,0,0.1,0.1,1.4,1.4,19,53,60,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.0,0.1
Angelo Fulgini,FRA,MF,23,1996,33,33,2725,30.3,7,3,10,6,1,1,4,0,5.4,4.6,4.8,9.4,101,201,192,0.23,0.1,0.33,0.2,0.3,0.18,0.16,0.34,0.15,0.31
Antonin Bobichon,FRA,"MF,FW",24,1995,23,10,911,10.1,0,1,1,0,0,0,0,0,1.0,1.0,1.4,2.4,20,61,58,0.0,0.1,0.1,0.0,0.1,0.1,0.14,0.24,0.1,0.24
Baptiste Santamaria,FRA,MF,25,1995,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,14,1,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.09,0.04,0.09
Casimir Ninga,CHA,FW,27,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enzo Ebosse,CMR,DF,21,1999,6,3,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,1,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14
Farid El Melali,ALG,"FW,MF",23,1997,17,4,414,4.6,1,0,1,1,0,0,1,0,1.2,1.2,0.1,1.3,16,13,49,0.22,0.0,0.22,0.22,0.22,0.26,0.02,0.28,0.26,0.28
Ibrahim Amadou,FRA,MF,27,1993,24,20,1504,16.7,0,0,0,0,0,0,6,0,1.5,1.5,0.2,1.7,14,63,14,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1
Ismaël Traoré,CIV,DF,33,1986,34,34,2993,33.3,3,3,6,3,0,0,3,0,1.5,1.5,0.9,2.4,11,83,8,0.09,0.09,0.18,0.09,0.18,0.04,0.03,0.07,0.04,0.07
