General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Alberto Grassi,ITA,"MF,DF",25,1995,23,13,1177,13.1,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.8,13,34,30,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06
Andrea Adorante,ITA,FW,20,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Conti,ITA,DF,26,1994,11,9,809,9.0,0,0,0,0,0,0,3,0,0.5,0.5,0.5,1.0,20,42,21,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.11,0.06,0.11
Andreas Cornelius,DEN,FW,27,1993,29,21,1898,21.1,1,4,5,1,0,0,4,0,2.9,2.9,3.5,6.4,12,45,135,0.05,0.19,0.24,0.05,0.24,0.14,0.17,0.3,0.14,0.3
Botond Balogh,HUN,DF,18,2002,3,1,165,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Alves,POR,DF,38,1981,19,18,1632,18.1,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.6,0,50,6,0.06,0.0,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03
Chaka Traorè,CIV,"FW,DF",15,2004,3,0,18,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,0,7,0.0,0.0,0.0,0.0,0.0,1.29,0.0,1.29,1.29,1.29
Daan Dierckx,BEL,DF,17,2003,7,6,471,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Man,ROU,"FW,MF",21,1998,14,8,699,7.8,2,1,3,2,0,0,1,0,2.5,2.5,0.5,3.0,22,38,56,0.26,0.13,0.39,0.26,0.39,0.33,0.06,0.39,0.33,0.39
Drissa Camara,CIV,MF,18,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastón Brugman,URU,MF,27,1992,26,21,1616,18.0,1,1,2,1,0,0,7,0,1.2,1.2,2.5,3.6,22,111,17,0.06,0.06,0.11,0.06,0.11,0.06,0.14,0.2,0.06,0.2
Gervinho,CIV,FW,33,1987,27,25,2021,22.5,5,1,6,5,0,0,0,0,3.5,3.5,2.2,5.7,84,53,163,0.22,0.04,0.27,0.22,0.27,0.16,0.1,0.26,0.16,0.26
Giacomo Ricci,ITA,DF,23,1996,3,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giuseppe Pezzella,ITA,DF,22,1997,24,21,1828,20.3,1,4,5,1,0,0,7,0,0.2,0.2,3.2,3.4,58,69,114,0.05,0.2,0.25,0.05,0.25,0.01,0.16,0.17,0.01,0.17
Graziano Pellè,ITA,FW,35,1985,13,6,614,6.8,1,2,3,1,0,0,1,0,1.6,1.6,1.9,3.5,3,9,38,0.15,0.29,0.44,0.15,0.44,0.23,0.28,0.51,0.23,0.51
Hernani,BRA,MF,26,1994,33,27,2189,24.3,7,3,10,6,1,1,11,0,3.4,2.6,2.7,5.3,51,116,85,0.29,0.12,0.41,0.25,0.37,0.14,0.11,0.25,0.11,0.22
Jacopo Dezi,ITA,"FW,MF",28,1992,2,1,79,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,5,5,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.19,0.07,0.19
Jasmin Kurtić,SVN,MF,31,1989,34,31,2739,30.4,4,0,4,4,0,0,5,0,3.7,3.7,2.2,5.9,53,143,78,0.13,0.0,0.13,0.13,0.13,0.12,0.07,0.19,0.12,0.19
Joshua Zirkzee,NED,"FW,MF",19,2001,4,0,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,1,2,5,0.0,0.0,0.0,0.0,0.0,0.06,0.18,0.24,0.06,0.24
Juan Brunetta,ARG,"FW,MF",23,1997,12,4,475,5.3,1,2,3,1,0,0,3,0,0.9,0.9,0.9,1.8,23,20,34,0.19,0.38,0.57,0.19,0.57,0.17,0.17,0.34,0.17,0.34
Juraj Kucka,SVK,"MF,FW",33,1987,28,28,2334,25.9,7,2,9,3,4,4,8,0,7.1,4.0,2.0,5.9,35,77,117,0.27,0.08,0.35,0.12,0.19,0.27,0.08,0.35,0.15,0.23
Kastriot Dermaku,ALB,DF,28,1992,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lautaro Valenti,ARG,DF,21,1999,11,6,499,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,7,14,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Luca Siligardi,ITA,"FW,MF",32,1988,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46
Luigi Sepe,ITA,GK,29,1991,36,36,3240,36.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matteo Darmian,ITA,DF,30,1989,3,2,208,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Matteo Scozzarella,ITA,MF,32,1988,3,3,153,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,1,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29
Mattia Bani,ITA,DF,26,1993,15,14,1145,12.7,0,0,0,0,0,0,6,0,0.6,0.6,0.4,1.0,5,32,5,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08
Mattia Sprocati,ITA,"MF,FW",27,1993,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxime Busi,BEL,DF,20,1999,24,11,1195,13.3,0,1,1,0,0,0,3,0,0.5,0.5,1.2,1.6,28,66,63,0.0,0.08,0.08,0.0,0.08,0.04,0.09,0.12,0.04,0.12
Márk Kosznovszky,HUN,MF,18,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,2,3,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34
Riccardo Gagliolo,SWE,DF,30,1990,28,22,1956,21.7,2,2,4,2,0,0,6,0,3.2,3.2,1.2,4.4,37,118,34,0.09,0.09,0.18,0.09,0.18,0.15,0.06,0.2,0.15,0.2
Roberto Inglese,ITA,FW,28,1991,14,6,576,6.4,0,2,2,0,0,0,2,0,0.8,0.8,1.6,2.4,1,9,31,0.0,0.31,0.31,0.0,0.31,0.13,0.24,0.37,0.13,0.37
Simon Sohm,SUI,MF,19,2001,18,8,899,10.0,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,13,33,18,0.1,0.0,0.1,0.1,0.1,0.06,0.02,0.08,0.06,0.08
Simone Colombi,ITA,GK,29,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simone Iacoponi,ITA,DF,33,1987,16,13,1193,13.3,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,7,57,18,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Valentin Mihaila,ROU,"FW,MF",20,2000,16,4,698,7.8,3,0,3,3,0,0,2,0,2.7,2.7,0.3,3.0,30,9,60,0.39,0.0,0.39,0.39,0.39,0.35,0.04,0.38,0.35,0.38
Vasilios Zagaritis,GRE,DF,19,2001,2,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08
