comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–3,fd962109,18bb7c10,0,16,0,0,0,0,1,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,2020-09-12,bf52349b
Premier League,Matchweek 2,L 3–4,fd962109,5bfb9659,0,33,1,0,0,0,1,1,0,0,13,0,0,0,0.2,0.2,0.0,0,0,6,9,66.7,2,11,1,3,2,2020-09-19,583c2b60
Premier League,Matchweek 3,L 0–3,fd962109,8602292d,1,77,0,0,0,0,1,0,1,0,31,0,0,1,0.1,0.1,0.0,1,0,17,23,73.9,5,13,1,4,2,2020-09-28,6b258be0
Premier League,Matchweek 4,L 0–1,fd962109,8cec06e1,1,80,0,0,0,0,0,0,0,0,37,3,0,1,0.0,0.0,0.0,0,0,25,31,80.6,0,18,1,0,0,2020-10-04,8f989671
Premier League,Matchweek 5,D 1–1,fd962109,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-18,5529e7a0
Premier League,Matchweek 6,L 1–2,fd962109,47c64c55,0,17,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,1,0,2020-10-24,8d896969
Premier League,Matchweek 7,W 2–0,fd962109,60c6b05f,1,84,1,0,0,0,3,1,1,0,36,1,2,0,1.1,1.1,0.0,2,1,17,25,68.0,2,16,0,0,0,2020-11-02,f2b91282
Premier League,Matchweek 8,L 0–1,fd962109,7c21e445,1,82,0,0,0,0,2,1,0,0,45,0,0,1,0.1,0.1,0.0,2,0,31,37,83.8,6,29,1,2,1,2020-11-07,f075fddc
Premier League,Matchweek 9,L 2–3,fd962109,d3fd31cc,1,57,1,0,0,0,3,2,1,0,37,1,0,0,0.5,0.5,0.0,2,1,26,31,83.9,1,16,1,1,1,2020-11-22,13524225
Premier League,Matchweek 10,W 2–1,fd962109,a2d435b3,1,90,0,0,0,0,0,0,0,0,39,5,3,1,0.0,0.0,0.0,1,1,18,29,62.1,2,16,1,1,1,2020-11-30,ae493b10
Premier League,Matchweek 11,L 0–2,fd962109,b8fd03ef,1,71,0,0,0,0,0,0,0,0,26,0,1,2,0.0,0.0,0.0,0,0,13,18,72.2,1,18,0,2,0,2020-12-05,887dfef6
Premier League,Matchweek 12,D 1–1,fd962109,822bd0ba,1,90,1,0,0,0,2,1,0,0,41,3,1,1,0.1,0.1,0.0,2,0,13,26,50.0,3,23,3,1,0,2020-12-13,5abb0bd1
Premier League,Matchweek 13,D 0–0,fd962109,d07537b9,1,61,0,0,0,0,0,0,0,0,31,2,2,0,0.0,0.0,0.0,0,0,12,21,57.1,0,8,0,0,0,2020-12-16,eb73d532
Premier League,Matchweek 14,D 1–1,fd962109,b2b47a98,1,90,0,0,0,0,1,0,0,0,36,0,0,0,0.3,0.3,0.0,0,0,18,30,60.0,2,18,1,2,1,2020-12-19,3ae84056
Premier League,Matchweek 15,D 0–0,fd962109,33c895d4,1,82,0,0,0,0,0,0,1,0,34,0,0,0,0.0,0.0,0.0,0,0,14,27,51.9,0,12,0,3,1,2020-12-26,cf86c208
Premier League,Matchweek 16,D 1–1,fd962109,361ca564,1,90,0,0,0,0,2,0,0,0,38,1,0,0,0.1,0.1,0.1,2,0,27,32,84.4,2,23,2,3,3,2021-01-13,fcad17a1
Premier League,Matchweek 19,L 0–1,fd962109,cff3d9bb,1,82,0,0,0,0,0,0,1,0,36,2,1,1,0.0,0.0,0.0,1,0,19,23,82.6,5,16,4,0,0,2021-01-16,714c642d
Premier League,Matchweek 20,D 0–0,fd962109,d07537b9,1,90,0,0,0,0,2,0,0,0,51,1,5,2,0.1,0.1,0.0,2,0,25,35,71.4,4,25,0,1,1,2021-01-27,ea5464bd
Premier League,Matchweek 21,D 2–2,fd962109,60c6b05f,1,71,1,0,0,0,3,1,0,0,36,1,0,0,0.6,0.6,0.1,1,0,22,27,81.5,2,13,4,3,0,2021-01-30,d1517c30
Premier League,Matchweek 22,L 0–2,fd962109,a2d435b3,0,20,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,4,7,57.1,1,9,1,2,2,2021-02-03,bd0673ed
Premier League,Matchweek 23,D 0–0,fd962109,7c21e445,1,82,0,0,0,0,2,0,0,0,35,1,1,1,0.1,0.1,0.1,3,0,21,26,80.8,3,25,2,1,1,2021-02-06,d18e21ab
Premier League,Matchweek 24,W 2–0,fd962109,d3fd31cc,1,90,0,0,0,0,1,0,0,0,43,0,0,1,0.0,0.0,0.1,3,0,29,36,80.6,4,27,5,3,1,2021-02-14,46f84386
Premier League,Matchweek 17,D 1–1,fd962109,943e8050,1,66,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,19,23,82.6,2,16,1,1,1,2021-02-17,6285d050
Premier League,Matchweek 25,W 1–0,fd962109,1df6b87e,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,1,1,0,0,0,2021-02-20,b1892d66
Premier League,Matchweek 26,D 0–0,fd962109,47c64c55,1,65,0,0,0,0,1,0,0,0,41,0,0,0,0.0,0.0,0.0,3,0,23,33,69.7,2,21,1,2,1,2021-02-28,2d530fe3
Premier League,Matchweek 33,L 0–1,fd962109,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-04,44b3d20c
Premier League,Matchweek 27,W 1–0,fd962109,822bd0ba,1,90,0,0,0,0,0,0,0,0,36,0,1,2,0.0,0.0,0.1,2,0,20,27,74.1,2,15,2,1,0,2021-03-07,5826a836
Premier League,Matchweek 30,L 1–3,fd962109,8602292d,1,90,0,0,0,0,3,1,1,0,42,2,1,1,0.1,0.1,0.0,2,0,17,25,68.0,2,23,1,6,3,2021-04-04,a2d96ab5
Premier League,Matchweek 31,L 0–1,fd962109,8cec06e1,1,90,0,0,0,0,1,0,0,0,38,1,0,1,0.0,0.0,0.0,1,0,20,28,71.4,3,25,3,0,0,2021-04-09,be1ee647
Premier League,Matchweek 32,D 1–1,fd962109,18bb7c10,1,90,0,0,0,0,1,0,1,0,32,3,0,0,0.0,0.0,0.0,1,0,13,21,61.9,2,18,1,0,0,2021-04-18,a19ff865
Premier League,Matchweek 34,L 0–2,fd962109,cff3d9bb,1,90,0,0,0,0,2,0,0,0,39,0,1,1,0.1,0.1,0.0,1,0,25,29,86.2,0,15,0,2,2,2021-05-01,44d49bd5
Premier League,Matchweek 35,L 0–2,fd962109,943e8050,1,65,0,0,0,0,0,0,0,0,24,0,1,0,0.0,0.0,0.0,2,0,11,18,61.1,0,12,1,1,0,2021-05-10,430d879c
Premier League,Matchweek 36,L 1–3,fd962109,33c895d4,1,90,0,1,0,0,1,0,0,0,51,0,0,1,0.1,0.1,0.2,2,1,35,45,77.8,5,44,2,3,2,2021-05-15,34739ed7
Premier League,Matchweek 37,D 1–1,fd962109,19538871,1,90,0,1,0,0,0,0,0,0,40,1,1,0,0.0,0.0,0.3,3,1,29,33,87.9,1,22,3,2,1,2021-05-18,d8018048
Premier League,Matchweek 38,L 0–2,fd962109,b2b47a98,1,90,0,0,0,0,0,0,0,0,50,2,0,0,0.0,0.0,0.0,2,0,38,45,84.4,2,32,1,1,0,2021-05-23,f966eee0
