comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 2–0,8cec06e1,1df6b87e,1,75,0,1,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.3,4,2,19,27,70.4,3,21,2,2,2,2020-09-14,a3eb7a37
Premier League,Matchweek 2,L 1–3,8cec06e1,b8fd03ef,1,90,0,1,0,0,2,0,0,0,35,3,0,0,0.2,0.2,0.1,3,2,20,25,80.0,1,21,1,2,1,2020-09-21,1c17eca3
Premier League,Matchweek 4,W 1–0,8cec06e1,fd962109,1,70,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,3,0,20,27,74.1,3,19,2,1,1,2020-10-04,8f989671
Premier League,Matchweek 5,W 1–0,8cec06e1,5bfb9659,1,64,0,0,0,0,2,2,0,0,21,1,1,0,0.1,0.1,0.0,1,0,12,14,85.7,6,9,1,1,0,2020-10-19,6a2c4518
Premier League,Matchweek 6,D 1–1,8cec06e1,b2b47a98,1,67,0,0,0,0,3,1,0,0,47,0,1,0,0.1,0.1,0.1,3,0,28,39,71.8,2,32,1,7,5,2020-10-25,76661e3c
Premier League,Matchweek 7,W 2–0,8cec06e1,47c64c55,1,75,1,0,0,0,3,2,0,0,48,0,1,2,0.4,0.4,0.1,5,0,33,43,76.7,3,33,3,2,1,2020-10-30,e1741638
Premier League,Matchweek 8,L 0–1,8cec06e1,a2d435b3,1,59,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.1,3,0,11,14,78.6,2,13,2,1,0,2020-11-08,8407be08
Premier League,Matchweek 9,D 1–1,8cec06e1,33c895d4,1,84,0,0,0,0,4,2,0,0,40,0,0,1,0.2,0.2,0.1,3,0,21,27,77.8,4,23,2,2,0,2020-11-23,e5bfd125
Premier League,Matchweek 10,W 2–1,8cec06e1,18bb7c10,1,69,1,0,0,0,2,1,0,0,38,0,0,0,0.5,0.5,0.0,5,1,28,34,82.4,5,26,2,5,4,2020-11-29,fa17687c
Premier League,Matchweek 11,L 0–4,8cec06e1,822bd0ba,1,70,0,0,0,0,1,1,0,0,27,0,1,0,0.1,0.1,0.0,0,0,15,19,78.9,0,18,0,4,1,2020-12-06,25249736
Premier League,Matchweek 12,L 0–1,8cec06e1,8602292d,1,90,0,0,0,0,4,1,0,0,47,1,2,0,0.2,0.2,0.1,6,0,24,35,68.6,6,33,7,4,4,2020-12-12,f809a014
Premier League,Matchweek 13,W 2–1,8cec06e1,cff3d9bb,1,89,1,0,0,0,1,1,1,0,47,1,2,0,0.0,0.0,0.0,3,1,27,37,73.0,3,35,1,7,6,2020-12-15,20bd0665
Premier League,Matchweek 14,L 1–2,8cec06e1,943e8050,1,90,0,0,0,0,1,0,0,0,41,1,2,0,0.1,0.1,0.1,4,0,24,31,77.4,3,34,2,9,7,2020-12-21,4e106790
Premier League,Matchweek 15,D 1–1,8cec06e1,361ca564,1,89,0,0,0,0,2,2,1,0,61,0,0,1,0.1,0.1,0.0,2,0,35,46,76.1,8,42,6,3,2,2020-12-27,f50faef3
Premier League,Matchweek 16,L 0–1,8cec06e1,19538871,0,36,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,14,17,82.4,1,15,1,0,0,2020-12-29,a8d659e4
Premier League,Matchweek 20,D 0–0,8cec06e1,cff3d9bb,1,71,0,0,0,0,0,0,0,0,26,0,1,0,0.0,0.0,0.0,2,0,16,24,66.7,3,20,1,1,0,2021-01-27,42eeae0e
Premier League,Matchweek 21,L 0–1,8cec06e1,47c64c55,1,67,0,0,0,0,0,0,0,0,30,2,0,0,0.0,0.0,0.1,1,0,16,24,66.7,4,25,2,2,1,2021-01-30,111bd050
Premier League,Matchweek 22,W 2–1,8cec06e1,18bb7c10,1,61,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.0,1,0,21,28,75.0,1,17,4,3,1,2021-02-02,558fa672
Premier League,Matchweek 30,L 2–3,8cec06e1,7c21e445,1,45,0,0,0,0,3,0,0,0,28,0,0,0,0.2,0.2,0.6,3,0,19,24,79.2,5,22,1,0,0,2021-04-05,4c2f6a7b
Premier League,Matchweek 31,W 1–0,8cec06e1,fd962109,1,73,0,0,0,0,0,0,0,0,30,1,1,0,0.0,0.0,0.0,1,0,18,22,81.8,0,16,0,2,1,2021-04-09,be1ee647
Premier League,Matchweek 32,W 1–0,8cec06e1,1df6b87e,1,71,0,0,0,0,1,0,1,0,37,0,0,0,0.1,0.1,0.0,1,0,20,31,64.5,2,32,1,3,1,2021-04-17,07745ff2
Premier League,Matchweek 33,L 0–4,8cec06e1,943e8050,1,68,0,0,0,0,2,1,0,0,28,0,0,0,0.1,0.1,0.0,1,0,16,21,76.2,2,18,2,2,0,2021-04-25,5656770f
Premier League,Matchweek 34,D 1–1,8cec06e1,60c6b05f,0,20,0,0,0,0,1,0,0,0,11,0,0,0,0.0,0.0,0.1,1,0,5,8,62.5,2,8,1,0,0,2021-05-03,378a8a95
Premier League,Matchweek 35,W 2–1,8cec06e1,d07537b9,1,68,0,0,0,0,0,0,0,0,31,0,1,1,0.0,0.0,0.1,4,0,21,26,80.8,3,25,2,1,0,2021-05-09,ad903480
