comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 2,L 1–3,19538871,47c64c55,1,90,5,3,2,60.0,0,2.1,1,1,0,0,1,3,33.3,19,2,15.8,25.3,4,0.0,18.3,7,0,0.0,5,30.4,2020-09-19,97279323
Premier League,Matchweek 3,W 3–2,19538871,d07537b9,1,90,5,2,3,80.0,0,2.3,1,1,0,0,1,6,16.7,12,2,25.0,27.0,9,33.3,28.7,25,0,0.0,0,10.0,2020-09-26,21495573
Premier League,Matchweek 4,L 1–6,19538871,361ca564,1,90,8,6,2,37.5,0,5.1,1,1,0,0,4,5,80.0,16,4,6.3,19.4,6,66.7,45.3,7,0,0.0,0,1.0,2020-10-04,cded7e69
Premier League,Matchweek 5,W 4–1,19538871,b2b47a98,1,90,4,1,4,75.0,0,1.4,0,0,0,0,2,4,50.0,17,3,23.5,27.5,1,0.0,10.0,7,0,0.0,0,,2020-10-17,0b8239de
Premier League,Matchweek 6,D 0–0,19538871,cff3d9bb,1,90,1,0,1,100.0,1,0.0,0,0,0,0,1,8,12.5,18,5,33.3,30.8,6,33.3,30.5,15,0,0.0,0,,2020-10-24,3aaf7c62
Premier League,Matchweek 7,L 0–1,19538871,18bb7c10,1,90,2,1,1,100.0,0,1.0,1,1,0,0,1,9,11.1,15,2,53.3,37.3,9,11.1,17.9,11,0,0.0,0,4.0,2020-11-01,75dd1359
Premier League,Matchweek 8,W 3–1,19538871,d3fd31cc,1,90,1,1,0,0.0,0,0.3,0,0,0,0,3,10,30.0,12,4,33.3,33.6,10,60.0,43.0,15,0,0.0,0,,2020-11-07,ab9f408d
Premier League,Matchweek 9,W 1–0,19538871,60c6b05f,1,90,2,0,2,100.0,1,0.7,0,0,0,0,2,5,40.0,11,0,27.3,29.8,8,25.0,28.0,3,0,0.0,2,26.0,2020-11-21,50004f43
Premier League,Matchweek 10,W 3–2,19538871,33c895d4,1,45,3,2,1,33.3,,0.4,,,,,,2,,4,1,50.0,39.0,2,0.0,17.5,7,,,,,2020-11-29,e0a84e7e
Premier League,Matchweek 12,D 0–0,19538871,b8fd03ef,1,90,2,0,2,100.0,1,0.5,0,0,0,0,1,5,20.0,20,2,20.0,29.1,10,10.0,17.3,10,0,0.0,1,14.5,2020-12-12,85cc70bb
Premier League,Matchweek 13,W 3–2,19538871,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-17,3b3cc5f6
Premier League,Matchweek 14,W 6–2,19538871,5bfb9659,1,90,4,2,1,50.0,0,1.7,0,0,0,0,7,16,43.8,19,3,47.4,35.6,10,70.0,44.5,28,1,3.6,2,16.6,2020-12-20,b7ab53b3
Premier League,Matchweek 15,D 2–2,19538871,a2d435b3,1,90,2,2,1,0.0,0,0.5,0,0,0,0,1,3,33.3,14,3,21.4,27.0,5,0.0,19.2,19,0,0.0,2,27.0,2020-12-26,33c8b5c8
Premier League,Matchweek 16,W 1–0,19538871,8cec06e1,1,90,5,0,5,100.0,1,0.9,0,0,0,0,0,0,,12,5,0.0,16.8,5,0.0,10.0,6,0,0.0,0,13.0,2020-12-29,a8d659e4
Premier League,Matchweek 17,W 2–1,19538871,8602292d,1,90,5,1,4,80.0,0,1.0,0,0,0,0,6,9,66.7,9,1,33.3,32.0,8,75.0,41.9,23,0,0.0,0,9.5,2021-01-01,0ae3a66d
Premier League,Matchweek 1,W 1–0,19538871,943e8050,1,90,0,0,0,,1,0.0,0,0,0,0,3,10,30.0,14,5,28.6,33.2,7,85.7,49.3,12,0,0.0,0,,2021-01-12,2c8aa556
