comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 2,W 1–0,8602292d,1df6b87e,1,90,1,0,0,100.0,1,1.0,1,0,1,0,3,7,42.9,33,8,18.2,27.3,3,33.3,30.3,12,1,8.3,1,19.0,2020-09-21,98b4b5b6
Premier League,Matchweek 3,W 3–0,8602292d,fd962109,1,90,2,0,2,100.0,1,0.3,0,0,0,0,8,25,32.0,31,5,48.4,42.7,11,90.9,63.2,36,2,5.6,0,6.7,2020-09-28,6b258be0
Premier League,Matchweek 4,W 7–2,8602292d,822bd0ba,1,90,8,2,6,75.0,0,2.1,0,0,0,0,8,26,30.8,26,0,84.6,52.4,4,100.0,63.3,15,2,13.3,0,6.5,2020-10-04,14a7771b
Premier League,Matchweek 5,W 1–0,8602292d,a2d435b3,1,90,5,0,5,100.0,1,0.7,0,0,0,0,4,21,19.0,37,2,43.2,38.4,6,83.3,58.5,10,0,0.0,0,,2020-10-18,7751d8c1
Premier League,Matchweek 6,L 0–3,8602292d,5bfb9659,1,90,9,3,6,66.7,0,2.6,0,0,0,0,10,30,33.3,34,6,61.8,42.8,12,75.0,49.5,17,3,17.6,0,6.5,2020-10-23,873ab775
Premier League,Matchweek 7,L 3–4,8602292d,33c895d4,1,90,4,4,0,0.0,0,2.2,0,0,0,0,10,14,71.4,23,0,56.5,39.0,4,25.0,29.8,2,0,0.0,1,20.5,2020-11-01,235264ac
Premier League,Matchweek 8,W 3–0,8602292d,18bb7c10,1,90,2,0,2,100.0,1,0.6,0,0,0,0,15,31,48.4,31,3,71.0,44.4,10,90.0,57.5,22,2,9.1,0,4.3,2020-11-08,90fd3597
Premier League,Matchweek 9,L 1–2,8602292d,d07537b9,1,90,3,2,1,33.3,0,1.7,0,0,0,0,5,6,83.3,16,8,31.3,26.8,5,20.0,26.8,13,1,7.7,2,23.0,2020-11-21,dea0df40
Premier League,Matchweek 10,L 1–2,8602292d,7c21e445,1,90,2,2,0,0.0,0,0.5,0,0,0,0,2,9,22.2,26,4,23.1,27.3,8,37.5,33.9,10,1,10.0,1,15.5,2020-11-30,2f67603c
Premier League,Matchweek 12,W 1–0,8602292d,8cec06e1,1,90,7,0,7,100.0,1,1.3,0,0,0,0,3,12,25.0,29,5,41.4,37.7,1,0.0,20.0,16,0,0.0,1,25.0,2020-12-12,f809a014
