comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–1,361ca564,d3fd31cc,1,90,0,0,0,0,0,0,0,0,75,0,1,0,0.0,0.0,0.0,0,0,60,67,89.6,4,52,1,0,0,2020-09-13,fc7f9aa1
Premier League,Matchweek 2,W 5–2,361ca564,33c895d4,1,90,0,0,0,0,0,0,0,0,67,0,2,0,0.0,0.0,0.0,0,0,43,58,74.1,4,32,2,0,0,2020-09-20,967efd56
Premier League,Matchweek 3,D 1–1,361ca564,b2b47a98,1,90,0,0,0,0,1,0,0,0,74,0,1,1,0.1,0.1,0.0,2,0,62,65,95.4,4,43,0,0,0,2020-09-27,002c4e89
Premier League,Matchweek 4,W 6–1,361ca564,19538871,1,90,0,0,0,0,0,0,0,0,89,0,0,1,0.0,0.0,0.0,0,0,81,84,96.4,1,63,0,0,0,2020-10-04,cded7e69
Premier League,Matchweek 6,W 1–0,361ca564,943e8050,1,90,0,0,0,0,0,0,0,0,87,1,1,0,0.0,0.0,0.0,0,0,69,81,85.2,4,61,0,0,0,2020-10-26,4931660e
Premier League,Matchweek 7,W 2–1,361ca564,d07537b9,1,90,0,0,0,0,0,0,0,0,57,0,1,1,0.0,0.0,0.0,1,0,42,48,87.5,0,41,0,0,0,2020-11-01,1d01ff0c
Premier League,Matchweek 8,W 1–0,361ca564,60c6b05f,1,90,0,0,0,0,0,0,0,0,77,0,1,1,0.0,0.0,0.0,1,0,50,68,73.5,1,31,0,0,0,2020-11-08,90c0e34c
Premier League,Matchweek 9,W 2–0,361ca564,b8fd03ef,1,90,0,0,0,0,1,0,0,0,50,2,1,4,0.1,0.1,0.0,0,0,25,33,75.8,1,23,0,0,0,2020-11-21,8a038069
Premier League,Matchweek 10,D 0–0,361ca564,cff3d9bb,1,90,0,0,0,0,0,0,0,0,67,0,0,2,0.0,0.0,0.0,1,0,49,61,80.3,1,43,1,0,0,2020-11-29,58306243
Premier League,Matchweek 11,W 2–0,361ca564,18bb7c10,1,90,0,0,0,0,1,0,0,0,52,0,0,0,0.1,0.1,0.0,2,0,29,41,70.7,2,25,0,0,0,2020-12-06,35abfa2f
Premier League,Matchweek 12,D 1–1,361ca564,47c64c55,1,90,0,0,0,0,2,1,0,0,63,0,0,1,0.1,0.1,0.0,1,0,43,55,78.2,4,42,0,0,0,2020-12-13,9b0e267e
Premier League,Matchweek 13,L 1–2,361ca564,822bd0ba,1,90,0,0,0,0,1,1,0,0,34,0,1,1,0.1,0.1,0.0,0,0,14,24,58.3,2,17,0,0,0,2020-12-16,966f86fe
Premier League,Matchweek 14,L 0–2,361ca564,a2d435b3,1,90,0,0,0,0,0,0,1,0,101,1,2,2,0.0,0.0,0.0,0,0,70,93,75.3,12,73,5,0,0,2020-12-20,56ffe356
Premier League,Matchweek 15,D 1–1,361ca564,8cec06e1,1,90,0,0,0,0,1,0,0,0,65,1,1,1,0.1,0.1,0.0,1,0,46,53,86.8,2,25,1,0,0,2020-12-27,f50faef3
Premier League,Matchweek 17,W 3–0,361ca564,5bfb9659,1,90,0,0,0,0,1,0,0,0,34,1,2,1,0.0,0.0,0.0,1,0,11,22,50.0,2,10,1,2,2,2021-01-02,93463aad
Premier League,Matchweek 16,D 1–1,361ca564,fd962109,1,90,0,0,0,0,1,0,0,0,92,0,2,1,0.1,0.1,0.0,2,0,71,85,83.5,1,70,1,0,0,2021-01-13,fcad17a1
Premier League,Matchweek 19,W 3–1,361ca564,1df6b87e,1,90,0,0,0,0,0,0,0,0,94,1,0,3,0.0,0.0,0.0,0,0,71,85,83.5,0,54,0,0,0,2021-01-17,c52b1c4f
Premier League,Matchweek 20,L 1–3,361ca564,822bd0ba,1,90,0,0,0,0,0,0,0,0,90,2,1,3,0.0,0.0,0.0,0,0,71,82,86.6,0,58,0,0,0,2021-01-28,17bac3d1
Premier League,Matchweek 21,L 0–1,361ca564,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-31,4663c253
