comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Ligue 1,Matchweek 2,W 4–1,d53c0b06,8dfb7350,1,78,0,0,0,0,0,0,0,0,78,1,2,0,0.0,0.0,0.0,5,0,61,74,82.4,18,48,2,0,0,2020-08-28,7512406f
Premier League,Matchweek 1,W 2–0,8cec06e1,1df6b87e,1,90,0,0,0,0,0,0,1,0,51,0,2,2,0.0,0.0,0.0,1,0,31,39,79.5,0,25,1,3,2,2020-09-14,a3eb7a37
Premier League,Matchweek 2,L 1–3,8cec06e1,b8fd03ef,1,7,0,0,0,0,0,0,0,0,6,2,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,2020-09-21,1c17eca3
Premier League,Matchweek 5,W 1–0,8cec06e1,5bfb9659,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,2020-10-19,6a2c4518
Premier League,Matchweek 6,D 1–1,8cec06e1,b2b47a98,0,23,0,0,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.1,1,0,14,17,82.4,1,16,1,1,1,2020-10-25,76661e3c
Premier League,Matchweek 8,L 0–1,8cec06e1,a2d435b3,0,15,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,12,18,66.7,1,5,0,0,0,2020-11-08,8407be08
Premier League,Matchweek 9,D 1–1,8cec06e1,33c895d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-23,e5bfd125
Premier League,Matchweek 10,W 2–1,8cec06e1,18bb7c10,1,90,0,0,0,0,0,0,0,0,73,3,1,0,0.0,0.0,0.0,0,0,52,58,89.7,2,29,1,0,0,2020-11-29,fa17687c
Premier League,Matchweek 11,L 0–4,8cec06e1,822bd0ba,1,90,0,0,0,0,1,0,0,0,62,1,4,0,0.0,0.0,0.0,1,0,40,51,78.4,4,30,2,1,0,2020-12-06,25249736
Premier League,Matchweek 12,L 0–1,8cec06e1,8602292d,1,90,0,0,0,0,0,0,0,0,57,0,1,3,0.0,0.0,0.0,1,0,38,48,79.2,7,25,1,1,1,2020-12-12,f809a014
Premier League,Matchweek 13,W 2–1,8cec06e1,cff3d9bb,1,90,0,0,0,0,0,0,0,0,59,2,3,1,0.0,0.0,0.0,1,0,35,45,77.8,3,31,0,4,1,2020-12-15,20bd0665
Premier League,Matchweek 14,L 1–2,8cec06e1,943e8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-21,4e106790
Premier League,Matchweek 15,D 1–1,8cec06e1,361ca564,1,74,0,0,0,0,0,0,1,0,71,2,1,4,0.0,0.0,0.0,1,0,53,61,86.9,3,35,2,3,2,2020-12-27,f50faef3
Premier League,Matchweek 24,W 2–1,8cec06e1,33c895d4,0,22,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,13,69.2,1,4,0,0,0,2021-02-14,34682a95
Premier League,Matchweek 25,W 1–0,8cec06e1,5bfb9659,0,22,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,6,10,60.0,1,3,0,0,0,2021-02-19,ae2d6f15
Premier League,Matchweek 36,L 0–2,8cec06e1,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-05-16,9059c960
Premier League,Matchweek 37,L 0–1,8cec06e1,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-05-19,eb7bd01f
Premier League,Matchweek 38,L 1–2,8cec06e1,19538871,0,8,0,0,0,0,0,0,0,0,15,2,0,1,0.0,0.0,0.0,1,0,8,12,66.7,0,9,0,0,0,2021-05-23,2c081c94
