comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–3,60c6b05f,a2d435b3,1,90,0,0,0,0,1,0,0,0,47,0,2,0,0.1,0.1,0.0,3,0,22,32,68.8,5,30,1,2,1,2020-09-13,7dd01ca9
Premier League,Matchweek 2,L 2–5,60c6b05f,d3fd31cc,1,70,1,0,0,0,2,2,0,0,41,3,1,0,0.1,0.1,0.0,1,0,20,22,90.9,3,26,4,5,3,2020-09-19,45bd1880
Premier League,Matchweek 3,D 3–3,60c6b05f,cff3d9bb,1,73,0,0,0,0,2,0,0,0,39,4,0,1,0.1,0.1,0.0,2,1,19,24,79.2,2,21,2,4,2,2020-09-26,d725a16c
Premier League,Matchweek 4,L 0–2,60c6b05f,33c895d4,1,90,0,0,0,0,1,0,0,0,36,3,1,2,0.1,0.1,0.0,2,0,13,19,68.4,2,22,1,3,3,2020-10-04,39864083
Premier League,Matchweek 5,D 0–0,60c6b05f,943e8050,1,90,0,0,0,0,1,1,0,0,40,1,0,0,0.0,0.0,0.0,4,0,24,32,75.0,1,31,3,3,1,2020-10-19,13f3ae88
Premier League,Matchweek 6,D 1–1,60c6b05f,d07537b9,1,62,0,0,0,0,0,0,0,0,40,2,0,3,0.0,0.0,0.0,2,0,21,26,80.8,2,23,1,4,1,2020-10-26,26452511
Premier League,Matchweek 7,L 0–2,60c6b05f,fd962109,1,90,0,0,0,0,2,0,0,0,44,4,2,0,0.1,0.1,0.0,0,0,13,23,56.5,2,22,1,3,2,2020-11-02,f2b91282
Premier League,Matchweek 8,L 0–1,60c6b05f,361ca564,0,24,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,6,10,60.0,0,5,0,1,0,2020-11-08,90c0e34c
Premier League,Matchweek 9,L 0–1,60c6b05f,19538871,1,61,0,0,0,0,1,0,0,0,29,2,1,1,0.0,0.0,0.0,2,0,13,17,76.5,3,15,3,4,3,2020-11-21,50004f43
Premier League,Matchweek 10,W 1–0,60c6b05f,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-28,bd68404c
Premier League,Matchweek 11,L 1–5,60c6b05f,47c64c55,1,45,0,0,0,0,0,0,0,0,18,2,0,0,0.0,0.0,0.0,2,0,11,13,84.6,1,7,0,0,0,2020-12-06,ac9d70e3
Premier League,Matchweek 12,L 1–2,60c6b05f,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-12,4a2a6f14
Premier League,Matchweek 13,D 1–1,60c6b05f,b8fd03ef,1,90,0,0,0,0,0,0,0,0,33,4,3,3,0.0,0.0,0.0,2,0,13,20,65.0,1,13,0,4,3,2020-12-15,40b42ca1
Premier League,Matchweek 14,L 0–3,60c6b05f,8602292d,1,77,0,0,0,0,0,0,0,0,33,2,0,2,0.0,0.0,0.0,1,0,14,18,77.8,3,14,2,4,2,2020-12-20,4bbe55ff
Premier League,Matchweek 15,D 1–1,60c6b05f,822bd0ba,1,90,0,0,0,0,1,0,0,0,35,3,2,1,0.1,0.1,0.0,0,0,12,16,75.0,1,13,0,2,0,2020-12-27,daa09f69
Premier League,Matchweek 16,L 0–5,60c6b05f,5bfb9659,1,72,0,0,0,0,1,1,0,0,33,1,2,0,0.4,0.4,0.0,1,0,19,25,76.0,0,12,0,2,1,2020-12-29,21f2b720
Premier League,Matchweek 17,L 0–4,60c6b05f,18bb7c10,1,45,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,8,16,50.0,0,4,1,1,0,2021-01-02,a56531b0
Premier League,Matchweek 25,D 0–0,60c6b05f,943e8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-02-20,072e8501
Premier League,Matchweek 26,W 1–0,60c6b05f,d07537b9,0,19,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,5,2,3,1,2021-02-27,ff18265a
Premier League,Matchweek 28,L 0–1,60c6b05f,47c64c55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-13,29954372
Premier League,Matchweek 30,W 5–2,60c6b05f,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-03,c5d6a493
Premier League,Matchweek 31,W 3–0,60c6b05f,33c895d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-12,3dee3681
Premier League,Matchweek 32,L 0–3,60c6b05f,a2d435b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-22,be6edfdf
Premier League,Matchweek 33,D 2–2,60c6b05f,8602292d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-25,2ab535fa
Premier League,Matchweek 34,D 1–1,60c6b05f,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-05-03,378a8a95
Premier League,Matchweek 35,L 1–3,60c6b05f,18bb7c10,0,23,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,6,1,2,1,2021-05-09,49369ed5
Premier League,Matchweek 36,L 1–2,60c6b05f,822bd0ba,1,72,0,0,0,0,0,0,0,0,21,2,2,1,0.0,0.0,0.0,0,0,6,12,50.0,1,12,0,0,0,2021-05-16,6a834f6e
Premier League,Matchweek 37,L 1–3,60c6b05f,7c21e445,0,22,0,0,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,14,18,77.8,2,17,2,2,1,2021-05-19,88927a77
Premier League,Matchweek 38,L 1–3,60c6b05f,5bfb9659,0,30,0,0,0,0,1,0,0,0,18,2,0,0,0.1,0.1,0.0,3,0,7,10,70.0,3,11,1,0,0,2021-05-23,9ade2b5d
