comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 1,L 0–3,fd962109,18bb7c10,1,90,5,3,2,40.0,0,1.8,0,0,0,0,6,12,50.0,23,2,43.5,34.4,4,50.0,44.0,8,0,0.0,1,26.0,2020-09-12,bf52349b
Premier League,Matchweek 2,L 3–4,fd962109,5bfb9659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-19,583c2b60
Premier League,Matchweek 3,L 0–3,fd962109,8602292d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-28,6b258be0
Premier League,Matchweek 4,L 0–1,fd962109,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-04,8f989671
Premier League,Matchweek 5,D 1–1,fd962109,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-18,5529e7a0
Premier League,Matchweek 6,L 1–2,fd962109,47c64c55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-24,8d896969
Premier League,Matchweek 7,W 2–0,fd962109,60c6b05f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-02,f2b91282
Premier League,Matchweek 8,L 0–1,fd962109,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07,f075fddc
Premier League,Matchweek 9,L 2–3,fd962109,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-22,13524225
Premier League,Matchweek 10,W 2–1,fd962109,a2d435b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-30,ae493b10
Premier League,Matchweek 11,L 0–2,fd962109,b8fd03ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-05,887dfef6
Premier League,Matchweek 12,D 1–1,fd962109,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-13,5abb0bd1
Premier League,Matchweek 13,D 0–0,fd962109,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-16,eb73d532
Premier League,Matchweek 14,D 1–1,fd962109,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-19,3ae84056
Premier League,Matchweek 15,D 0–0,fd962109,33c895d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26,cf86c208
Premier League,Matchweek 16,D 1–1,fd962109,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-13,fcad17a1
Premier League,Matchweek 19,L 0–1,fd962109,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-16,714c642d
Premier League,Matchweek 18,L 1–2,fd962109,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-20,2a3855db
Premier League,Matchweek 20,D 0–0,fd962109,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-27,ea5464bd
Premier League,Matchweek 21,D 2–2,fd962109,60c6b05f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-30,d1517c30
Premier League,Matchweek 22,L 0–2,fd962109,a2d435b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-02-03,bd0673ed
Premier League,Matchweek 23,D 0–0,fd962109,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-02-06,d18e21ab
Premier League,Matchweek 24,W 2–0,fd962109,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-02-14,46f84386
Premier League,Matchweek 17,D 1–1,fd962109,943e8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-02-17,6285d050
