comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 2,L 3–4,fd962109,5bfb9659,0,21,0,0,0,0,0,0,0,0,10,1,1,0,0.0,0.0,0.0,0,0,4,7,57.1,1,7,1,0,0,2020-09-19,583c2b60
Premier League,Matchweek 5,D 1–1,fd962109,1df6b87e,0,10,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,2,0,5,7,71.4,2,9,0,2,2,2020-10-18,5529e7a0
Premier League,Matchweek 6,L 1–2,fd962109,47c64c55,1,78,0,0,0,0,0,0,0,0,86,3,1,1,0.0,0.0,0.0,1,0,61,75,81.3,5,55,1,2,2,2020-10-24,8d896969
Premier League,Matchweek 7,W 2–0,fd962109,60c6b05f,1,45,0,0,0,0,0,0,0,0,40,4,1,1,0.0,0.0,0.0,2,0,25,29,86.2,3,23,0,0,0,2020-11-02,f2b91282
Premier League,Matchweek 9,L 2–3,fd962109,d3fd31cc,1,68,0,0,0,0,0,0,0,0,55,1,1,1,0.0,0.0,0.0,1,0,38,45,84.4,2,28,1,3,3,2020-11-22,13524225
Premier League,Matchweek 10,W 2–1,fd962109,a2d435b3,0,14,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,5,0,0,0,2020-11-30,ae493b10
Premier League,Matchweek 11,L 0–2,fd962109,b8fd03ef,0,23,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,2,0,14,18,77.8,0,15,1,1,1,2020-12-05,887dfef6
Premier League,Matchweek 12,D 1–1,fd962109,822bd0ba,1,79,0,0,0,0,2,0,1,0,29,3,4,2,0.1,0.1,0.0,1,0,7,11,63.6,0,7,0,0,0,2020-12-13,5abb0bd1
Premier League,Matchweek 13,D 0–0,fd962109,d07537b9,0,29,0,0,0,0,0,0,0,0,17,2,1,1,0.0,0.0,0.0,0,0,8,12,66.7,1,8,0,0,0,2020-12-16,eb73d532
Premier League,Matchweek 14,D 1–1,fd962109,b2b47a98,1,90,0,0,0,0,1,0,0,0,53,3,3,1,0.0,0.0,0.3,2,0,36,40,90.0,3,23,1,4,3,2020-12-19,3ae84056
Premier League,Matchweek 18,L 1–2,fd962109,19538871,0,12,0,0,0,0,1,0,0,0,11,0,2,0,0.0,0.0,0.0,1,0,7,8,87.5,1,8,0,0,0,2021-01-20,2a3855db
Premier League,Matchweek 20,D 0–0,fd962109,d07537b9,0,25,0,0,0,0,0,0,0,0,13,0,2,0,0.0,0.0,0.0,0,0,9,10,90.0,0,5,0,0,0,2021-01-27,ea5464bd
Premier League,Matchweek 21,D 2–2,fd962109,60c6b05f,1,71,0,0,0,0,0,0,0,0,56,0,1,0,0.0,0.0,0.0,0,0,43,51,84.3,3,32,1,2,2,2021-01-30,d1517c30
Premier League,Matchweek 22,L 0–2,fd962109,a2d435b3,0,45,0,0,0,0,0,0,0,0,36,1,0,0,0.0,0.0,0.0,0,0,30,34,88.2,8,30,1,2,2,2021-02-03,bd0673ed
Premier League,Matchweek 23,D 0–0,fd962109,7c21e445,1,78,0,0,0,0,0,0,0,0,58,2,1,0,0.0,0.0,0.0,1,0,43,51,84.3,5,46,1,0,0,2021-02-06,d18e21ab
Premier League,Matchweek 24,W 2–0,fd962109,d3fd31cc,1,89,0,0,0,0,1,0,0,0,75,4,0,1,0.0,0.0,0.0,2,0,64,70,91.4,4,50,3,1,1,2021-02-14,46f84386
