comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 21,D 2–2,60c6b05f,fd962109,0,45,0,1,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.4,2,1,3,6,50.0,1,4,0,0,0,2021-01-30,d1517c30
Premier League,Matchweek 22,L 1–2,60c6b05f,1df6b87e,1,67,0,0,0,0,1,1,0,0,18,0,0,0,0.7,0.7,0.0,2,1,9,11,81.8,1,8,0,1,0,2021-02-02,2d3d863d
Premier League,Matchweek 23,L 0–2,60c6b05f,361ca564,1,90,0,0,0,0,2,1,0,0,26,1,0,0,0.4,0.4,0.0,0,0,11,20,55.0,0,12,0,0,0,2021-02-07,4a652b81
Premier League,Matchweek 24,D 1–1,60c6b05f,19538871,1,90,1,0,0,0,4,2,1,0,20,1,0,0,0.9,0.9,0.0,2,0,4,10,40.0,0,7,0,2,1,2021-02-14,80124feb
Premier League,Matchweek 25,D 0–0,60c6b05f,943e8050,1,90,0,0,0,0,1,0,0,0,25,0,0,0,0.7,0.7,0.1,3,0,13,20,65.0,1,11,2,1,1,2021-02-20,072e8501
Premier League,Matchweek 26,W 1–0,60c6b05f,d07537b9,1,82,0,0,0,0,2,0,0,0,15,0,0,0,0.2,0.2,0.0,0,0,5,10,50.0,1,4,0,1,1,2021-02-27,ff18265a
Premier League,Matchweek 29,L 0–1,60c6b05f,d3fd31cc,1,90,0,0,0,0,3,1,0,0,32,1,0,0,0.7,0.7,0.0,1,0,12,18,66.7,0,19,0,6,4,2021-03-04,ee055741
Premier League,Matchweek 27,D 0–0,60c6b05f,b2b47a98,1,83,0,0,0,0,4,1,0,0,30,0,0,2,1.1,1.1,0.0,1,0,12,18,66.7,0,17,0,1,0,2021-03-07,a096c32f
Premier League,Matchweek 28,L 0–1,60c6b05f,47c64c55,1,90,0,0,0,0,1,1,0,0,31,0,0,0,0.3,0.3,0.1,3,0,19,25,76.0,1,22,0,2,2,2021-03-13,29954372
Premier League,Matchweek 30,W 5–2,60c6b05f,cff3d9bb,1,90,1,0,0,0,2,1,1,0,27,1,0,0,0.1,0.1,0.0,2,1,12,18,66.7,0,16,0,0,0,2021-04-03,c5d6a493
Premier League,Matchweek 31,W 3–0,60c6b05f,33c895d4,1,75,0,1,0,0,1,0,0,0,20,0,1,0,0.3,0.3,0.4,2,2,13,16,81.3,1,13,2,0,0,2021-04-12,3dee3681
Premier League,Matchweek 32,L 0–3,60c6b05f,a2d435b3,1,60,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,3,9,0,0,0,2021-04-22,be6edfdf
Premier League,Matchweek 33,D 2–2,60c6b05f,8602292d,1,90,0,0,0,0,1,0,0,0,38,0,0,0,0.3,0.3,0.0,1,0,14,29,48.3,1,19,0,2,1,2021-04-25,2ab535fa
Premier League,Matchweek 34,D 1–1,60c6b05f,8cec06e1,1,90,1,0,0,0,2,1,0,0,31,0,0,0,0.4,0.4,0.0,3,0,12,22,54.5,0,16,0,0,0,2021-05-03,378a8a95
Premier League,Matchweek 35,L 1–3,60c6b05f,18bb7c10,1,55,0,0,0,0,1,0,0,0,13,0,0,0,0.7,0.7,0.0,0,0,3,7,42.9,2,9,0,0,0,2021-05-09,49369ed5
Premier League,Matchweek 36,L 1–2,60c6b05f,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-05-16,6a834f6e
Premier League,Matchweek 37,L 1–3,60c6b05f,7c21e445,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2021-05-19,88927a77
Premier League,Matchweek 38,L 1–3,60c6b05f,5bfb9659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-05-23,9ade2b5d
