comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 7,L 1–2,d07537b9,361ca564,1,90,3,2,1,66.7,0,1.7,1,1,0,0,5,11,45.5,19,2,52.6,39.3,5,20.0,22.2,8,0,0.0,1,22.3,2020-11-01,1d01ff0c
Premier League,Matchweek 13,D 0–0,d07537b9,fd962109,1,90,4,0,4,100.0,1,1.0,0,0,0,0,8,23,34.8,35,4,51.4,42.5,6,83.3,59.7,4,0,0.0,0,7.3,2020-12-16,eb73d532
Premier League,Matchweek 14,D 1–1,d07537b9,1df6b87e,1,90,3,1,2,66.7,0,0.4,0,0,0,0,4,12,33.3,34,8,35.3,32.3,6,0.0,23.7,9,2,22.2,1,11.0,2020-12-20,d1273e90
Premier League,Matchweek 15,D 2–2,d07537b9,7c21e445,1,90,4,2,2,50.0,0,1.9,0,0,0,0,7,21,33.3,41,5,43.9,35.0,7,42.9,33.4,22,0,0.0,0,8.3,2020-12-27,7ba8c6e9
Premier League,Matchweek 16,L 0–1,d07537b9,18bb7c10,1,90,3,1,2,66.7,0,1.1,0,0,0,0,10,20,50.0,33,7,45.5,35.1,8,62.5,43.1,11,2,18.2,1,13.3,2020-12-29,fdca0bef
Premier League,Matchweek 17,D 3–3,d07537b9,8cec06e1,1,90,4,3,2,50.0,0,1.8,1,1,0,0,1,2,50.0,32,4,6.3,24.8,4,0.0,19.5,10,1,10.0,3,19.3,2021-01-02,abeb80b7
Premier League,Matchweek 18,L 0–1,d07537b9,b8fd03ef,1,90,6,1,5,83.3,0,0.9,1,0,0,1,3,17,17.6,29,3,48.3,33.3,12,25.0,26.6,15,0,0.0,1,23.0,2021-01-13,9926f1f0
Premier League,Matchweek 19,W 1–0,d07537b9,5bfb9659,1,90,2,0,2,100.0,1,0.2,0,0,0,0,13,30,43.3,26,2,76.9,49.7,11,90.9,62.5,23,2,8.7,2,18.3,2021-01-16,ade7aac2
Premier League,Matchweek 20,D 0–0,d07537b9,fd962109,1,90,2,0,2,100.0,1,0.3,0,0,0,0,9,21,42.9,22,1,68.2,47.5,8,75.0,54.6,5,0,0.0,1,15.3,2021-01-27,ea5464bd
Premier League,Matchweek 21,W 1–0,d07537b9,361ca564,1,90,4,0,4,100.0,1,0.6,0,0,0,0,4,16,25.0,25,5,48.0,39.3,4,100.0,60.8,11,0,0.0,1,13.0,2021-01-31,4663c253
Premier League,Matchweek 22,W 1–0,d07537b9,822bd0ba,1,90,1,0,1,100.0,1,0.0,0,0,0,0,11,24,45.8,33,6,60.6,45.5,8,50.0,38.5,20,1,5.0,2,19.0,2021-02-03,314c860f
Premier League,Matchweek 23,D 1–1,d07537b9,943e8050,1,90,7,1,6,85.7,0,1.3,0,0,0,0,6,29,20.7,41,7,43.9,38.3,11,100.0,61.6,23,2,8.7,2,15.2,2021-02-06,4400251e
Premier League,Matchweek 24,D 0–0,d07537b9,8602292d,1,90,1,0,1,100.0,1,0.1,0,0,0,0,2,6,33.3,41,5,14.6,27.6,3,0.0,16.7,9,0,0.0,0,,2021-02-13,c7922348
Premier League,Matchweek 25,L 1–2,d07537b9,47c64c55,1,90,2,2,0,0.0,0,0.6,0,0,0,0,0,1,0.0,13,0,7.7,23.7,3,0.0,18.3,4,0,0.0,2,21.3,2021-02-22,86f378b6
Premier League,Matchweek 26,L 0–1,d07537b9,60c6b05f,1,90,2,1,1,50.0,0,0.8,0,0,0,0,1,7,14.3,36,10,16.7,24.8,8,12.5,23.3,10,4,40.0,2,11.9,2021-02-27,ff18265a
Premier League,Matchweek 27,L 1–2,d07537b9,a2d435b3,1,90,4,2,2,50.0,0,1.3,0,0,0,0,2,9,22.2,27,10,18.5,30.0,8,50.0,44.6,10,2,20.0,0,8.3,2021-03-06,6fc64077
Premier League,Matchweek 28,W 2–1,d07537b9,33c895d4,1,90,4,1,3,75.0,0,0.7,0,0,0,0,9,20,45.0,29,4,58.6,45.9,4,75.0,56.8,16,1,6.3,1,15.0,2021-03-14,b40eb9c6
Premier League,Matchweek 29,W 3–0,d07537b9,b2b47a98,1,90,1,0,1,100.0,1,0.6,0,0,0,0,4,16,25.0,61,3,26.2,29.9,2,0.0,13.5,4,0,0.0,1,13.7,2021-03-20,1daf63a9
Premier League,Matchweek 30,L 1–2,d07537b9,19538871,1,90,7,2,5,71.4,0,1.3,0,0,0,0,3,17,17.6,37,8,37.8,33.6,9,33.3,34.2,17,2,11.8,1,13.2,2021-04-04,de17a70e
Premier League,Matchweek 31,D 0–0,d07537b9,d3fd31cc,1,90,1,0,1,100.0,1,0.2,0,0,0,0,3,6,50.0,25,0,16.0,26.9,7,28.6,29.6,10,0,0.0,0,11.0,2021-04-12,ac6ac8f8
Premier League,Matchweek 32,D 0–0,d07537b9,cff3d9bb,1,90,4,0,4,100.0,1,0.4,0,0,0,0,7,21,33.3,36,2,50.0,40.8,7,42.9,32.4,7,0,0.0,0,,2021-04-20,07b4e58b
Premier League,Matchweek 33,L 0–1,d07537b9,1df6b87e,1,90,3,1,2,66.7,0,1.0,0,0,0,0,6,9,66.7,52,4,15.4,24.7,2,50.0,36.5,10,0,0.0,1,45.0,2021-04-24,1ef0a8f2
Premier League,Matchweek 34,W 2–0,d07537b9,5bfb9659,1,90,2,0,2,100.0,1,0.7,0,0,0,0,10,26,38.5,33,0,54.5,42.8,8,100.0,67.8,22,1,4.5,1,16.7,2021-05-01,1e2ba709
Premier League,Matchweek 35,L 1–2,d07537b9,8cec06e1,1,90,6,2,4,66.7,0,1.8,0,0,0,0,6,14,42.9,33,3,30.3,32.1,8,50.0,42.4,21,0,0.0,1,10.5,2021-05-09,ad903480
Premier League,Matchweek 36,D 1–1,d07537b9,7c21e445,1,90,2,1,1,50.0,0,0.4,0,0,0,0,7,14,50.0,46,4,21.7,29.2,10,40.0,36.6,17,0,0.0,2,32.5,2021-05-15,1a1095c2
Premier League,Matchweek 37,W 3–2,d07537b9,b8fd03ef,1,90,4,2,2,50.0,0,1.6,0,0,0,0,3,8,37.5,36,2,16.7,25.6,2,100.0,66.5,6,0,0.0,1,16.5,2021-05-18,3b1cd656
Premier League,Matchweek 38,L 0–2,d07537b9,18bb7c10,1,90,5,2,3,60.0,0,0.9,0,0,0,0,7,11,63.6,50,9,16.0,26.7,6,50.0,39.0,16,2,12.5,1,9.0,2021-05-23,9f6c52f8
