comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 4–3,822bd0ba,5bfb9659,1,88,0,0,0,0,0,0,0,0,71,0,2,0,0.0,0.0,0.1,2,0,41,66,62.1,3,31,0,0,0,2020-09-12,21b58926
Premier League,Matchweek 2,W 2–0,822bd0ba,cff3d9bb,1,90,0,0,0,0,3,0,0,0,98,1,1,1,0.1,0.1,0.1,3,0,70,91,76.9,8,65,2,1,1,2020-09-20,c64e5792
Premier League,Matchweek 3,W 3–1,822bd0ba,18bb7c10,1,90,0,1,0,0,2,0,1,0,102,1,1,0,0.0,0.0,0.9,5,1,67,93,72.0,8,56,1,2,2,2020-09-28,ebe4e309
Premier League,Matchweek 4,L 2–7,822bd0ba,8602292d,1,90,0,0,0,0,2,0,0,0,86,2,4,0,0.1,0.1,0.1,3,0,63,78,80.8,5,52,2,0,0,2020-10-04,14a7771b
Premier League,Matchweek 5,D 2–2,822bd0ba,d3fd31cc,1,90,0,0,0,0,2,1,0,0,74,1,0,0,0.2,0.2,0.1,1,0,53,68,77.9,7,49,0,2,1,2020-10-17,6da04e2d
Premier League,Matchweek 6,W 2–1,822bd0ba,1df6b87e,1,90,0,0,0,0,1,1,0,0,119,0,0,0,0.0,0.0,0.3,7,0,90,115,78.3,12,87,3,1,1,2020-10-24,0bc8d984
Premier League,Matchweek 7,W 2–1,822bd0ba,7c21e445,1,90,0,0,0,0,1,0,0,0,137,1,1,0,0.1,0.1,0.1,2,0,106,128,82.8,11,105,1,3,2,2020-10-31,56ad8025
Premier League,Matchweek 8,D 1–1,822bd0ba,b8fd03ef,1,62,0,0,0,0,2,1,0,0,46,2,1,2,0.1,0.1,0.0,0,0,26,37,70.3,4,16,0,0,0,2020-11-08,26382194
Premier League,Matchweek 11,W 4–0,822bd0ba,8cec06e1,0,23,0,0,0,0,0,0,0,0,16,2,2,1,0.0,0.0,0.0,0,0,7,10,70.0,0,7,0,1,0,2020-12-06,25249736
Premier League,Matchweek 12,D 1–1,822bd0ba,fd962109,1,67,0,0,0,0,0,0,0,0,86,3,1,0,0.0,0.0,0.1,2,0,57,81,70.4,9,42,5,1,0,2020-12-13,5abb0bd1
Premier League,Matchweek 13,W 2–1,822bd0ba,361ca564,1,90,0,0,0,0,1,0,0,0,90,1,0,0,0.0,0.0,0.1,2,0,71,86,82.6,7,63,0,1,1,2020-12-16,966f86fe
Premier League,Matchweek 14,W 7–0,822bd0ba,47c64c55,1,90,0,1,0,0,1,0,0,0,109,2,2,0,0.1,0.1,0.1,4,1,83,100,83.0,5,64,0,1,0,2020-12-19,d05715a8
Premier League,Matchweek 15,D 1–1,822bd0ba,60c6b05f,1,90,0,0,0,0,3,0,0,0,112,1,0,0,0.2,0.2,0.4,8,0,88,101,87.1,10,40,4,3,1,2020-12-27,daa09f69
