comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 2,L 1–3,19538871,47c64c55,1,90,0,0,0,0,1,0,0,0,99,0,0,2,0.1,0.1,0.0,1,1,82,85,96.5,5,60,3,0,0,2020-09-19,97279323
Premier League,Matchweek 3,W 3–2,19538871,d07537b9,1,90,0,0,0,0,0,0,0,0,63,2,3,2,0.0,0.0,0.0,0,0,41,46,89.1,2,38,0,0,0,2020-09-26,21495573
Premier League,Matchweek 4,L 1–6,19538871,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-04,cded7e69
Premier League,Matchweek 5,W 4–1,19538871,b2b47a98,1,90,0,0,0,0,0,0,0,0,56,0,0,1,0.0,0.0,0.0,0,0,45,50,90.0,2,40,0,0,0,2020-10-17,0b8239de
Premier League,Matchweek 6,D 0–0,19538871,cff3d9bb,1,90,0,0,0,0,0,0,0,0,72,1,1,1,0.0,0.0,0.1,2,0,57,64,89.1,2,40,0,1,1,2020-10-24,3aaf7c62
Premier League,Matchweek 7,L 0–1,19538871,18bb7c10,1,90,0,0,0,0,0,0,0,0,102,0,2,0,0.0,0.0,0.0,0,0,90,96,93.8,5,70,0,1,1,2020-11-01,75dd1359
Premier League,Matchweek 8,W 3–1,19538871,d3fd31cc,1,90,0,0,0,0,0,0,0,0,58,0,1,1,0.0,0.0,0.0,0,0,42,50,84.0,1,36,1,0,0,2020-11-07,ab9f408d
Premier League,Matchweek 9,W 1–0,19538871,60c6b05f,1,90,0,0,0,0,0,0,0,0,79,1,1,0,0.0,0.0,0.0,1,0,66,75,88.0,5,51,3,0,0,2020-11-21,50004f43
Premier League,Matchweek 10,W 3–2,19538871,33c895d4,1,90,0,0,0,0,0,0,0,0,55,0,2,0,0.0,0.0,0.0,0,0,43,46,93.5,3,27,0,0,0,2020-11-29,e0a84e7e
Premier League,Matchweek 11,W 3–1,19538871,7c21e445,1,90,0,0,0,0,0,0,0,0,83,0,1,2,0.0,0.0,0.0,0,0,69,77,89.6,1,42,0,0,0,2020-12-05,c2206b97
Premier League,Matchweek 12,D 0–0,19538871,b8fd03ef,1,90,0,0,0,0,2,0,0,0,86,1,1,1,0.2,0.2,0.0,1,0,74,79,93.7,2,63,0,0,0,2020-12-12,85cc70bb
