name,position,id
Vicente Guaita,GK,ab13a5aa
Cheikhou Kouyaté,DF,8d3c902d
Wilfried Zaha,FW,b2bc3b1f
Eberechi Eze,MF,ae4fc6a4
Luka Milivojević,MF,2ce2508a
Andros Townsend,"MF,FW",b28bbd58
Joel Ward,DF,8a7ff278
Jordan Ayew,"FW,MF",da052c14
Christian Benteke,FW,ab070c55
Gary Cahill,DF,7914b9fe
Patrick van Aanholt,DF,5f09991f
Jaïro Riedewald,MF,7a1f2c08
Tyrick Mitchell,DF,5cbd1eb0
James McArthur,MF,cee31595
Jeffrey Schlupp,MF,3312f911
Scott Dann,DF,52105203
Nathaniel Clyne,DF,0442183b
James McCarthy,MF,64b08de7
Michy Batshuayi,FW,2973d8ff
James Tomkins,DF,e7ca0439
Mamadou Sakho,DF,87935cf3
Jean-Philippe Mateta,FW,50e6dc35
Jack Butland,GK,cc70a1d5
Martin Kelly,DF,d7492450
Reece Hannam,DF,974b8e7f
Stephen Henderson,GK,f234c188
Wayne Hennessey,GK,76eca7e2
Ryan Inniss,DF,600ae8cb
Max Meyer,"FW,MF",eba42d2b
Jesurun Rak Sakyi,"FW,MF",45685411
Connor Wickham,"FW,MF",41cc19c2
Sam Woods,DF,a62da625
