name,position,id
Alphonse Areola,GK,2f965a72
Tosin Adarabioyo,DF,c81d773d
Ademola Lookman,"FW,MF",7c104bb7
Ola Aina,DF,246d153b
Joachim Andersen,DF,e34fc66d
Andre-Frank Zambo Anguissa,MF,6bb2c084
Bobby Reid,"MF,FW",0f7533cd
Ivan Cavaleiro,FW,979b811d
Harrison Reed,MF,803ae100
Antonee Robinson,DF,289601e6
Ruben Loftus-Cheek,"MF,FW",e97fd090
Mario Lemina,MF,2b471f99
Kenny Tete,"DF,MF",77d7c96f
Aleksandar Mitrović,FW,3925dbd6
Josh Maja,FW,bc0bfc64
Tom Cairney,MF,a8748947
Joe Bryan,"DF,MF",af69e7f0
Tim Ream,DF,28b40c9c
Josh Onomah,MF,6612cd8c
Denis Odoi,DF,f7750aa0
Michael Hector,DF,5f1a2f31
Fabio Carvalho,"MF,FW",966e28d0
Aboubakar Kamara,"FW,MF",4047c976
Marek Rodák,GK,17acc2ed
Maxime Le Marchand,DF,321a71a7
Neeskens Kebano,"FW,MF",18b999f4
Terence Kongolo,DF,1f9a3a04
Tyrese Francois,DF,6722d4f0
Cyrus Christie,"DF,MF",7eb67dad
Fabricio,GK,af245161
Sylvester Jasper,"FW,MF",a9f04944
Stefan Johansen,MF,a48da055
Anthony Knockaert,"FW,MF",6c679c6d
