name,position,id
Stuart Dallas,"MF,DF",67ca8566
Luke Ayling,DF,420d7c7d
Patrick Bamford,FW,93feac6e
Illan Meslier,GK,6b625ac2
Jack Harrison,"MF,FW",aa849a12
Ezgjan Alioski,"DF,MF",1a7fcf39
Kalvin Phillips,MF,4f565d77
Mateusz Klich,MF,282679b4
Raphinha,"MF,FW",3423f250
Liam Cooper,DF,dc64b8b3
Pascal Struijk,"DF,MF",f4d296e4
Tyler Roberts,"MF,FW",6c17e046
Rodrigo,"MF,FW",1fb1c435
Diego Llorente,DF,bba30585
Hélder Costa,"MF,FW",f13d02a6
Robin Koch,"DF,MF",ea6bc03a
Jamie Shackleton,"MF,DF",8d03ca5a
Pablo Hernández,MF,c0398aca
Kiko Casilla,GK,58bc7d18
Gaetano Berardi,DF,5348aada
Ian Poveda,MF,55b4f1d6
Niall Huggins,DF,6d646ff7
Leif Davis,DF,8574c61f
Mateusz Bogusz,"FW,MF",a2c1d8c2
Elia Caprile,GK,97d7afbd
Oliver Casey,DF,2d82641c
Charlie Cresswell,DF,4654e5f5
Cody Drameh,"DF,MF",e0d1510a
Joe Gelhardt,FW,01962d0d
Sam Greenwood,"FW,MF",f3354c07
Jack Jenkins,MF,3d46127c
Crysencio Summerville,"FW,MF",df04eb4b
