General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Abdoulaye Doucouré,MLI,MF,28,1993,30,29,2537,28.2,2,4,6,2,0,0,6,0,2.2,2.2,2.0,4.2,33,113,54,0.07,0.14,0.21,0.07,0.21,0.08,0.07,0.15,0.08,0.15
Alex Iwobi,NGA,"MF,DF",25,1996,28,22,2035,22.6,2,2,4,2,0,0,1,0,2.3,2.3,2.6,4.9,44,103,104,0.09,0.09,0.18,0.09,0.18,0.1,0.12,0.22,0.1,0.22
Allan,BRA,MF,30,1991,28,25,2183,24.3,0,2,2,0,0,0,7,1,0.2,0.2,0.8,1.1,26,130,18,0.0,0.08,0.08,0.0,0.08,0.01,0.03,0.04,0.01,0.04
Andros Townsend,ENG,"MF,FW",30,1991,21,17,1455,16.2,3,2,5,2,1,1,3,0,2.2,1.5,3.1,4.5,41,50,100,0.19,0.12,0.31,0.12,0.25,0.14,0.19,0.33,0.09,0.28
André Gomes,POR,MF,28,1993,14,7,619,6.9,0,1,1,0,0,0,3,0,0.7,0.7,0.2,0.8,6,25,13,0.0,0.15,0.15,0.0,0.15,0.1,0.03,0.12,0.1,0.12
Anthony Gordon,ENG,"MF,FW",20,2001,35,25,2285,25.4,4,2,6,4,0,0,4,0,3.5,3.5,3.8,7.3,74,51,137,0.16,0.08,0.24,0.16,0.24,0.14,0.15,0.29,0.14,0.29
Anwar El Ghazi,NED,"FW,MF",26,1995,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asmir Begović,BIH,GK,34,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Godfrey,ENG,DF,23,1998,23,23,2029,22.5,0,0,0,0,0,0,6,0,1.4,1.4,0.8,2.2,23,67,26,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.1,0.06,0.1
Cenk Tosun,TUR,MF,30,1991,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dele Alli,ENG,"MF,FW",25,1996,11,1,338,3.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,7,13,21,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12
Demarai Gray,JAM,"MF,FW",25,1996,34,28,2338,26.0,5,4,9,5,0,0,3,0,4.0,4.0,3.6,7.6,93,59,169,0.19,0.15,0.35,0.19,0.35,0.15,0.14,0.29,0.15,0.29
Dominic Calvert-Lewin,ENG,FW,24,1997,17,15,1283,14.3,5,2,7,3,2,3,2,0,6.5,4.2,1.6,5.7,9,17,50,0.35,0.14,0.49,0.21,0.35,0.46,0.11,0.57,0.29,0.4
Donny van de Beek,NED,MF,24,1997,7,5,483,5.4,1,0,1,1,0,0,1,0,1.1,1.1,0.1,1.1,3,20,10,0.19,0.0,0.19,0.19,0.19,0.2,0.01,0.21,0.2,0.21
Ellis Simms,ENG,FW,20,2001,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabian Delph,ENG,MF,31,1989,11,8,662,7.4,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,34,3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Isaac Price,NIR,MF,17,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.56,0.56,0.56
Jarrad Branthwaite,ENG,DF,19,2002,6,4,388,4.3,1,0,1,1,0,0,0,1,0.5,0.5,0.0,0.5,1,12,0,0.23,0.0,0.23,0.23,0.23,0.12,0.0,0.12,0.12,0.12
Jean-Philippe Gbamin,CIV,MF,25,1995,3,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
