General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Baptiste Santamaria,FRA,MF,26,1995,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Uphoff,GER,GK,27,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Günter,GER,"DF,MF",28,1993,34,34,3060,34.0,2,9,11,2,0,0,2,0,0.8,0.8,7.1,7.9,57,120,179,0.06,0.26,0.32,0.06,0.32,0.02,0.21,0.23,0.02,0.23
Dominique Heintz,GER,DF,27,1993,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ermedin Demirović,BIH,FW,23,1998,31,9,871,9.7,2,3,5,2,0,0,4,0,3.0,3.0,1.6,4.6,16,10,74,0.21,0.31,0.52,0.21,0.52,0.31,0.16,0.47,0.31,0.47
Hugo Siquet,BEL,DF,19,2002,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janik Haberer,GER,MF,27,1994,26,7,818,9.1,3,0,3,3,0,0,1,0,1.1,1.1,0.1,1.2,4,31,17,0.33,0.0,0.33,0.33,0.33,0.12,0.01,0.13,0.12,0.13
Jeong Woo-yeong,KOR,"FW,MF",21,1999,32,23,1782,19.8,5,2,7,5,0,0,1,0,5.3,5.3,1.8,7.2,35,62,140,0.25,0.1,0.35,0.25,0.35,0.27,0.09,0.36,0.27,0.36
Jonathan Schmid,FRA,DF,31,1990,13,6,588,6.5,0,1,1,0,0,0,0,0,0.2,0.2,0.8,1.0,9,25,31,0.0,0.15,0.15,0.0,0.15,0.03,0.13,0.15,0.03,0.15
Keven Schlotterbeck,GER,"DF,FW",24,1997,12,3,315,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,5,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Kevin Schade,GER,"MF,FW",19,2001,21,7,831,9.2,4,1,5,4,0,0,2,0,2.1,2.0,0.9,2.9,23,16,63,0.43,0.11,0.54,0.43,0.54,0.23,0.1,0.33,0.22,0.32
Kiliann Sildillia,FRA,"DF,MF",19,2002,7,1,169,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13
Lucas Höler,GER,FW,27,1994,34,30,2583,28.7,7,2,9,7,0,0,2,0,9.1,9.1,3.5,12.6,33,85,208,0.24,0.07,0.31,0.24,0.31,0.32,0.12,0.44,0.32,0.44
Lukas Kübler,GER,"DF,MF",28,1992,29,27,2327,25.9,2,0,2,2,0,0,2,0,1.5,1.5,1.0,2.6,20,89,68,0.08,0.0,0.08,0.08,0.08,0.06,0.04,0.1,0.06,0.1
Manuel Gulde,GER,DF,30,1991,20,14,1225,13.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Flekken,NED,GK,28,1993,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maximilian Eggestein,GER,MF,24,1996,31,26,2194,24.4,1,2,3,1,0,0,2,0,1.1,1.1,1.4,2.5,23,109,52,0.04,0.08,0.12,0.04,0.12,0.05,0.06,0.1,0.05,0.1
Nico Schlotterbeck,GER,DF,21,1999,32,32,2785,30.9,4,1,5,4,0,0,5,0,3.6,3.6,1.5,5.1,35,173,21,0.13,0.03,0.16,0.13,0.16,0.11,0.05,0.16,0.11,0.16
Nicolas Höfler,GER,MF,31,1990,30,30,2600,28.9,2,4,6,2,0,0,5,0,2.1,2.1,1.8,3.8,15,135,17,0.07,0.14,0.21,0.07,0.21,0.07,0.06,0.13,0.07,0.13
Nils Petersen,GER,FW,32,1988,22,3,580,6.4,5,1,6,5,0,0,0,0,2.5,2.5,0.5,3.0,4,9,30,0.78,0.16,0.93,0.78,0.93,0.39,0.07,0.47,0.39,0.47
Noah Weißhaupt,GER,"MF,FW",19,2001,10,0,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,3,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.39
Philipp Lienhart,AUT,DF,25,1996,32,32,2870,31.9,5,0,5,5,0,0,2,0,3.3,3.3,0.7,3.9,16,101,6,0.16,0.0,0.16,0.16,0.16,0.1,0.02,0.12,0.1,0.12
Roland Sallai,HUN,"MF,FW",24,1997,31,18,1551,17.2,4,4,8,4,0,0,1,0,6.0,6.0,3.8,9.8,44,46,136,0.23,0.23,0.46,0.23,0.46,0.35,0.22,0.57,0.35,0.57
Vincent Vermeij,NED,MF,26,1994,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vincenzo Grifo,ITA,"MF,FW",28,1993,34,33,2775,30.8,9,7,16,4,5,6,0,0,8.7,4.0,7.5,11.4,54,147,165,0.29,0.23,0.52,0.13,0.36,0.28,0.24,0.52,0.13,0.37
Yannik Keitel,GER,MF,21,2000,12,5,504,5.6,0,0,0,0,0,0,1,0,1.0,1.0,0.1,1.1,3,17,3,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.19,0.18,0.19
