General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Andrea La Mantia,ITA,"FW,MF",30,1991,18,3,488,5.4,2,0,2,2,0,0,0,0,1.8,1.8,0.5,2.4,3,7,30,0.37,0.0,0.37,0.37,0.37,0.34,0.1,0.44,0.34,0.44
Andrea Pinamonti,ITA,FW,22,1999,36,32,2869,31.9,13,2,15,9,4,4,4,0,12.7,9.5,2.9,12.4,36,51,233,0.41,0.06,0.47,0.28,0.35,0.4,0.09,0.49,0.3,0.39
Ardian Ismajli,ALB,DF,24,1996,20,13,1272,14.1,0,0,0,0,0,0,7,0,0.3,0.3,0.1,0.4,18,51,3,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Fabiano Parisi,ITA,DF,20,2000,25,16,1477,16.4,0,1,1,0,0,0,5,0,0.7,0.7,0.3,1.0,58,74,49,0.0,0.06,0.06,0.0,0.06,0.04,0.02,0.06,0.04,0.06
Federico Di Francesco,ITA,"FW,MF",27,1994,26,17,1367,15.2,5,0,5,5,0,0,2,0,2.3,2.3,1.0,3.3,27,45,126,0.33,0.0,0.33,0.33,0.33,0.15,0.07,0.22,0.15,0.22
Filippo Bandinelli,ITA,MF,26,1995,35,24,1955,21.7,2,3,5,2,0,0,10,0,2.2,2.2,3.4,5.6,57,104,101,0.09,0.14,0.23,0.09,0.23,0.1,0.16,0.26,0.1,0.26
Giovanni Crociata,ITA,FW,23,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.89,0.89,0.89
Guglielmo Vicario,ITA,GK,24,1996,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristjan Asllani,ALB,MF,19,2002,23,14,1353,15.0,1,1,2,1,0,0,2,0,0.8,0.8,0.9,1.7,10,62,19,0.07,0.07,0.13,0.07,0.13,0.05,0.06,0.11,0.05,0.11
Leo Štulac,SVN,MF,26,1994,23,8,833,9.3,2,2,4,2,0,0,1,0,0.2,0.2,0.4,0.6,5,43,6,0.22,0.22,0.43,0.22,0.43,0.03,0.04,0.07,0.03,0.07
Leonardo Mancuso,ITA,FW,29,1992,8,5,425,4.7,1,0,1,1,0,0,0,0,1.9,1.9,0.3,2.2,5,5,28,0.21,0.0,0.21,0.21,0.21,0.4,0.06,0.46,0.4,0.46
Liam Henderson,SCO,MF,25,1996,38,23,2020,22.4,2,3,5,2,0,0,4,0,2.5,2.5,3.0,5.6,22,100,133,0.09,0.13,0.22,0.09,0.22,0.11,0.13,0.25,0.11,0.25
Liberato Cacace,NZL,DF,20,2000,10,5,466,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,13,12,16,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Lorenzo Tonelli,ITA,DF,31,1990,14,8,870,9.7,0,0,0,0,0,0,4,0,0.4,0.4,0.3,0.7,7,43,3,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07
Marco Benassi,ITA,MF,26,1994,12,3,382,4.2,0,0,0,0,0,0,1,0,0.9,0.9,0.5,1.4,13,23,29,0.0,0.0,0.0,0.0,0.0,0.21,0.12,0.33,0.21,0.33
Mattia Viti,ITA,DF,19,2002,20,16,1491,16.6,0,0,0,0,0,0,3,1,0.4,0.4,0.0,0.4,10,45,3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03
Nedim Bajrami,ALB,"MF,FW",22,1999,35,23,2054,22.8,6,5,11,3,3,3,3,0,6.4,4.0,4.7,8.8,72,117,177,0.26,0.22,0.48,0.13,0.35,0.28,0.21,0.49,0.18,0.38
Nicolas Haas,SUI,MF,25,1996,16,11,1001,11.1,0,2,2,0,0,0,3,0,0.3,0.3,1.0,1.3,8,57,49,0.0,0.18,0.18,0.0,0.18,0.03,0.09,0.12,0.03,0.12
Patrick Cutrone,ITA,FW,23,1998,28,15,1401,15.6,3,0,3,3,0,0,1,0,3.7,3.7,0.9,4.6,20,16,139,0.19,0.0,0.19,0.19,0.19,0.24,0.06,0.3,0.24,0.3
Petar Stojanović,SVN,DF,25,1995,33,32,2735,30.4,1,1,2,1,0,0,11,1,0.6,0.6,3.2,3.8,94,174,110,0.03,0.03,0.07,0.03,0.07,0.02,0.11,0.13,0.02,0.13
Riccardo Fiamozzi,ITA,DF,28,1993,10,7,620,6.9,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,10,23,14,0.0,0.15,0.15,0.0,0.15,0.0,0.09,0.09,0.0,0.09
Riccardo Marchizza,ITA,DF,23,1998,19,16,1346,15.0,0,1,1,0,0,0,4,0,0.3,0.3,1.4,1.7,27,58,47,0.0,0.07,0.07,0.0,0.07,0.02,0.09,0.11,0.02,0.11
Samuele Ricci,ITA,MF,19,2001,21,17,1530,17.0,1,1,2,1,0,0,1,1,0.2,0.2,0.3,0.5,24,103,13,0.06,0.06,0.12,0.06,0.12,0.01,0.02,0.03,0.01,0.03
Sebastiano Luperto,ITA,DF,24,1996,24,22,1958,21.8,0,1,1,0,0,0,8,1,0.7,0.7,0.5,1.1,21,76,3,0.0,0.05,0.05,0.0,0.05,0.03,0.02,0.05,0.03,0.05
Simone Romagnoli,ITA,DF,31,1990,19,17,1497,16.6,2,0,2,2,0,0,3,0,1.5,1.5,0.4,1.9,14,61,1,0.12,0.0,0.12,0.12,0.12,0.09,0.02,0.11,0.09,0.11
Szymon Żurkowski,POL,MF,23,1997,35,29,2307,25.6,6,2,8,6,0,0,5,0,3.7,3.7,1.6,5.3,70,101,107,0.23,0.08,0.31,0.23,0.31,0.14,0.06,0.21,0.14,0.21
Tommaso Baldanzi,ITA,FW,18,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13
Valerio Verre,ITA,MF,27,1994,8,4,310,3.4,0,1,1,0,0,0,2,1,0.6,0.6,0.6,1.2,14,25,23,0.0,0.29,0.29,0.0,0.29,0.18,0.16,0.34,0.18,0.34
