comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 2–1,d07537b9,943e8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-14,4eb36e37
Premier League,Matchweek 2,W 2–0,d07537b9,2abfe087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-21,072af2f8
Premier League,Matchweek 3,L 0–2,d07537b9,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-28,ec8b667a
Bundesliga,Matchweek 4,D 0–0,0cdc4311,7a41008f,0,28,0,0,0,0,2,1,0,0,11,0,0,0,0.1,0.1,0.0,0,0,3,5,60.0,1,4,0,0,0,2021-09-11,2ebf021f
Bundesliga,Matchweek 5,W 1–0,0cdc4311,32f3ee20,1,65,0,0,0,0,0,0,0,0,9,0,0,2,0.0,0.0,0.0,1,0,5,5,100.0,1,7,0,1,1,2021-09-18,4131f8cf
Bundesliga,Matchweek 6,L 0–3,0cdc4311,a486e511,0,45,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,0,0,3,6,50.0,0,6,0,0,0,2021-09-26,c53a65fe
Bundesliga,Matchweek 7,L 1–2,0cdc4311,add600ae,1,77,1,0,0,0,1,1,1,0,23,3,0,1,0.5,0.5,0.0,0,0,5,8,62.5,0,14,0,2,0,2021-10-02,71a3be9a
Bundesliga,Matchweek 8,D 1–1,0cdc4311,247c4b67,1,66,0,0,0,0,2,0,0,0,22,0,0,0,0.1,0.1,0.0,3,0,6,14,42.9,2,13,2,3,1,2021-10-17,7154b5d1
Bundesliga,Matchweek 9,L 1–4,0cdc4311,a224b06a,0,45,1,0,0,0,1,1,0,0,17,2,0,0,0.4,0.4,0.0,0,0,5,7,71.4,0,13,0,5,2,2021-10-22,2fb98536
Bundesliga,Matchweek 10,W 4–1,0cdc4311,598bc722,1,90,0,1,0,0,3,1,0,0,32,2,0,0,0.2,0.2,0.4,4,1,18,22,81.8,2,21,3,3,1,2021-10-31,76cd38ec
Bundesliga,Matchweek 11,L 0–1,0cdc4311,4eaa11d7,1,74,0,0,0,0,2,1,0,0,27,0,0,0,0.2,0.2,0.1,2,0,12,17,70.6,3,13,2,0,0,2021-11-06,f1b9b586
Bundesliga,Matchweek 12,W 2–1,0cdc4311,054efa67,1,81,0,0,0,0,0,0,0,0,18,1,1,3,0.0,0.0,0.0,1,1,3,6,50.0,0,10,1,0,0,2021-11-19,75a06726
Bundesliga,Matchweek 13,D 1–1,0cdc4311,2818f8bc,1,77,0,0,0,0,5,0,0,0,25,0,0,1,0.5,0.5,0.0,4,0,8,13,61.5,2,6,0,1,1,2021-11-27,2bc6c014
Bundesliga,Matchweek 14,L 2–3,0cdc4311,b42c6323,1,40,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0.0,0,0,5,8,62.5,1,8,0,0,0,2021-12-04,67ad2f82
Bundesliga,Matchweek 17,D 0–0,0cdc4311,12192a4c,1,58,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,1,0,4,7,57.1,0,7,0,2,1,2021-12-18,1f2c6db1
Bundesliga,Matchweek 18,L 1–3,0cdc4311,033ea6b8,1,59,0,0,0,0,2,1,0,0,12,2,0,0,0.1,0.1,0.0,0,0,4,6,66.7,2,1,0,0,0,2022-01-08,6eec4f11
Bundesliga,Matchweek 19,D 1–1,0cdc4311,f0ac8ee6,1,45,0,0,0,0,0,0,1,0,17,2,0,3,0.0,0.0,0.0,0,0,5,9,55.6,0,5,0,1,0,2022-01-16,c63c7a3d
Bundesliga,Matchweek 20,L 1–5,0cdc4311,c7a9f859,0,45,0,0,0,0,2,0,0,0,18,0,1,0,0.1,0.1,0.2,2,0,11,12,91.7,2,11,0,1,0,2022-01-22,0c94e33f
