comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 2–3,8602292d,2abfe087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-14,814b563c
Premier League,Matchweek 2,W 2–0,8602292d,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-21,662d4074
Premier League,Matchweek 3,D 1–1,8602292d,cd051869,1,62,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,0,0,13,17,76.5,1,12,1,1,1,2021-08-28,a08ef96c
Premier League,Matchweek 6,W 1–0,8602292d,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-25,7c21232e
Premier League,Matchweek 10,L 1–4,8602292d,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-31,a62478a2
Premier League,Matchweek 11,L 0–1,8602292d,33c895d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-11-05,868bd31f
Premier League,Matchweek 12,W 2–0,8602292d,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-11-20,88f081ac
Premier League,Matchweek 13,W 2–1,8602292d,47c64c55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-11-27,4a7a9e3b
Premier League,Matchweek 14,L 1–2,8602292d,b8fd03ef,0,24,0,0,0,0,1,1,0,0,14,1,0,1,0.4,0.4,0.0,0,0,5,7,71.4,0,9,1,1,0,2021-12-01,1993b7ec
Premier League,Matchweek 15,W 2–1,8602292d,a2d435b3,0,13,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,1,0,3,5,60.0,0,6,0,1,1,2021-12-05,49cc65ac
Premier League,Matchweek 16,L 0–1,8602292d,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-12-11,678d7dca
Premier League,Matchweek 17,W 2–0,8602292d,1c781004,0,8,0,1,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.9,1,1,5,6,83.3,0,5,0,0,0,2021-12-14,c78a1d7d
Premier League,Matchweek 19,L 1–3,8602292d,cff3d9bb,0,17,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,9,0,1,0,2021-12-26,61396bd8
