comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 1–3,33c895d4,d3fd31cc,1,90,0,1,0,0,0,0,0,0,30,3,0,0,0.0,0.0,0.6,4,2,8,19,42.1,1,15,0,2,1,2021-08-14,c99ebbf5
Premier League,Matchweek 2,D 1–1,33c895d4,19538871,1,90,0,0,0,0,2,0,0,0,34,2,1,1,0.1,0.1,0.4,4,0,10,22,45.5,2,17,1,0,0,2021-08-22,345b3989
Premier League,Matchweek 3,D 2–2,33c895d4,b2b47a98,1,70,0,0,0,0,2,1,0,0,24,0,0,3,0.1,0.1,0.1,2,0,9,14,64.3,0,14,0,0,0,2021-08-28,d81af076
Premier League,Matchweek 4,D 0–0,33c895d4,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-11,ddff1858
Premier League,Matchweek 5,D 0–0,33c895d4,b8fd03ef,1,67,0,0,0,0,1,0,0,0,18,1,0,0,0.0,0.0,0.1,1,0,5,11,45.5,1,11,1,0,0,2021-09-18,1576c578
Premier League,Matchweek 6,L 0–1,33c895d4,8cec06e1,1,63,0,0,0,0,2,2,0,0,20,0,0,1,0.2,0.2,0.2,2,0,11,13,84.6,1,7,1,1,0,2021-09-26,d99f984c
Premier League,Matchweek 7,L 1–3,33c895d4,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-02,a6466617
Premier League,Matchweek 9,D 2–2,33c895d4,943e8050,0,12,0,0,0,0,1,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,6,6,100.0,0,5,0,0,0,2021-10-23,d5164fbe
Premier League,Matchweek 10,W 1–0,33c895d4,2abfe087,1,90,1,0,0,0,2,1,0,0,32,0,0,1,0.6,0.6,0.1,0,0,10,20,50.0,0,14,1,0,0,2021-10-30,e3521093
Premier League,Matchweek 11,W 1–0,33c895d4,8602292d,1,90,0,0,0,0,2,1,0,0,35,0,1,2,0.1,0.1,0.1,1,0,18,19,94.7,2,16,1,3,3,2021-11-05,868bd31f
Premier League,Matchweek 12,L 1–2,33c895d4,1c781004,1,61,1,0,0,0,2,2,0,0,21,0,0,0,0.2,0.2,0.0,2,1,3,11,27.3,0,13,2,3,2,2021-11-20,4bddaba4
Premier League,Matchweek 13,L 0–4,33c895d4,822bd0ba,1,45,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,1,0,10,14,71.4,1,12,0,1,0,2021-11-27,aa9b882d
Premier League,Matchweek 14,D 2–2,33c895d4,a2d435b3,1,90,1,0,0,0,4,3,0,0,28,0,1,0,0.3,0.3,0.0,1,0,7,19,36.8,1,13,0,1,1,2021-12-01,135f5959
Premier League,Matchweek 15,D 1–1,33c895d4,d07537b9,1,90,0,0,0,0,3,1,0,0,31,0,0,1,0.3,0.3,0.2,2,0,15,19,78.9,2,20,2,2,1,2021-12-04,27fd5d70
Premier League,Matchweek 19,W 3–2,33c895d4,7c21e445,0,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,2,0,0,0,2021-12-26,36a056cf
Premier League,Matchweek 18,W 4–1,33c895d4,cd051869,0,26,1,0,0,0,1,1,0,0,9,0,0,1,0.2,0.2,0.0,0,0,3,5,60.0,0,4,1,0,0,2022-01-11,0859817d
Premier League,Matchweek 22,L 1–3,33c895d4,8cec06e1,0,45,0,0,0,0,1,1,0,0,11,0,0,0,0.0,0.0,0.0,1,0,5,9,55.6,0,6,0,0,0,2022-01-15,dd7b8b8b
Premier League,Matchweek 23,D 1–1,33c895d4,b8fd03ef,1,90,0,0,0,0,0,0,0,0,33,1,2,1,0.0,0.0,0.0,1,0,15,22,68.2,1,20,0,2,2,2022-01-22,9bfa5945
Premier League,Matchweek 24,W 3–2,33c895d4,361ca564,1,87,1,0,0,0,3,2,0,0,17,0,0,0,0.6,0.6,0.1,2,0,6,10,60.0,0,11,1,0,0,2022-02-09,0613df22
Premier League,Matchweek 25,D 1–1,33c895d4,19538871,1,90,1,0,0,0,3,1,0,0,26,0,2,0,0.1,0.1,0.1,1,0,11,16,68.8,0,16,2,1,0,2022-02-12,d15dca2c
Premier League,Matchweek 26,W 2–0,33c895d4,d3fd31cc,1,89,0,1,0,0,2,1,0,0,37,2,0,0,0.8,0.8,0.2,4,1,16,25,64.0,2,25,1,4,1,2022-02-19,53cc3dbd
Premier League,Matchweek 27,W 2–0,33c895d4,1c781004,1,82,1,0,0,0,4,1,0,0,24,0,0,1,1.0,1.0,0.0,4,0,10,14,71.4,1,11,1,1,0,2022-02-25,17c79d36
Premier League,Matchweek 28,L 0–4,33c895d4,8602292d,1,90,0,0,0,0,2,1,0,0,26,1,0,1,0.6,0.6,0.0,1,0,10,12,83.3,0,16,0,1,1,2022-03-05,1aa40463
Premier League,Matchweek 21,L 1–2,33c895d4,b2b47a98,1,90,0,0,0,0,2,0,0,0,30,0,0,0,0.1,0.1,0.1,1,0,17,24,70.8,3,15,0,2,1,2022-03-10,2d6fb488
Premier League,Matchweek 29,L 1–2,33c895d4,2abfe087,1,90,0,1,0,0,1,1,0,0,28,0,0,0,0.1,0.1,0.4,5,1,14,24,58.3,1,15,2,0,0,2022-03-13,2c627dd8
Premier League,Matchweek 31,D 1–1,33c895d4,5bfb9659,1,86,0,0,0,0,2,1,0,0,40,1,0,1,0.5,0.5,0.2,5,0,16,27,59.3,4,19,0,4,2,2022-04-02,abc88be4
Premier League,Matchweek 32,L 0–6,33c895d4,cff3d9bb,1,90,0,0,0,0,2,1,0,0,29,1,0,1,0.4,0.4,0.0,0,0,13,17,76.5,2,20,0,2,1,2022-04-09,70d15cf0
Premier League,Matchweek 33,W 1–0,33c895d4,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16,5ea2687c
Premier League,Matchweek 30,L 0–2,33c895d4,943e8050,0,25,0,0,0,0,2,1,0,0,11,0,0,0,0.4,0.4,0.0,0,0,9,9,100.0,0,6,0,1,1,2022-04-21,73ef622b
Premier League,Matchweek 34,D 2–2,33c895d4,d07537b9,1,90,0,0,0,0,0,0,0,0,41,1,1,0,0.0,0.0,0.1,4,0,24,37,64.9,4,22,1,2,2,2022-04-24,32a11932
Premier League,Matchweek 35,L 1–2,33c895d4,47c64c55,1,64,0,0,0,0,2,1,0,0,26,0,0,0,0.2,0.2,0.0,2,0,12,18,66.7,2,17,1,0,0,2022-04-30,d260be24
Premier League,Matchweek 36,L 0–3,33c895d4,cd051869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-07,74a74729
Premier League,Matchweek 37,L 1–2,33c895d4,822bd0ba,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,3,0,1,0,2022-05-17,733409b2
Premier League,Matchweek 38,L 1–4,33c895d4,a2d435b3,0,28,0,0,0,0,1,0,0,0,11,0,0,1,0.1,0.1,0.0,0,0,6,9,66.7,1,9,0,1,1,2022-05-22,16e2761e
