comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 2,W 2–0,822bd0ba,943e8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-21,94d9dac0
Premier League,Matchweek 4,W 3–0,822bd0ba,5bfb9659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-12,e6a245be
Premier League,Matchweek 5,W 3–0,822bd0ba,47c64c55,0,15,0,0,0,0,1,0,0,0,7,0,0,1,0.0,0.0,0.0,1,1,3,3,100.0,1,5,0,1,1,2021-09-18,59ef8c18
Premier League,Matchweek 6,D 3–3,822bd0ba,cd051869,1,67,1,0,0,0,4,1,0,0,52,3,0,0,0.2,0.2,0.0,4,1,37,42,88.1,1,37,2,3,2,2021-09-25,87140543
Premier League,Matchweek 7,D 2–2,822bd0ba,b8fd03ef,1,90,0,1,0,0,0,0,0,0,50,1,0,0,0.0,0.0,0.1,0,0,44,47,93.6,1,33,1,2,2,2021-10-03,2598b046
Premier League,Matchweek 9,W 5–0,822bd0ba,19538871,0,64,0,0,0,0,1,0,0,0,69,0,0,0,0.2,0.2,0.0,2,0,63,65,96.9,7,54,4,0,0,2021-10-24,b886bec4
Premier League,Matchweek 10,D 2–2,822bd0ba,d07537b9,1,86,0,0,0,0,0,0,0,0,76,1,1,0,0.0,0.0,0.0,1,0,64,67,95.5,7,44,2,0,0,2021-10-30,c68998b5
Premier League,Matchweek 20,L 0–1,822bd0ba,a2d435b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-12-28,8ad7b26f
Premier League,Matchweek 21,D 2–2,822bd0ba,cff3d9bb,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,4,0,0,0,2022-01-02,3480cc09
Premier League,Matchweek 22,W 3–0,822bd0ba,cd051869,1,90,0,0,0,0,2,2,0,0,75,1,1,0,0.0,0.0,0.0,3,0,52,62,83.9,0,44,5,7,3,2022-01-16,c8c457d6
Premier League,Matchweek 23,W 3–1,822bd0ba,47c64c55,1,90,0,0,0,0,0,0,0,0,58,1,1,1,0.0,0.0,0.1,3,0,45,50,90.0,7,42,1,1,1,2022-01-23,60ad7e25
Premier League,Matchweek 24,W 2–0,822bd0ba,a2d435b3,1,58,0,0,0,0,1,0,0,0,50,1,2,0,0.0,0.0,0.1,0,0,34,40,85.0,2,31,0,3,2,2022-02-10,911fa284
Premier League,Matchweek 19,W 6–0,822bd0ba,5bfb9659,1,76,0,0,0,0,4,3,0,0,66,0,1,0,0.2,0.2,0.1,2,0,53,60,88.3,8,57,1,7,7,2022-02-23,6d0f3b48
Premier League,Matchweek 28,W 1–0,822bd0ba,7c21e445,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2022-03-05,bc1944c3
Premier League,Matchweek 29,W 2–0,822bd0ba,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-12,4d3331bb
Premier League,Matchweek 27,W 2–0,822bd0ba,18bb7c10,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,2022-03-16,8ef5cc6b
Premier League,Matchweek 31,W 2–0,822bd0ba,2abfe087,1,61,0,0,0,0,2,0,0,0,41,1,0,1,0.1,0.1,0.1,4,0,25,34,73.5,5,24,1,3,1,2022-04-02,8e05e22c
Premier League,Matchweek 32,D 2–2,822bd0ba,b8fd03ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-10,37e2fe92
Premier League,Matchweek 30,W 4–0,822bd0ba,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-19,09f1bef7
Premier League,Matchweek 34,W 2–0,822bd0ba,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-24,69235d39
Premier League,Matchweek 35,W 1–0,822bd0ba,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-30,d736eab8
Premier League,Matchweek 36,D 1–1,822bd0ba,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-07,9a93e9b2
Premier League,Matchweek 33,W 2–1,822bd0ba,8602292d,1,61,0,0,0,0,2,1,0,0,40,1,0,1,0.1,0.1,0.0,2,0,30,35,85.7,4,28,3,2,2,2022-05-10,1016efad
Premier League,Matchweek 37,W 2–1,822bd0ba,33c895d4,1,90,0,0,0,0,3,0,0,0,94,1,0,0,0.1,0.1,0.0,6,1,83,89,93.3,14,71,5,4,4,2022-05-17,733409b2
Premier League,Matchweek 38,W 3–1,822bd0ba,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-22,8b0f3e28
