comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 5–1,19538871,5bfb9659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-14,e62685d4
Premier League,Matchweek 2,D 1–1,19538871,33c895d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-22,345b3989
Premier League,Matchweek 3,W 1–0,19538871,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-29,871109e6
Premier League,Matchweek 4,W 4–1,19538871,b2b47a98,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,1,1,1,100.0,0,1,0,1,0,2021-09-11,7794fd6c
Premier League,Matchweek 5,W 2–1,19538871,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-19,2daea068
Premier League,Matchweek 6,L 0–1,19538871,8602292d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-25,7c21232e
Premier League,Matchweek 7,D 1–1,19538871,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-02,2129c7e9
Premier League,Matchweek 8,L 2–4,19538871,a2d435b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-16,45502ded
Premier League,Matchweek 9,L 0–5,19538871,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-24,b886bec4
Premier League,Matchweek 10,W 3–0,19538871,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-30,5a2b8c26
Premier League,Matchweek 11,L 0–2,19538871,b8fd03ef,0,11,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,2021-11-06,5fa5be28
Premier League,Matchweek 12,L 1–4,19538871,2abfe087,0,45,1,0,0,0,1,1,0,0,32,2,1,3,0.3,0.3,0.4,4,0,19,25,76.0,4,15,0,1,0,2021-11-20,31a03035
Premier League,Matchweek 13,D 1–1,19538871,cff3d9bb,0,2,0,0,0,0,0,0,0,0,4,1,0,1,0.0,0.0,0.0,0,0,0,0,,0,1,0,1,0,2021-11-28,08b3c5d8
Premier League,Matchweek 14,W 3–2,19538871,18bb7c10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,2021-12-02,4323a38f
Premier League,Matchweek 15,W 1–0,19538871,47c64c55,0,5,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,1,0,2021-12-05,8d10c8d4
Premier League,Matchweek 16,W 1–0,19538871,1c781004,0,3,0,0,0,0,0,0,0,0,2,1,1,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,2021-12-11,11a67612
Premier League,Matchweek 19,D 1–1,19538871,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-12-27,f91fee43
Premier League,Matchweek 20,W 3–1,19538871,943e8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-12-30,bbfa96c9
Premier League,Matchweek 21,L 0–1,19538871,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-01-03,8e966b52
Premier League,Matchweek 22,D 2–2,19538871,8602292d,0,2,0,0,0,0,1,0,0,0,3,1,0,0,0.1,0.1,0.0,1,0,0,0,,0,2,0,1,1,2022-01-15,745dc664
Premier League,Matchweek 17,W 3–1,19538871,cd051869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-01-19,f7c0bd68
Premier League,Matchweek 23,W 1–0,19538871,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-01-22,7c23f694
Premier League,Matchweek 24,L 1–3,d3fd31cc,b2b47a98,0,31,0,0,0,0,1,0,0,0,43,0,0,0,0.0,0.0,0.0,1,0,37,40,92.5,4,26,1,1,0,2022-02-08,fde8d97d
Premier League,Matchweek 25,W 3–0,d3fd31cc,5bfb9659,1,90,0,0,0,0,0,0,0,0,51,4,1,1,0.0,0.0,0.0,3,0,35,40,87.5,5,17,0,2,0,2022-02-12,0a51943e
Premier League,Matchweek 26,L 0–2,d3fd31cc,33c895d4,1,90,0,0,0,0,3,0,0,0,68,1,1,0,0.1,0.1,0.0,1,0,43,57,75.4,5,32,0,1,0,2022-02-19,53cc3dbd
Premier League,Matchweek 27,L 0–1,d3fd31cc,b8fd03ef,1,70,0,0,0,0,0,0,1,0,41,3,1,1,0.0,0.0,0.0,1,0,18,28,64.3,1,22,0,2,0,2022-02-26,ab729bd6
Premier League,Matchweek 28,L 0–5,d3fd31cc,361ca564,1,58,0,0,0,0,0,0,0,0,44,1,1,2,0.0,0.0,0.0,1,0,36,38,94.7,4,25,0,1,1,2022-03-07,6e11eac6
Premier League,Matchweek 29,L 0–1,d3fd31cc,8cec06e1,1,90,0,0,0,0,0,0,0,0,43,3,1,2,0.0,0.0,0.0,1,0,29,37,78.4,0,21,2,2,2,2022-03-13,9e5d1f93
Premier League,Matchweek 18,D 1–1,d3fd31cc,a2d435b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-20,46471203
Premier League,Matchweek 33,W 3–2,d3fd31cc,47c64c55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-19,82aa061a
