comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 1–0,361ca564,b8fd03ef,0,14,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,0,0,4,8,50.0,0,9,1,1,1,2021-08-15,ff51efc7
Premier League,Matchweek 2,W 1–0,361ca564,8cec06e1,0,24,0,0,0,0,0,0,0,0,21,3,0,0,0.0,0.0,0.1,1,0,10,12,83.3,0,3,0,3,1,2021-08-22,26ceb3c9
Premier League,Matchweek 3,W 1–0,361ca564,2abfe087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-29,3cd9a733
Premier League,Matchweek 5,L 0–3,361ca564,cff3d9bb,1,61,0,0,0,0,3,0,0,0,39,0,0,1,0.2,0.2,0.1,3,0,24,30,80.0,1,32,2,2,0,2021-09-19,eaf98461
Premier League,Matchweek 6,L 1–3,361ca564,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-26,a2c07e97
Premier League,Matchweek 7,W 2–1,361ca564,8602292d,0,15,0,0,0,0,2,0,0,0,12,0,0,0,0.2,0.2,0.0,1,0,7,10,70.0,0,5,0,0,0,2021-10-03,7bb0a43c
Premier League,Matchweek 8,W 3–2,361ca564,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-17,4bd69343
Premier League,Matchweek 9,L 0–1,361ca564,7c21e445,0,7,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,7,12,58.3,0,5,0,1,1,2021-10-24,70c508ee
Premier League,Matchweek 10,L 0–3,361ca564,19538871,1,72,0,0,0,0,3,0,0,0,71,3,0,2,0.1,0.1,0.4,4,0,48,57,84.2,4,40,5,6,4,2021-10-30,5a2b8c26
Premier League,Matchweek 11,D 0–0,361ca564,d3fd31cc,0,20,0,0,0,0,1,0,0,0,15,0,0,1,0.0,0.0,0.0,0,0,8,11,72.7,2,10,0,0,0,2021-11-07,224d1c99
Premier League,Matchweek 18,D 2–2,361ca564,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-12-19,4ac8dee4
Premier League,Matchweek 21,W 1–0,361ca564,2abfe087,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,12,12,100.0,0,10,2,1,1,2022-01-01,9c831c07
Premier League,Matchweek 17,W 3–2,361ca564,a2d435b3,0,17,0,0,0,0,0,0,0,0,12,0,1,1,0.0,0.0,0.0,1,0,8,9,88.9,1,7,0,1,1,2022-01-19,77d28549
La Liga,Matchweek 23,W 2–0,2a8183b3,fc536746,0,14,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,2,0,18,21,85.7,4,17,1,0,0,2022-02-06,f2ea0e98
La Liga,Matchweek 24,D 0–0,2a8183b3,53a2f082,1,86,0,0,0,0,3,1,0,0,67,3,0,0,0.1,0.1,0.2,2,0,45,55,81.8,2,42,2,5,4,2022-02-12,07873dc8
La Liga,Matchweek 25,W 4–1,2a8183b3,a0435291,1,68,0,0,0,0,1,1,1,0,31,2,1,0,0.0,0.0,0.6,5,0,22,27,81.5,2,23,4,4,4,2022-02-19,fea8bbc8
La Liga,Matchweek 26,W 5–1,2a8183b3,a8661628,1,62,0,0,0,0,1,0,0,0,45,0,1,0,0.0,0.0,0.1,3,0,33,38,86.8,7,27,1,1,1,2022-02-27,ce97f705
La Liga,Matchweek 27,L 0–1,2a8183b3,03c57e2b,1,76,0,0,0,0,1,0,0,0,58,3,1,0,0.1,0.1,0.1,3,0,38,46,82.6,6,34,4,6,3,2022-03-05,e4d7234c
La Liga,Matchweek 28,W 1–0,2a8183b3,f25da7fb,1,79,0,0,0,0,1,1,0,0,45,2,0,0,0.0,0.0,0.0,1,0,33,37,89.2,2,33,0,1,1,2022-03-12,aaf3e992
La Liga,Matchweek 29,L 0–1,2a8183b3,ee7c297c,1,90,0,0,0,0,0,0,0,0,75,3,0,0,0.0,0.0,0.1,2,0,45,62,72.6,9,50,5,6,5,2022-03-20,0511a8eb
La Liga,Matchweek 30,L 0–2,2a8183b3,9800b6a1,0,29,0,0,0,0,2,0,0,0,19,1,0,0,0.1,0.1,0.0,0,0,9,11,81.8,2,12,2,2,0,2022-04-02,e4df833b
La Liga,Matchweek 31,D 1–1,2a8183b3,2b390eca,0,30,0,0,0,0,1,0,0,0,18,0,0,1,0.1,0.1,0.0,1,0,9,14,64.3,1,11,0,0,0,2022-04-09,eca6f082
La Liga,Matchweek 32,W 2–1,2a8183b3,7848bd64,0,30,0,0,0,0,1,0,0,0,12,1,0,0,0.1,0.1,0.0,0,0,8,11,72.7,2,8,0,0,0,2022-04-16,bcdf22b5
La Liga,Matchweek 33,W 2–0,2a8183b3,dcc91a7b,1,70,0,0,0,0,2,1,0,0,62,3,0,0,0.1,0.1,0.2,1,0,41,50,82.0,3,47,4,5,3,2022-04-19,c910f5b5
La Liga,Matchweek 34,L 1–2,2a8183b3,8d6fd021,0,45,0,1,0,0,1,0,0,0,36,0,0,0,0.1,0.1,0.4,5,0,26,32,81.3,6,33,2,0,0,2022-04-30,4ea03cad
La Liga,Matchweek 35,D 1–1,2a8183b3,ad2be733,1,90,1,0,0,0,3,2,1,0,52,0,1,0,0.4,0.4,0.6,5,0,35,43,81.4,7,35,1,2,0,2022-05-08,99b54d59
La Liga,Matchweek 36,W 5–1,2a8183b3,98e8af82,1,45,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.0,1,1,16,19,84.2,5,18,1,3,2,2022-05-12,ea53f5b2
La Liga,Matchweek 37,L 1–2,2a8183b3,e31d1cd9,1,90,0,0,0,0,1,0,1,0,43,1,1,1,0.1,0.1,0.2,3,1,30,34,88.2,6,27,2,3,2,2022-05-15,2fad4a55
La Liga,Matchweek 38,W 2–0,2a8183b3,206d90db,1,90,0,0,0,0,0,0,0,0,42,2,0,2,0.0,0.0,0.0,1,0,26,34,76.5,4,29,4,2,1,2022-05-22,3afd4f9f
