comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Bundesliga,Matchweek 1,L 0–1,acbb6a5b,a224b06a,0,27,0,0,0,0,1,0,0,0,9,0,0,0,0.2,0.2,0.0,1,0,5,6,83.3,0,6,1,3,2,2021-08-15,c1cd7950
Bundesliga,Matchweek 2,W 4–0,acbb6a5b,598bc722,0,22,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,1,0,0,2021-08-20,6350c527
Premier League,Matchweek 4,W 2–0,8cec06e1,2abfe087,0,28,1,0,0,0,1,1,0,0,14,3,0,0,0.7,0.7,0.0,0,0,7,8,87.5,0,10,1,3,1,2021-09-11,09db0909
Premier League,Matchweek 5,L 0–2,8cec06e1,cd051869,0,45,0,0,0,0,1,0,0,0,12,0,0,1,0.1,0.1,0.0,0,0,3,7,42.9,1,9,1,3,1,2021-09-18,fd1d60f4
Premier League,Matchweek 6,W 1–0,8cec06e1,33c895d4,1,87,0,0,0,0,1,0,0,0,34,0,1,0,0.0,0.0,0.0,1,0,20,24,83.3,0,17,2,1,0,2021-09-26,d99f984c
Premier League,Matchweek 7,W 2–1,8cec06e1,b2b47a98,1,89,2,0,0,0,2,2,0,0,40,0,1,0,0.4,0.4,0.5,1,0,26,31,83.9,1,31,5,4,2,2021-10-02,00dcbdaa
Premier League,Matchweek 8,W 3–2,8cec06e1,8602292d,1,87,0,0,0,0,1,0,0,0,38,0,0,2,0.1,0.1,0.0,1,0,23,29,79.3,2,22,0,0,0,2021-10-16,a1668499
Premier League,Matchweek 9,D 1–1,8cec06e1,5bfb9659,1,90,1,0,0,0,1,1,0,0,42,0,1,0,0.4,0.4,0.0,0,0,19,28,67.9,0,28,1,7,3,2021-10-23,49b3afe3
Premier League,Matchweek 10,W 2–1,8cec06e1,d3fd31cc,1,89,0,0,0,0,0,0,0,0,60,5,0,0,0.0,0.0,0.0,4,0,37,47,78.7,3,44,6,6,3,2021-11-01,c9ad66cc
Premier League,Matchweek 11,L 0–2,8cec06e1,47c64c55,1,89,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.1,0,0,24,29,82.8,0,20,2,2,0,2021-11-06,3a2fff4d
Premier League,Matchweek 12,W 1–0,8cec06e1,7c21e445,1,86,0,0,0,0,0,0,0,0,41,1,1,1,0.0,0.0,0.0,5,0,30,38,78.9,5,28,4,2,2,2021-11-20,013c4797
Premier League,Matchweek 13,D 0–0,8cec06e1,1c781004,1,89,0,0,0,0,0,0,0,0,34,2,1,1,0.0,0.0,0.0,1,0,24,26,92.3,3,18,2,2,1,2021-11-27,ff3bd755
Premier League,Matchweek 14,D 0–0,8cec06e1,943e8050,1,83,0,0,0,0,2,1,1,0,52,0,0,1,0.2,0.2,0.0,3,0,31,39,79.5,8,36,6,7,5,2021-12-01,a3fc2ddc
Premier League,Matchweek 15,L 0–1,8cec06e1,822bd0ba,1,78,0,0,0,0,0,0,0,0,24,1,1,0,0.0,0.0,0.1,1,0,14,20,70.0,0,17,1,1,1,2021-12-04,37d61ff3
Premier League,Matchweek 16,L 0–1,8cec06e1,b8fd03ef,0,24,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,2,0,0,0,2021-12-11,d46b4a18
Premier League,Matchweek 17,W 1–0,8cec06e1,d07537b9,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2021-12-15,60178542
