comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 2–3,8602292d,2abfe087,0,45,0,0,0,0,1,0,0,0,31,1,0,0,0.1,0.1,0.0,4,0,21,25,84.0,3,22,0,1,0,2021-08-14,814b563c
Premier League,Matchweek 2,W 2–0,8602292d,b2b47a98,1,90,0,0,0,0,1,0,0,0,39,3,0,0,0.0,0.0,0.0,2,0,20,25,80.0,6,20,1,1,1,2021-08-21,662d4074
Premier League,Matchweek 4,L 0–3,8602292d,cff3d9bb,1,55,0,0,0,0,2,1,1,0,25,2,1,1,0.1,0.1,0.1,4,0,14,17,82.4,3,18,6,2,2,2021-09-11,67bbc3a5
Premier League,Matchweek 5,W 3–0,8602292d,d3fd31cc,1,90,0,0,0,0,2,0,0,0,41,1,1,1,0.1,0.1,0.1,5,0,28,31,90.3,7,33,4,4,2,2021-09-18,57323feb
Premier League,Matchweek 6,W 1–0,8602292d,19538871,1,85,0,0,0,0,1,0,0,0,33,2,0,2,0.0,0.0,0.0,0,0,15,20,75.0,3,19,0,0,0,2021-09-25,7c21232e
Premier League,Matchweek 7,L 1–2,8602292d,361ca564,1,68,0,0,0,0,2,0,1,0,24,2,1,0,0.1,0.1,0.0,0,0,9,13,69.2,2,16,3,2,1,2021-10-03,7bb0a43c
Premier League,Matchweek 8,L 2–3,8602292d,8cec06e1,0,17,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,4,0,0,0,2021-10-16,a1668499
Premier League,Matchweek 9,L 1–3,8602292d,18bb7c10,0,23,1,0,0,0,2,1,0,0,12,1,0,1,0.2,0.2,0.1,1,0,5,6,83.3,1,7,1,0,0,2021-10-22,ac95a75a
Premier League,Matchweek 10,L 1–4,8602292d,7c21e445,1,14,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,3,0,1,0,2021-10-31,a62478a2
Premier League,Matchweek 11,L 0–1,8602292d,33c895d4,0,28,0,0,0,0,0,0,0,0,20,1,1,0,0.0,0.0,0.0,2,0,11,17,64.7,4,17,1,0,0,2021-11-05,868bd31f
Premier League,Matchweek 12,W 2–0,8602292d,d07537b9,1,83,0,0,0,0,0,0,0,0,39,1,0,0,0.0,0.0,0.0,1,0,28,33,84.8,3,28,0,2,0,2021-11-20,88f081ac
