comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–3,47c64c55,cff3d9bb,1,56,0,0,0,0,0,0,0,0,15,0,0,2,0.0,0.0,0.0,0,0,7,10,70.0,0,7,0,2,2,2021-08-14,6f454493
Premier League,Matchweek 2,D 0–0,47c64c55,cd051869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-21,c8945d11
Premier League,Matchweek 3,D 2–2,47c64c55,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-28,8e017435
Premier League,Matchweek 6,D 1–1,47c64c55,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-27,3d7659fc
Premier League,Matchweek 8,D 2–2,47c64c55,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-18,0f3a1892
Premier League,Matchweek 9,D 1–1,47c64c55,b2b47a98,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2021-10-23,4d1b6f6f
Premier League,Matchweek 10,W 2–0,47c64c55,b8fd03ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-30,eb6c294f
Premier League,Matchweek 15,L 0–1,47c64c55,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-12-05,8d10c8d4
Premier League,Matchweek 16,W 3–1,47c64c55,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-12-12,02abf29a
Premier League,Matchweek 19,L 0–3,47c64c55,361ca564,0,28,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,5,0,0,0,2021-12-26,ac4560d6
Premier League,Matchweek 20,W 3–0,47c64c55,1c781004,1,80,1,0,0,0,4,3,0,0,28,0,0,0,0.4,0.4,0.0,0,0,10,14,71.4,0,14,0,0,0,2021-12-28,59ef01ea
Premier League,Matchweek 21,L 2–3,47c64c55,7c21e445,0,31,0,0,0,0,3,1,0,0,14,0,1,0,0.2,0.2,0.1,1,0,6,10,60.0,0,5,0,0,0,2022-01-01,b0b5cba6
Premier League,Matchweek 22,D 1–1,47c64c55,d07537b9,0,25,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,0,8,0,0,0,2022-01-14,96630936
Premier League,Matchweek 23,L 1–3,47c64c55,822bd0ba,1,76,0,1,0,0,1,1,0,0,21,0,2,0,0.1,0.1,0.8,1,1,9,14,64.3,0,7,2,0,0,2022-01-23,60ad7e25
Premier League,Matchweek 24,D 1–1,47c64c55,1c781004,1,79,0,0,0,0,1,1,1,0,19,0,0,1,0.0,0.0,0.0,2,0,8,12,66.7,1,11,3,3,3,2022-02-09,22d9fbc9
Premier League,Matchweek 25,D 0–0,47c64c55,cd051869,0,19,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,2,2,0,2022-02-12,427597d4
Premier League,Matchweek 26,L 0–1,47c64c55,cff3d9bb,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2022-02-19,ddd2eed6
Premier League,Matchweek 18,W 4–1,47c64c55,2abfe087,1,89,1,0,0,0,2,1,0,0,32,0,0,3,0.2,0.2,0.0,1,0,11,16,68.8,0,12,1,3,2,2022-02-23,daa35440
Premier League,Matchweek 27,D 1–1,47c64c55,943e8050,0,31,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,2,0,0,0,2022-02-26,086dcb8d
Premier League,Matchweek 28,W 2–0,47c64c55,8cec06e1,1,68,1,0,0,0,5,3,0,0,29,0,1,0,1.5,1.5,0.0,3,1,13,16,81.3,0,11,1,2,1,2022-03-05,9ccef73f
Premier League,Matchweek 29,D 0–0,47c64c55,b8fd03ef,1,64,0,0,0,0,1,0,0,0,16,0,0,1,0.0,0.0,0.0,2,0,11,14,78.6,1,15,1,1,1,2022-03-14,f5b6f5c5
Premier League,Matchweek 31,W 3–0,47c64c55,18bb7c10,1,68,1,0,0,0,3,2,0,0,24,1,0,2,0.3,0.3,0.0,0,0,6,12,50.0,0,17,0,1,0,2022-04-04,d96b144a
Premier League,Matchweek 32,L 1–2,47c64c55,a2d435b3,1,90,0,0,0,0,2,1,0,0,20,2,0,1,0.2,0.2,0.0,1,0,6,10,60.0,0,9,1,0,0,2022-04-10,816c435d
Premier League,Matchweek 30,L 0–1,47c64c55,b2b47a98,0,31,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.1,1,0,2,5,40.0,0,3,1,0,0,2022-04-20,7a668764
Premier League,Matchweek 34,D 0–0,47c64c55,5bfb9659,1,83,0,0,0,0,4,1,0,0,29,2,0,0,1.0,1.0,0.0,1,0,10,18,55.6,1,17,0,1,0,2022-04-25,1a9f4c1e
Premier League,Matchweek 35,W 2–1,47c64c55,33c895d4,1,63,0,0,0,0,4,1,1,0,28,0,0,0,0.4,0.4,0.0,2,0,10,13,76.9,2,10,1,1,1,2022-04-30,d260be24
Premier League,Matchweek 36,W 1–0,47c64c55,2abfe087,0,8,0,0,0,0,2,1,0,0,4,0,0,0,0.6,0.6,0.0,2,0,2,2,100.0,1,1,0,0,0,2022-05-07,1206a1df
Premier League,Matchweek 37,D 1–1,47c64c55,8602292d,1,70,0,0,0,0,2,0,0,0,28,0,0,0,0.1,0.1,0.1,2,0,14,20,70.0,0,19,2,0,0,2022-05-15,d2e9e9e3
Premier League,Matchweek 33,L 2–3,47c64c55,d3fd31cc,1,80,1,0,0,0,2,2,0,0,32,2,0,1,0.6,0.6,0.0,1,0,14,21,66.7,0,22,1,1,0,2022-05-19,82aa061a
Premier League,Matchweek 38,W 1–0,47c64c55,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-22,19173099
