comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 6,D 1–1,2abfe087,b2b47a98,0,27,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,4,11,36.4,2,11,1,5,3,2021-09-25,70fda3e9
Premier League,Matchweek 7,L 0–1,2abfe087,5bfb9659,0,32,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,10,0,1,0,2021-10-02,be9d8a45
Premier League,Matchweek 8,L 0–5,2abfe087,822bd0ba,0,22,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,1,0,4,7,57.1,0,7,1,4,1,2021-10-16,2ce6d340
Premier League,Matchweek 9,W 5–2,2abfe087,d3fd31cc,0,27,0,1,0,0,1,0,0,0,18,0,0,1,0.1,0.1,0.5,5,3,10,13,76.9,5,12,0,0,0,2021-10-23,6985d123
Premier League,Matchweek 10,L 0–1,2abfe087,33c895d4,1,45,0,0,0,0,0,0,1,0,23,0,1,1,0.0,0.0,0.1,1,0,11,16,68.8,3,10,1,0,0,2021-10-30,e3521093
Premier League,Matchweek 11,L 0–1,2abfe087,18bb7c10,0,29,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,1,0,8,10,80.0,2,7,0,0,0,2021-11-07,e0208fcf
Premier League,Matchweek 12,W 4–1,2abfe087,19538871,0,14,1,0,0,0,4,2,0,0,16,0,0,0,0.4,0.4,0.0,0,0,8,11,72.7,1,7,4,1,1,2021-11-20,31a03035
Premier League,Matchweek 13,L 2–4,2abfe087,a2d435b3,0,45,0,0,0,0,2,1,0,0,28,1,1,3,0.1,0.1,0.0,2,0,9,15,60.0,1,15,5,2,1,2021-11-28,c2e426c8
Premier League,Matchweek 14,L 1–2,2abfe087,cff3d9bb,1,90,0,0,0,0,1,0,0,0,35,1,1,0,0.1,0.1,0.1,4,0,17,29,58.6,7,19,1,0,0,2021-12-01,f475576b
Premier League,Matchweek 15,L 1–3,2abfe087,b8fd03ef,1,90,0,0,0,0,2,0,0,0,36,1,1,1,0.2,0.2,0.0,3,0,15,24,62.5,3,22,1,3,0,2021-12-04,befb6648
Premier League,Matchweek 16,L 1–2,2abfe087,cd051869,0,33,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,2,0,6,9,66.7,1,8,1,1,1,2021-12-10,49a36a4e
Premier League,Matchweek 20,L 1–4,2abfe087,7c21e445,0,45,0,0,0,0,3,0,0,0,20,0,0,2,0.1,0.1,1.0,6,0,9,12,75.0,3,14,4,4,4,2021-12-28,b56fd899
Premier League,Matchweek 21,L 0–1,2abfe087,361ca564,0,45,0,0,0,0,2,1,0,0,15,0,0,0,0.1,0.1,0.0,1,0,4,8,50.0,0,6,0,3,1,2022-01-01,9c831c07
Premier League,Matchweek 22,D 1–1,2abfe087,b2b47a98,1,90,1,0,0,0,6,3,0,0,41,0,0,1,0.3,0.3,0.1,4,0,20,27,74.1,5,28,0,4,2,2022-01-15,64dd3e3f
Premier League,Matchweek 23,L 0–3,2abfe087,1c781004,1,90,0,0,0,0,5,1,0,0,59,1,0,1,0.3,0.3,0.1,5,0,30,41,73.2,6,39,5,11,8,2022-01-21,5c592680
Premier League,Matchweek 17,D 0–0,2abfe087,943e8050,1,82,0,0,0,0,4,2,0,0,45,2,0,2,0.4,0.4,0.0,1,0,15,28,53.6,2,34,3,4,2,2022-02-05,5c31d723
Premier League,Matchweek 24,L 0–1,2abfe087,7c21e445,0,14,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,1,5,4,2022-02-08,3778ac3f
