comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 1–3,33c895d4,d3fd31cc,1,79,0,0,0,0,1,0,0,0,55,3,1,1,0.0,0.0,0.0,0,0,30,45,66.7,5,32,0,0,0,2021-08-14,c99ebbf5
Premier League,Matchweek 2,D 1–1,33c895d4,19538871,1,90,0,0,0,0,0,0,0,0,59,6,0,3,0.0,0.0,0.0,0,0,25,36,69.4,2,14,1,1,0,2021-08-22,345b3989
Premier League,Matchweek 3,D 2–2,33c895d4,b2b47a98,1,87,0,0,0,0,1,0,0,0,90,2,0,1,0.1,0.1,0.0,4,0,69,79,87.3,7,51,4,2,1,2021-08-28,d81af076
Premier League,Matchweek 4,D 0–0,33c895d4,7c21e445,1,52,0,0,0,0,0,0,1,0,33,2,2,0,0.0,0.0,0.0,0,0,21,28,75.0,3,23,2,1,1,2021-09-11,ddff1858
Premier League,Matchweek 5,D 0–0,33c895d4,b8fd03ef,1,90,0,0,0,0,0,0,0,0,46,3,2,0,0.0,0.0,0.0,2,0,35,40,87.5,4,21,0,0,0,2021-09-18,1576c578
Premier League,Matchweek 6,L 0–1,33c895d4,8cec06e1,1,90,0,0,0,0,1,0,0,0,90,1,3,1,0.0,0.0,0.2,5,0,68,82,82.9,10,52,1,0,0,2021-09-26,d99f984c
Premier League,Matchweek 7,L 1–3,33c895d4,cff3d9bb,1,90,0,0,0,0,0,0,1,0,50,4,3,4,0.0,0.0,0.0,1,0,30,36,83.3,3,23,0,2,2,2021-10-02,a6466617
Premier League,Matchweek 8,W 1–0,33c895d4,5bfb9659,Y*,90,0,0,0,0,0,0,0,0,44,3,2,0,0.0,0.0,0.0,2,0,34,41,82.9,3,25,0,1,0,2021-10-16,8bde822c
Premier League,Matchweek 9,D 2–2,33c895d4,943e8050,Y*,90,0,0,0,0,0,0,0,0,74,1,0,1,0.0,0.0,0.1,2,0,55,65,84.6,8,48,1,0,0,2021-10-23,d5164fbe
Premier League,Matchweek 10,W 1–0,33c895d4,2abfe087,1,89,0,0,0,0,1,0,0,0,66,1,1,0,0.1,0.1,0.1,4,0,46,60,76.7,7,27,1,0,0,2021-10-30,e3521093
Premier League,Matchweek 11,W 1–0,33c895d4,8602292d,1,90,0,0,0,0,1,0,1,0,67,2,1,1,0.1,0.1,0.0,1,0,45,56,80.4,5,23,2,3,3,2021-11-05,868bd31f
Premier League,Matchweek 12,L 1–2,33c895d4,1c781004,1,72,0,0,0,0,1,0,0,0,63,2,1,0,0.0,0.0,0.0,1,0,46,55,83.6,6,32,0,1,1,2021-11-20,4bddaba4
Premier League,Matchweek 13,L 0–4,33c895d4,822bd0ba,1,90,0,0,0,0,0,0,0,0,56,1,1,0,0.0,0.0,0.0,0,0,37,47,78.7,3,28,1,3,2,2021-11-27,aa9b882d
Premier League,Matchweek 14,D 2–2,33c895d4,a2d435b3,1,90,0,0,0,0,0,0,1,0,59,1,0,2,0.0,0.0,0.1,3,0,41,54,75.9,8,21,1,1,1,2021-12-01,135f5959
Premier League,Matchweek 15,D 1–1,33c895d4,d07537b9,1,90,0,0,0,0,0,0,1,0,48,4,0,1,0.0,0.0,0.1,1,0,25,37,67.6,5,23,0,4,3,2021-12-04,27fd5d70
Premier League,Matchweek 17,D 2–2,33c895d4,47c64c55,1,90,0,0,0,0,2,0,0,0,56,3,2,0,0.1,0.1,0.0,1,0,24,38,63.2,6,14,0,0,0,2021-12-15,9ebb60f0
Premier League,Matchweek 19,W 3–2,33c895d4,7c21e445,1,89,0,0,0,0,1,0,0,0,60,4,3,2,0.0,0.0,0.0,1,0,38,43,88.4,2,24,1,0,0,2021-12-26,36a056cf
Premier League,Matchweek 20,D 1–1,33c895d4,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-12-28,08d5ef01
Premier League,Matchweek 18,W 4–1,33c895d4,cd051869,1,90,0,1,0,0,2,0,0,0,74,3,1,0,0.2,0.2,0.7,5,2,51,64,79.7,3,40,3,2,0,2022-01-11,0859817d
Premier League,Matchweek 22,L 1–3,33c895d4,8cec06e1,1,90,0,0,0,0,1,1,0,0,69,1,1,0,0.0,0.0,0.2,4,0,57,66,86.4,6,41,2,4,4,2022-01-15,dd7b8b8b
