comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 1–3,33c895d4,d3fd31cc,1,82,0,0,0,0,0,0,0,0,51,1,2,0,0.0,0.0,0.0,1,0,21,39,53.8,1,15,0,1,0,2021-08-14,c99ebbf5
Premier League,Matchweek 2,D 1–1,33c895d4,19538871,1,78,0,0,0,0,0,0,0,0,30,2,1,1,0.0,0.0,0.0,1,0,10,23,43.5,1,9,2,0,0,2021-08-22,345b3989
Premier League,Matchweek 3,D 2–2,33c895d4,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-28,d81af076
Premier League,Matchweek 4,D 0–0,33c895d4,7c21e445,1,90,0,0,0,0,0,0,0,0,49,3,2,0,0.0,0.0,0.0,1,0,24,41,58.5,1,24,1,0,0,2021-09-11,ddff1858
Premier League,Matchweek 5,D 0–0,33c895d4,b8fd03ef,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,1,0,0,2021-09-18,1576c578
Premier League,Matchweek 6,L 0–1,33c895d4,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-26,d99f984c
Premier League,Matchweek 7,L 1–3,33c895d4,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-02,a6466617
Premier League,Matchweek 8,W 1–0,33c895d4,5bfb9659,1,90,0,0,0,0,1,0,0,0,43,3,1,1,0.0,0.0,0.0,1,0,22,33,66.7,1,19,2,2,1,2021-10-16,8bde822c
Premier League,Matchweek 9,D 2–2,33c895d4,943e8050,1,90,0,0,0,0,1,0,0,0,48,2,0,1,0.0,0.0,0.1,1,0,25,38,65.8,4,28,1,0,0,2021-10-23,d5164fbe
Premier League,Matchweek 10,W 1–0,33c895d4,2abfe087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-30,e3521093
