comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 2,W 2–0,822bd0ba,943e8050,0,10,0,0,0,0,1,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,12,15,80.0,0,9,1,0,0,2021-08-21,94d9dac0
Premier League,Matchweek 3,D 1–1,822bd0ba,cff3d9bb,0,17,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.1,3,0,16,20,80.0,6,15,0,0,0,2021-08-28,78aa75e6
Premier League,Matchweek 4,W 3–0,822bd0ba,5bfb9659,1,89,0,1,0,0,1,0,0,0,74,4,1,0,0.1,0.1,0.3,3,1,59,66,89.4,7,53,1,1,1,2021-09-12,e6a245be
Premier League,Matchweek 5,W 3–0,822bd0ba,47c64c55,1,61,0,0,0,0,3,1,0,0,61,0,1,0,0.4,0.4,0.1,5,0,48,55,87.3,11,37,0,0,0,2021-09-18,59ef8c18
Premier League,Matchweek 11,L 2–3,822bd0ba,7c21e445,0,23,0,0,0,0,1,1,0,0,46,1,0,0,0.0,0.0,0.0,2,0,37,44,84.1,9,34,2,1,1,2021-11-07,63538dc7
Premier League,Matchweek 12,W 4–0,822bd0ba,18bb7c10,1,83,0,0,0,0,2,1,0,0,90,2,1,0,0.2,0.2,0.2,5,0,77,82,93.9,12,46,1,1,0,2021-11-20,e9ea66e1
Premier League,Matchweek 13,W 4–0,822bd0ba,33c895d4,1,58,1,0,0,0,1,1,0,0,59,2,0,1,0.1,0.1,0.0,1,0,47,54,87.0,7,28,0,0,0,2021-11-27,aa9b882d
Premier League,Matchweek 14,W 4–1,822bd0ba,d3fd31cc,1,74,0,0,0,0,2,0,1,0,62,2,0,3,0.1,0.1,0.0,1,1,41,55,74.5,5,34,1,1,1,2021-12-01,b46554fb
Premier League,Matchweek 15,W 1–0,822bd0ba,8cec06e1,1,90,0,0,0,0,4,1,0,0,106,2,2,1,0.7,0.7,0.1,5,0,81,94,86.2,16,62,0,2,1,2021-12-04,37d61ff3
Premier League,Matchweek 16,W 1–0,822bd0ba,8602292d,1,82,0,0,0,0,1,0,0,0,93,2,1,0,0.0,0.0,0.1,3,0,68,80,85.0,13,56,0,3,1,2021-12-11,678d7dca
