comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 3–1,d3fd31cc,33c895d4,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,2021-08-14,c99ebbf5
Premier League,Matchweek 2,D 2–2,d3fd31cc,5bfb9659,1,90,0,0,0,0,0,0,1,0,39,0,3,4,0.0,0.0,0.0,0,0,19,26,73.1,0,12,0,0,0,2021-08-21,b9064680
Premier League,Matchweek 4,W 3–1,d3fd31cc,943e8050,1,90,0,0,0,0,1,1,0,0,51,0,2,2,0.0,0.0,0.0,0,0,29,42,69.0,3,22,0,0,0,2021-09-13,668b2f97
Premier League,Matchweek 5,L 0–3,d3fd31cc,8602292d,1,90,0,0,0,0,0,0,0,0,37,2,0,0,0.0,0.0,0.0,0,0,18,26,69.2,0,15,0,0,0,2021-09-18,57323feb
Premier League,Matchweek 6,W 2–0,d3fd31cc,1c781004,1,90,0,0,0,0,0,0,0,0,53,2,3,0,0.0,0.0,0.0,0,0,35,39,89.7,0,23,0,0,0,2021-09-25,d516ccbf
Premier League,Matchweek 7,D 1–1,d3fd31cc,19538871,1,90,0,0,0,0,1,0,0,0,34,2,1,0,0.0,0.0,0.0,0,0,19,24,79.2,2,15,0,0,0,2021-10-02,2129c7e9
Premier League,Matchweek 8,L 0–1,d3fd31cc,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-17,15871600
Premier League,Matchweek 15,W 2–1,d3fd31cc,18bb7c10,1,30,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,19,20,95.0,3,16,0,0,0,2021-12-06,5fdb6c19
Premier League,Matchweek 22,L 1–2,d3fd31cc,1c781004,0,37,0,0,0,0,0,0,0,0,37,0,0,1,0.0,0.0,0.0,0,0,26,33,78.8,5,26,1,0,0,2022-01-15,4574a1a6
Premier League,Matchweek 23,L 0–1,d3fd31cc,8602292d,Y*,90,0,0,0,0,2,0,1,0,58,3,0,1,0.1,0.1,0.0,1,0,43,50,86.0,5,29,0,0,0,2022-01-22,83bac3da
Premier League,Matchweek 24,L 1–3,d3fd31cc,b2b47a98,1,34,0,0,0,0,1,0,0,0,25,0,0,0,0.1,0.1,0.0,0,0,19,23,82.6,0,15,0,0,0,2022-02-08,fde8d97d
Premier League,Matchweek 18,D 1–1,d3fd31cc,a2d435b3,1,90,0,0,0,0,1,1,1,0,67,3,1,1,0.0,0.0,0.0,0,0,47,59,79.7,1,35,0,0,0,2022-04-20,46471203
Premier League,Matchweek 35,W 1–0,d3fd31cc,cff3d9bb,1,90,0,0,0,0,0,0,0,0,24,0,1,3,0.0,0.0,0.0,1,0,10,13,76.9,1,7,0,0,0,2022-05-01,4ed4a295
Premier League,Matchweek 36,W 2–1,d3fd31cc,a2d435b3,1,17,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,4,6,66.7,0,3,0,0,0,2022-05-08,4a972389
