name,position,id
Allan Saint-Maximin,"FW,MF",2b16cb1a
Joelinton,"MF,FW",c17bfb65
Martin Dúbravka,GK,3a949a25
Fabian Schär,DF,c8aa95da
Joe Willock,MF,a3b03921
Jamaal Lascelles,DF,450ab6fc
Jonjo Shelvey,MF,3727dd3c
Miguel Almirón,"MF,FW",862a1c15
Emil Krafth,DF,77cf6852
Ryan Fraser,"FW,MF",d56543a0
Dan Burn,DF,b2d31e83
Matt Targett,DF,e514ab62
Callum Wilson,FW,c596fcb0
Sean Longstaff,MF,a2b105e0
Chris Wood,FW,4e9a0555
Javier Manquillo,DF,758dd7f0
Matt Ritchie,DF,71ef519e
Jacob Murphy,"FW,DF",de112b84
Ciaran Clark,DF,2b91cf8e
Isaac Hayden,"MF,DF",c951a6df
Bruno Guimarães,MF,82518f62
Karl Darlow,GK,cde3309f
Federico Fernández,DF,f25b010f
Kieran Trippier,DF,21512407
Freddie Woodman,GK,19e50035
Jamal Lewis,DF,efb9215a
Paul Dummett,DF,3fe6bd8c
Jeff Hendrick,MF,989d5705
Dwight Gayle,"FW,DF",e58a03c6
Elliot Anderson,MF,de31038e
Lucas De Bolle,MF,430e09c0
Mark Gillespie,GK,e32958b7
Joe White,MF,d60c03a9
