General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Aaron Ramsdale,ENG,GK,24,1998,38.0,1,0,0,0,4,0,0,0,1,0,0,0,33,6,0,100.0
Albert Sambi Lokonga,BEL,MF,22,1999,2.2,0,0,0,1,5,0,0,5,1,0,0,0,14,3,2,60.0
Ben White,ENG,DF,24,1997,33.9,5,0,0,28,30,1,57,22,31,0,0,0,155,33,41,44.6
Bukayo Saka,ENG,FW,20,2001,35.3,6,0,0,43,65,9,172,14,34,0,0,0,127,16,38,29.6
Cédric Soares,POR,DF,30,1991,0.3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0.0
Eddie Nketiah,ENG,FW,23,1999,12.1,3,0,0,30,25,8,5,1,9,1,0,0,30,10,31,24.4
Emile Smith Rowe,ENG,"MF,FW",22,2000,1.9,0,0,0,1,1,1,5,0,1,0,0,0,8,0,2,0.0
Ethan Nwaneri,ENG,FW,15,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fabio Vieira,POR,"MF,FW",22,2000,5.7,0,0,0,3,5,0,20,4,4,0,0,0,34,3,5,37.5
Gabriel Jesus,BRA,FW,25,1997,22.9,6,0,0,43,56,16,11,11,25,2,0,0,79,44,78,36.1
Gabriel Magalhães,BRA,DF,24,1997,37.9,5,0,0,25,40,1,5,32,30,0,2,0,191,100,76,56.8
Gabriel Martinelli,BRA,FW,21,2001,31.0,3,0,0,39,37,8,113,9,18,0,0,0,103,14,63,18.2
Granit Xhaka,SUI,MF,29,1992,33.3,4,0,0,26,39,5,39,15,27,0,0,0,152,37,30,55.2
Jakub Kiwior,POL,DF,22,2000,4.7,0,0,0,1,1,0,1,6,5,0,0,0,20,8,10,44.4
Jorginho,ITA,MF,30,1991,9.5,0,0,0,6,18,0,2,9,13,0,0,0,69,10,8,55.6
Kieran Tierney,SCO,DF,25,1997,8.8,0,0,0,5,9,1,24,11,11,0,0,0,43,6,18,25.0
Leandro Trossard,BEL,FW,27,1994,10.3,0,0,0,9,17,4,55,6,7,0,0,0,46,1,4,20.0
Marquinhos,BRA,MF,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Martin Ødegaard,NOR,MF,23,1998,34.7,4,0,0,30,26,1,91,6,23,0,0,0,178,13,20,39.4
Mohamed Elneny,EGY,MF,30,1992,1.3,0,0,0,1,1,0,0,0,1,0,0,0,10,0,2,0.0
Oleksandr Zinchenko,UKR,DF,25,1996,23.5,3,0,0,6,11,1,37,22,18,0,0,0,163,51,20,71.8
Reiss Nelson,ENG,FW,22,1999,2.4,0,0,0,8,4,0,12,0,1,0,0,0,16,2,5,28.6
Rob Holding,ENG,DF,26,1995,6.3,0,0,0,5,2,0,0,3,5,0,1,0,40,22,17,56.4
Takehiro Tomiyasu,JPN,DF,23,1998,7.4,2,0,0,6,3,0,12,14,18,0,0,0,42,17,20,45.9
Thomas Partey,GHA,MF,29,1993,27.6,5,0,0,37,23,0,9,28,40,0,0,0,225,37,25,59.7
William Saliba,FRA,DF,21,2001,26.8,4,0,0,19,13,0,1,19,20,0,2,1,206,53,43,55.2
