General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Ashley Young,ENG,DF,37,1985,22.6,7,0,0,24,28,1,42,21,27,0,1,0,131,13,11,54.2
Bertrand Traoré,BFA,"FW,MF",26,1995,2.6,1,0,0,2,8,3,5,2,1,0,0,0,8,2,4,33.3
Boubacar Kamara,FRA,MF,22,1999,19.7,4,0,0,34,31,0,1,19,25,0,0,0,126,22,17,56.4
Calum Chambers,ENG,"DF,MF",27,1995,3.9,2,0,0,7,2,0,4,7,6,0,0,0,23,3,6,33.3
Cameron Archer,ENG,"FW,MF",21,2001,0.5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,
Danny Ings,ENG,FW,30,1992,9.2,3,0,0,8,5,9,4,1,5,0,0,0,19,16,12,57.1
Diego Carlos,BRA,DF,29,1993,2.3,0,0,0,2,0,0,1,1,0,0,0,0,14,6,3,66.7
Douglas Luiz,BRA,MF,24,1998,32.5,6,1,0,48,42,2,106,40,42,0,0,0,197,25,22,53.2
Emi Buendía,ARG,"MF,FW",25,1996,26.8,0,0,0,43,44,1,18,20,23,0,0,0,138,23,54,29.9
Emiliano Martínez,ARG,GK,29,1992,34.9,7,0,0,1,6,0,0,1,0,0,1,1,41,13,0,100.0
Ezri Konsa,ENG,DF,24,1997,36.9,6,0,0,12,64,0,4,26,20,0,0,0,164,55,37,59.8
Jacob Ramsey,ENG,"MF,FW",21,2001,29.3,5,0,0,35,45,2,18,23,39,0,1,1,141,16,33,32.7
Jan Bednarek,POL,DF,26,1996,1.1,0,0,0,1,1,0,0,2,3,0,0,0,4,0,0,
Jhon Durán,COL,"FW,MF",18,2003,1.5,1,0,0,9,3,3,2,2,2,0,0,0,5,7,10,41.2
John McGinn,SCO,"MF,FW",27,1994,29.9,7,0,0,41,66,0,50,24,36,2,0,0,176,22,21,51.2
Leander Dendoncker,BEL,MF,27,1995,7.7,0,0,0,1,1,0,2,10,9,0,0,0,36,10,8,55.6
Leon Bailey,JAM,"FW,MF",24,1997,21.9,4,0,0,29,22,9,96,6,6,0,1,0,72,24,46,34.3
Lucas Digne,FRA,DF,29,1993,16.7,5,0,0,19,23,2,77,18,12,0,1,1,86,26,17,60.5
Ludwig Augustinsson,SWE,DF,28,1994,0.9,1,0,0,1,3,0,5,0,1,0,0,0,9,4,1,80.0
Matty Cash,POL,DF,24,1997,20.2,4,0,0,21,15,2,46,26,32,0,1,0,108,12,13,48.0
Morgan Sanson,FRA,MF,27,1994,0.1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0.0
Ollie Watkins,ENG,FW,26,1995,34.7,4,0,0,26,39,18,9,10,13,1,0,0,59,70,100,41.2
Philippe Coutinho,BRA,"MF,FW",30,1992,8.8,3,0,0,16,14,2,19,4,14,0,0,0,41,3,13,18.8
Robin Olsen,SWE,GK,32,1990,3.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Tyrone Mings,ENG,DF,29,1993,35.0,7,0,0,18,22,3,3,54,7,1,0,1,174,61,24,71.8
Álex Moreno,ESP,DF,29,1993,14.8,3,0,0,17,11,0,48,7,14,0,0,0,69,9,12,42.9
