General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Adam Smith,ENG,DF,31,1991,32.7,1264,987,276,22,0,2,48,254,0,0,0,0,953,1,29
Antoine Semenyo,GHA,"FW,MF",22,2000,2.9,57,53,4,0,0,1,1,0,0,0,0,0,38,0,2
Ben Pearson,ENG,MF,27,1995,3.2,134,130,4,3,0,1,0,0,0,0,0,0,108,0,1
Chris Mepham,WAL,DF,24,1997,24.4,1041,1001,37,21,0,4,0,16,0,0,0,0,870,3,7
Dango Ouattara,BFA,"MF,FW",20,2002,13.8,334,322,10,0,5,5,30,7,1,0,0,0,210,2,12
David Brooks,WAL,"FW,MF",25,1997,1.9,63,61,2,0,0,0,6,0,2,1,1,0,46,0,3
Dominic Solanke,ENG,"FW,MF",24,1997,31.8,533,479,52,0,3,1,13,4,0,0,0,0,363,2,34
Emiliano Marcondes,DEN,MF,27,1995,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Hamed Junior Traorè,CIV,"FW,MF",22,2000,4.7,178,149,28,8,5,0,41,1,18,13,2,2,109,1,4
Illia Zabarnyi,UKR,DF,19,2002,3.3,200,197,2,2,0,0,0,0,0,0,0,0,184,1,0
Jack Stacey,ENG,DF,26,1996,3.3,130,106,23,0,0,0,10,23,0,0,0,0,74,1,7
Jack Stephens,ENG,DF,28,1994,13.0,543,538,5,4,2,2,2,1,0,0,0,0,446,0,6
Jaidon Anthony,ENG,"MF,FW",22,1999,14.0,526,480,45,9,2,5,43,21,14,9,1,1,387,1,18
Jamal Lowe,JAM,"MF,FW",28,1994,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
Jefferson Lerma,COL,MF,27,1994,36.1,1611,1551,59,46,7,7,11,11,0,0,0,0,1317,1,24
Joe Rothwell,ENG,MF,27,1995,11.3,457,402,54,24,4,2,26,1,21,12,4,3,385,1,6
Jordan Zemura,ZIM,DF,22,1999,16.2,594,466,127,8,0,1,18,119,0,0,0,0,423,1,30
Junior Stanislas,ENG,MF,32,1989,0.7,28,27,1,0,0,1,1,0,1,0,0,0,22,0,1
Kieffer Moore,WAL,FW,29,1992,14.2,360,337,23,1,0,1,7,0,0,0,0,0,212,0,12
Lewis Cook,ENG,MF,25,1997,19.1,751,692,56,32,1,3,45,0,15,15,0,0,593,3,20
Lloyd Kelly,ENG,DF,23,1998,22.7,1164,1020,140,29,2,11,14,109,0,0,0,0,934,4,12
Marcos Senesi,ARG,DF,25,1997,27.7,1322,1257,56,40,1,15,8,14,0,0,0,0,1064,9,18
Marcus Tavernier,ENG,"MF,FW",23,1999,19.4,724,623,100,21,5,7,93,34,42,22,11,3,510,1,28
Mark Travers,IRL,GK,23,1999,11.5,368,214,154,35,0,0,0,1,0,0,0,0,281,0,0
Matías Viña,URU,DF,24,1997,5.1,185,142,43,7,0,0,4,36,0,0,0,0,140,0,6
Neto,BRA,GK,33,1989,26.5,833,513,319,88,0,1,0,0,0,0,0,0,521,1,0
Owen Bevan,WAL,DF,18,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1
Philip Billing,DEN,"MF,FW",26,1996,30.7,1055,1009,43,20,5,10,38,6,10,5,1,0,813,3,32
Ryan Christie,SCO,"MF,FW",27,1995,20.4,651,621,28,3,6,7,32,4,20,11,5,0,521,2,16
Ryan Fredericks,ENG,DF,29,1992,5.9,220,177,43,1,0,0,15,42,0,0,0,0,149,0,11
Siriki Dembélé,CIV,"FW,MF",25,1996,1.2,47,45,2,0,0,0,3,2,0,0,0,0,37,0,1
