General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Aaron Hickey,SCO,DF,20,2002,21.3,1028,47,328,499,211,21,1028,45,17,37.8,18,40.0,616,3295,1802,41,17,3,16,13,624,47
Ben Mee,ENG,DF,32,1989,36.3,2122,272,1089,887,156,71,2122,13,12,92.3,1,7.7,1146,4790,2581,8,11,3,18,2,1179,14
Bryan Mbeumo,CMR,FW,22,1999,32.3,1335,24,177,425,755,125,1334,88,45,51.1,37,42.0,776,4292,1862,66,33,26,72,54,862,235
Christian Nørgaard,DEN,MF,28,1994,19.6,1050,78,338,554,165,42,1050,19,8,42.1,10,52.6,454,1518,671,4,11,2,14,10,526,8
David Raya,ESP,GK,26,1995,38.0,1722,1257,1616,108,1,1,1722,1,1,100.0,0,0.0,1030,5891,3795,0,0,0,0,0,808,0
Ethan Pinnock,JAM,DF,29,1993,30.0,1554,327,927,497,134,55,1554,6,2,33.3,1,16.7,650,2705,1499,2,2,0,6,7,745,16
Frank Onyeka,NGA,MF,24,1998,9.4,373,26,93,176,109,20,373,26,11,42.3,11,42.3,198,852,368,9,8,3,11,10,205,21
Halil Dervişoğlu,TUR,MF,22,1999,0.1,1,0,0,0,1,0,1,0,0,,0,,2,13,0,0,0,1,0,1,2,0
Ivan Toney,ENG,FW,26,1996,32.8,1219,50,141,529,557,156,1212,54,16,29.6,29,53.7,625,2463,724,14,21,8,100,47,889,165
Josh Dasilva,ENG,MF,23,1998,15.4,770,17,144,342,298,32,770,56,32,57.1,15,26.8,536,3392,1631,60,43,9,28,29,562,69
Keane Lewis-Potter,ENG,"FW,MF",21,2001,3.6,138,4,24,48,69,18,138,14,4,28.6,10,71.4,93,652,336,8,6,3,11,8,91,39
Kevin Schade,GER,FW,20,2001,8.1,291,7,38,94,165,48,291,35,12,34.3,18,51.4,147,1199,501,24,12,15,25,9,186,57
Kristoffer Ajer,NOR,DF,24,1998,8.5,412,45,184,167,64,9,412,9,3,33.3,4,44.4,213,1123,613,10,5,0,3,8,231,12
Mads Bech Sørensen,DEN,"DF,MF",23,1999,0.2,14,1,4,8,2,0,14,0,0,,0,,2,3,0,0,0,0,0,0,5,0
Mads Roerslev,DEN,DF,23,1999,12.3,426,50,178,140,109,13,426,7,3,42.9,3,42.9,186,817,278,8,7,2,14,9,210,36
Mathias Jensen,DEN,MF,26,1996,31.1,1889,43,368,869,669,29,1889,62,25,40.3,28,45.2,901,3514,1386,21,25,1,54,32,1011,77
Mathias Jørgensen,DEN,DF,32,1990,12.3,612,87,291,281,42,12,612,1,0,0.0,1,100.0,295,1062,616,1,2,0,3,1,321,1
Mikkel Damsgaard,DEN,"MF,FW",22,2000,11.0,529,9,104,268,166,27,529,23,9,39.1,9,39.1,279,1075,574,9,9,1,15,6,307,45
Pontus Jansson,SWE,DF,31,1991,8.0,393,73,243,137,13,8,393,2,2,100.0,0,0.0,192,734,310,1,1,0,2,1,217,0
Rico Henry,ENG,DF,25,1997,36.0,1582,115,478,647,482,30,1582,50,26,52.0,17,34.0,782,3790,1832,55,41,9,50,44,813,111
Saman Ghoddos,IRN,"MF,FW",28,1993,1.5,98,7,23,38,40,3,98,2,0,0.0,2,100.0,42,164,92,1,2,0,3,1,44,6
Sergi Canós,ESP,"FW,DF",25,1997,0.9,57,1,13,25,20,2,57,6,4,66.7,2,33.3,29,206,111,4,2,0,0,0,36,7
Shandon Baptiste,GRN,MF,24,1998,6.9,373,12,87,196,97,7,373,13,6,46.2,3,23.1,240,1097,507,8,12,3,16,8,247,23
Vitaly Janelt,GER,"MF,DF",24,1998,24.5,1244,66,335,675,242,36,1244,24,9,37.5,14,58.3,663,2798,1246,14,18,2,18,11,737,28
Yoane Wissa,COD,FW,25,1996,17.8,517,14,67,193,268,62,517,44,20,45.5,15,34.1,312,1573,658,24,12,11,41,25,345,104
