General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Aleksandar Mitrović,SRB,FW,27,1994,24,2008,84,58.7,22.3,23,86,14,1,26,0,1.5,33,30,3,0.13,0.2,31.2,34.8,-3.6,-0.16,0.72
Andreas Pereira,BRA,MF,26,1996,33,2692,82,78.7,29.9,33,82,7,0,,0,1.36,43,40,3,0.1,0.22,35.8,46.2,-10.4,-0.35,0.53
Antonee Robinson,USA,DF,24,1997,35,3088,88,90.3,34.3,35,88,34,0,,0,1.4,50,44,6,0.17,1.26,43.1,54.2,-11.1,-0.32,1.41
Bernd Leno,GER,GK,30,1992,36,3240,90,94.7,36.0,36,90,36,0,,2,1.39,53,51,2,0.06,0.06,43.5,61.5,-18.0,-0.5,-0.8
Bobby Reid,JAM,"FW,DF",29,1993,36,2475,69,72.4,27.5,29,80,11,7,23,1,1.44,36,40,-4,-0.15,-0.72,31.4,45.3,-14.0,-0.51,-0.18
Carlos Vinícius,BRA,FW,27,1995,28,1109,40,32.4,12.3,11,85,7,17,10,5,1.29,18,20,-2,-0.16,-0.32,11.6,23.6,-12.0,-0.97,-0.76
Charlie Robinson,ENG,DF,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Cédric Soares,POR,DF,30,1991,6,198,33,5.8,2.2,2,79,1,4,10,9,0.5,1,3,-2,-0.91,-1.02,1.8,2.8,-1.0,-0.46,0.0
Daniel James,WAL,FW,24,1997,20,621,31,18.2,6.9,5,74,1,15,17,8,0.95,9,16,-7,-1.01,-1.3,7.3,15.4,-8.1,-1.17,-0.87
George Wickens,ENG,GK,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
Harrison Reed,ENG,MF,27,1995,37,2866,77,83.8,31.8,35,81,17,2,23,0,1.41,48,44,4,0.13,0.45,38.6,52.1,-13.5,-0.42,0.22
Harry Wilson,WAL,FW,25,1997,29,1100,38,32.2,12.2,13,69,1,16,13,1,1.31,21,15,6,0.49,0.65,15.5,20.9,-5.4,-0.44,0.03
Issa Diop,FRA,DF,25,1997,25,2012,80,58.8,22.4,21,89,19,4,34,12,1.28,33,26,7,0.31,0.63,28.9,35.7,-6.8,-0.3,0.37
Jay Stansfield,ENG,FW,19,2002,3,87,29,2.5,1.0,1,76,0,2,6,2,1.33,2,2,0,0.0,-0.05,2.2,1.8,0.4,0.44,0.92
Josh Onomah,ENG,MF,25,1997,2,15,8,0.4,0.2,0,,0,2,8,3,0.0,0,2,-2,-12.0,-12.11,0.1,0.6,-0.5,-3.02,-2.57
João Palhinha,POR,MF,27,1995,35,3108,89,90.9,34.5,35,89,30,0,,0,1.49,51,43,8,0.23,1.96,42.1,55.7,-13.7,-0.4,0.7
Kenny Tete,NED,DF,26,1995,31,2569,83,75.1,28.5,29,87,21,2,19,1,1.45,42,36,6,0.21,0.63,33.4,46.7,-13.2,-0.46,-0.02
Kevin Mbabu,SUI,"DF,FW",27,1995,6,144,24,4.2,1.6,1,44,0,5,20,8,0.67,2,7,-5,-3.12,-3.32,1.4,6.8,-5.3,-3.34,-3.01
Kristian Sekularac,SUI,MF,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Layvin Kurzawa,FRA,DF,29,1992,3,135,45,3.9,1.5,2,67,1,1,1,6,0.33,0,4,-4,-2.67,-2.83,1.1,4.4,-3.3,-2.21,-1.82
Luke Harris,WAL,"MF,FW",17,2005,3,13,4,0.4,0.1,0,,0,3,4,20,2.0,0,1,-1,-6.92,-7.0,0.3,1.2,-0.8,-5.88,-5.44
Manor Solomon,ISR,FW,23,1999,19,572,30,16.7,6.4,4,76,1,15,18,3,1.16,6,11,-5,-0.79,-1.01,5.7,12.0,-6.3,-0.99,-0.63
Marek Rodák,SVK,GK,25,1996,2,180,90,5.3,2.0,2,90,2,0,,36,1.0,2,2,0,0.0,-0.06,2.7,2.1,0.6,0.3,0.8
Martial Godo,ENG,MF,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Matt Dibley-Dias,NZL,MF,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Nathaniel Chalobah,ENG,MF,27,1994,4,12,3,0.4,0.1,1,7,0,3,2,10,1.5,0,0,0,0.0,-0.05,0.1,0.4,-0.3,-1.94,-1.49
Neeskens Kebano,COD,FW,30,1992,17,764,45,22.3,8.5,9,74,1,8,13,3,1.47,13,10,3,0.35,0.39,11.3,11.7,-0.4,-0.05,0.53
Rodrigo Muniz,BRA,FW,21,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
Saša Lukić,SRB,MF,25,1996,12,412,34,12.0,4.6,4,75,1,8,14,4,1.33,3,10,-7,-1.53,-1.8,4.8,9.8,-5.0,-1.1,-0.73
Shane Duffy,IRL,"DF,FW",30,1992,5,20,4,0.6,0.2,0,,0,5,4,25,2.0,0,4,-4,-18.0,-18.16,0.3,1.5,-1.2,-5.61,-5.18
Stefan Parkes,ENG,DF,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Terry Ablade,FIN,FW,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
Tim Ream,USA,DF,34,1987,33,2897,88,84.7,32.2,33,88,31,0,,0,1.36,45,44,1,0.03,-0.14,38.7,52.6,-14.0,-0.43,0.16
Tom Cairney,SCO,MF,31,1991,33,988,30,28.9,11.0,6,78,0,27,19,0,1.36,18,13,5,0.46,0.57,16.0,20.1,-4.1,-0.38,0.12
Tosin Adarabioyo,ENG,DF,24,1997,25,2085,83,61.0,23.2,23,90,23,2,8,13,1.44,36,39,-3,-0.13,-0.47,26.5,42.8,-16.3,-0.7,-0.63
Tyrese Francois,AUS,FW,22,2000,1,1,1,0.0,0.0,0,,0,1,1,6,1.0,0,0,0,0.0,-0.05,0.0,0.0,0.0,0.0,0.46
Willian,BRA,FW,33,1988,27,2126,79,62.2,23.6,25,82,6,2,38,0,1.63,39,22,17,0.72,1.76,32.4,34.4,-2.1,-0.09,0.98
