General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Ayoze Pérez,ESP,"MF,FW",29,1993,4.2,14,3.29,11,2,0,0,1,0,2,0.47,1,0,0,0,1,0
Boubakary Soumaré,FRA,MF,23,1999,18.1,23,1.27,22,0,1,0,0,0,1,0.06,1,0,0,0,0,0
Daniel Amartey,GHA,DF,27,1994,17.9,15,0.84,15,0,0,0,0,0,1,0.06,1,0,0,0,0,0
Daniel Iversen,DEN,GK,25,1997,12.0,1,0.08,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Danny Ward,WAL,GK,29,1993,26.0,2,0.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Dennis Praet,BEL,"MF,FW",28,1994,7.2,14,1.94,11,2,0,1,0,0,0,0.0,0,0,0,0,0,0
Harry Souttar,AUS,DF,23,1998,11.0,8,0.73,4,0,2,2,0,0,2,0.18,1,0,0,1,0,0
Harvey Barnes,ENG,"FW,MF",24,1997,30.1,63,2.09,43,0,3,9,7,1,14,0.46,8,0,1,2,2,1
James Justin,ENG,DF,24,1998,13.9,21,1.51,17,0,2,0,2,0,2,0.14,0,0,1,0,1,0
James Maddison,ENG,"MF,FW",25,1996,27.6,138,5.01,76,29,12,7,12,2,13,0.47,10,1,1,0,1,0
Jamie Vardy,ENG,FW,35,1987,20.6,34,1.65,23,0,6,3,2,0,7,0.34,5,0,1,0,1,0
Jonny Evans,NIR,DF,34,1988,11.7,4,0.34,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kelechi Iheanacho,NGA,"FW,MF",25,1996,12.5,45,3.59,33,1,4,5,2,0,6,0.48,6,0,0,0,0,0
Kiernan Dewsbury-Hall,ENG,MF,23,1998,25.6,78,3.04,61,0,8,2,5,2,9,0.35,6,0,1,0,1,1
Lewis Brunt,ENG,DF,21,2000,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Luke Thomas,ENG,DF,21,2001,11.9,16,1.34,11,2,0,1,0,2,2,0.17,1,0,0,1,0,0
Marc Albrighton,ENG,"FW,MF",32,1989,2.6,7,2.66,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Nampalys Mendy,SEN,MF,30,1992,8.4,9,1.07,5,0,1,0,1,2,0,0.0,0,0,0,0,0,0
Patson Daka,ZAM,FW,23,1998,13.2,28,2.12,19,1,1,5,2,0,7,0.53,4,0,1,2,0,0
Ricardo Pereira,POR,"DF,MF",28,1993,5.0,15,2.97,14,0,0,0,1,0,1,0.2,1,0,0,0,0,0
Tetê,BRA,FW,22,2000,8.2,28,3.43,15,3,7,2,1,0,2,0.25,0,0,2,0,0,0
Timothy Castagne,BEL,DF,26,1995,36.2,51,1.41,44,2,1,2,1,1,5,0.14,4,0,0,1,0,0
Victor Bernth Kristiansen,DEN,DF,19,2002,9.9,14,1.41,9,4,0,1,0,0,3,0.3,3,0,0,0,0,0
Wesley Fofana,FRA,DF,21,2000,2.0,2,1.0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Wilfred Ndidi,NGA,MF,25,1996,18.7,12,0.64,12,0,0,0,0,0,2,0.11,2,0,0,0,0,0
Wout Faes,BEL,DF,24,1998,31.0,22,0.71,16,0,1,3,0,2,4,0.13,3,0,0,0,0,1
Youri Tielemans,BEL,MF,25,1997,26.0,78,2.99,64,4,1,7,1,1,4,0.15,2,1,0,1,0,0
Çağlar Söyüncü,TUR,DF,26,1996,5.9,2,0.34,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
