General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Aymeric Laporte,ESP,DF,28,1994,11.0,17,1.54,16,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Bernardo Silva,POR,"MF,FW",27,1994,24.5,75,3.06,65,1,4,1,3,1,12,0.49,11,0,0,0,1,0
Cole Palmer,ENG,"MF,FW",20,2002,4.1,20,4.86,11,0,3,4,2,0,1,0.24,1,0,0,0,0,0
Ederson,BRA,GK,28,1993,35.0,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Erling Haaland,NOR,FW,22,2000,30.8,72,2.34,48,0,5,10,8,1,17,0.55,14,0,0,1,2,0
Jack Grealish,ENG,FW,26,1995,22.8,104,4.55,71,7,6,6,13,1,20,0.88,14,1,0,1,3,1
John Stones,ENG,"DF,MF",28,1994,20.5,16,0.78,12,1,0,3,0,0,5,0.24,4,0,0,1,0,0
João Cancelo,POR,DF,28,1994,14.2,39,2.76,30,0,2,5,1,1,6,0.42,5,0,1,0,0,0
Julián Álvarez,ARG,"FW,MF",22,2000,16.3,52,3.2,39,0,6,5,2,0,5,0.31,2,0,1,1,1,0
Kalvin Phillips,ENG,MF,26,1995,3.3,7,2.1,5,0,0,2,0,0,1,0.3,1,0,0,0,0,0
Kevin De Bruyne,BEL,MF,31,1991,26.9,176,6.55,120,33,8,7,5,3,31,1.15,24,3,1,1,2,0
Kyle Walker,ENG,DF,32,1990,21.8,25,1.15,22,2,0,0,0,1,3,0.14,3,0,0,0,0,0
Manuel Akanji,SUI,DF,27,1995,25.4,23,0.91,22,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Máximo Perrone,ARG,MF,19,2003,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nathan Aké,NED,DF,27,1995,20.8,24,1.15,20,1,0,2,0,1,2,0.1,2,0,0,0,0,0
Phil Foden,ENG,FW,22,2000,20.5,99,4.83,76,9,6,5,3,0,14,0.68,10,0,3,0,1,0
Rico Lewis,ENG,"DF,MF",17,2004,10.0,27,2.69,24,1,0,1,1,0,0,0.0,0,0,0,0,0,0
Riyad Mahrez,ALG,"FW,MF",31,1991,21.3,116,5.44,74,17,7,10,6,2,21,0.98,13,2,2,3,0,1
Rodri,ESP,MF,26,1996,32.3,92,2.84,80,0,4,6,1,1,10,0.31,10,0,0,0,0,0
Rúben Dias,POR,DF,25,1997,22.2,15,0.68,11,1,0,3,0,0,1,0.05,1,0,0,0,0,0
Sergio Gómez,ESP,"DF,MF",21,2000,3.9,7,1.81,6,1,0,0,0,0,1,0.26,1,0,0,0,0,0
Shea Charles,NIR,DF,18,2003,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Stefan Ortega,GER,GK,29,1992,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
İlkay Gündoğan,GER,MF,31,1990,26.1,90,3.44,71,7,2,4,4,2,17,0.65,13,1,0,1,2,0
